row,epoch,kind,class_id,clean,leo_clear_weak,leo_low_elev_weak,leo_rain_weak,leo_mean
X0_A1_RUNTIME,200,final,0,92.73928571428571,73.33214285714286,72.67857142857143,73.93214285714286,73.31428571428572
X0_A1_RUNTIME,200,final,1,44.17857142857143,35.99285714285714,34.517857142857146,34.67142857142857,35.06071428571428
X0_A1_RUNTIME,200,final,2,70.80357142857143,63.09285714285714,60.00714285714286,60.16785714285714,61.089285714285715
X0_A1_RUNTIME,200,final,3,66.84642857142858,61.3,57.732142857142854,56.31428571428572,58.44880952380952
X0_A1_RUNTIME,200,final,4,99.78571428571429,97.47857142857143,95.33571428571429,95.03571428571429,95.95
X0_A1_RUNTIME,200,final,5,96.46428571428571,84.00357142857143,84.79285714285714,85.85714285714286,84.88452380952381
X1_CROSS_RX_CLEAN,200,final,0,92.925,74.58928571428571,73.32499999999999,74.58214285714286,74.16547619047618
X1_CROSS_RX_CLEAN,200,final,1,44.660714285714285,36.10714285714286,34.825,35.425000000000004,35.452380952380956
X1_CROSS_RX_CLEAN,200,final,2,74.60714285714286,64.54642857142858,60.81071428571428,61.27142857142858,62.209523809523816
X1_CROSS_RX_CLEAN,200,final,3,67.36785714285715,61.13214285714286,57.61428571428572,56.03928571428571,58.261904761904766
X1_CROSS_RX_CLEAN,200,final,4,99.78928571428571,97.54285714285714,95.58571428571429,95.3,96.14285714285714
X1_CROSS_RX_CLEAN,200,final,5,95.44642857142858,84.10357142857143,84.83214285714286,85.66785714285714,84.86785714285715
X2_CROSS_RX_VIEWS,200,final,0,92.63214285714285,76.03571428571428,74.62142857142857,75.46071428571427,75.37261904761904
X2_CROSS_RX_VIEWS,200,final,1,46.957142857142856,34.964285714285715,33.846428571428575,34.14642857142857,34.31904761904762
X2_CROSS_RX_VIEWS,200,final,2,68.41428571428571,61.828571428571436,58.92142857142857,59.06428571428572,59.938095238095244
X2_CROSS_RX_VIEWS,200,final,3,66.23928571428571,61.41428571428571,58.08214285714286,56.54285714285714,58.679761904761904
X2_CROSS_RX_VIEWS,200,final,4,99.75,96.85714285714285,94.79285714285714,94.55,95.39999999999999
X2_CROSS_RX_VIEWS,200,final,5,96.52857142857142,84.56071428571428,85.59642857142858,86.44642857142857,85.5345238095238
X3_WARM_EMA,200,final,0,92.68928571428572,74.60357142857143,72.925,74.41785714285714,73.98214285714286
X3_WARM_EMA,200,final,1,45.267857142857146,35.72857142857143,33.92142857142857,34.292857142857144,34.647619047619045
X3_WARM_EMA,200,final,2,75.15357142857142,65.77142857142857,62.221428571428575,62.63928571428572,63.544047619047625
X3_WARM_EMA,200,final,3,67.49642857142857,61.51428571428571,58.339285714285715,57.03928571428571,58.964285714285715
X3_WARM_EMA,200,final,4,99.73571428571428,97.21428571428572,95.04285714285714,94.89642857142857,95.71785714285714
X3_WARM_EMA,200,final,5,92.06071428571428,81.90357142857142,83.74642857142857,84.42857142857143,83.35952380952381
X4_COVERAGE_KL,200,final,0,93.325,72.80714285714286,71.3607142857143,72.73571428571428,72.30119047619048
X4_COVERAGE_KL,200,final,1,43.81785714285714,34.94642857142857,33.91071428571429,34.44642857142857,34.43452380952381
X4_COVERAGE_KL,200,final,2,72.51071428571429,62.79642857142858,59.78928571428571,59.857142857142854,60.81428571428572
X4_COVERAGE_KL,200,final,3,66.96428571428571,61.68571428571429,58.58571428571429,56.96785714285715,59.07976190476191
X4_COVERAGE_KL,200,final,4,99.78928571428571,97.73928571428571,95.56785714285714,95.33571428571429,96.21428571428571
X4_COVERAGE_KL,200,final,5,94.17142857142858,83.33571428571429,84.22142857142858,85.28214285714286,84.27976190476191
X5_BALANCED_L,200,final,0,92.625,63.582142857142856,64.27857142857142,65.70357142857142,64.52142857142857
X5_BALANCED_L,200,final,1,40.85714285714286,30.592857142857145,30.214285714285715,31.185714285714283,30.664285714285715
X5_BALANCED_L,200,final,2,71.07857142857142,55.089285714285715,52.40714285714285,52.107142857142854,53.201190476190476
X5_BALANCED_L,200,final,3,69.6892857142857,64.94642857142857,60.775,58.58214285714286,61.43452380952381
X5_BALANCED_L,200,final,4,99.725,93.54285714285714,91.41071428571429,91.02857142857142,91.99404761904762
X5_BALANCED_L,200,final,5,95.525,84.66428571428571,85.15,86.0142857142857,85.27619047619048
X6_BOUNDED_DOMAIN,200,final,0,90.21071428571429,72.65714285714286,71.71428571428572,72.39642857142857,72.25595238095238
X6_BOUNDED_DOMAIN,200,final,1,46.96071428571428,34.035714285714285,32.31071428571429,33.035714285714285,33.12738095238095
X6_BOUNDED_DOMAIN,200,final,2,77.4,62.96785714285714,58.80357142857143,59.07142857142858,60.280952380952385
X6_BOUNDED_DOMAIN,200,final,3,67.38571428571429,62.925,59.29642857142857,57.67142857142857,59.964285714285715
X6_BOUNDED_DOMAIN,200,final,4,99.80714285714286,94.62857142857143,93.09285714285714,92.89642857142857,93.53928571428571
X6_BOUNDED_DOMAIN,200,final,5,90.625,82.43928571428572,83.58214285714286,84.19642857142857,83.40595238095239
X7_COMBINED,200,final,0,90.425,62.63928571428572,63.03214285714286,64.77857142857142,63.483333333333334
X7_COMBINED,200,final,1,40.83571428571429,29.099999999999998,28.167857142857144,29.728571428571428,28.998809523809523
X7_COMBINED,200,final,2,71.85357142857143,55.39642857142857,52.72857142857143,52.56785714285714,53.56428571428572
X7_COMBINED,200,final,3,67.72857142857143,63.81071428571429,59.61428571428572,57.38928571428571,60.27142857142857
X7_COMBINED,200,final,4,99.775,93.31071428571428,90.86785714285715,90.67857142857143,91.61904761904762
X7_COMBINED,200,final,5,85.36785714285713,86.09285714285714,86.36785714285715,87.50357142857142,86.6547619047619
A1_REFERENCE,200,final,0,92.49642857142857,81.78928571428571,79.1392857142857,79.7642857142857,80.23095238095237
A1_REFERENCE,200,final,1,42.99285714285715,34.09285714285714,32.824999999999996,34.14285714285714,33.686904761904756
A1_REFERENCE,200,final,2,69.61071428571428,59.653571428571425,56.167857142857144,55.54642857142858,57.12261904761905
A1_REFERENCE,200,final,3,68.22500000000001,60.41428571428571,57.3,55.86071428571429,57.858333333333334
A1_REFERENCE,200,final,4,99.51785714285715,95.93928571428572,94.23214285714285,93.69285714285715,94.62142857142857
A1_REFERENCE,200,final,5,87.56071428571428,81.45,81.93214285714285,83.45714285714286,82.2797619047619
