run,gpu,candidate,ow_p95,ow_p99,r3sigma,tail_frac,min_inter,source_episode_overflow,ow_vac_violation,proxy_auc,proxy_accept,proxy_vaccept,virtual_accept,bridge_accept,low_density_accept,vaccept_cvar,energy_margin_q05,energy_margin_q10,component_radius_p95,component_radius_max,radius_to_inter_ratio,zid_p50,zid_p95,zid_p99,zid_tail_cvar_deg,proto_components,proto_policy,global_radius_accept_region,proto_accept_p95,proto_accept_max
KAD16H,0,KAD16H0_HARDENED_DEFAULT_ANCHOR_E200,53.913376262500364,72.98558322185929,53.33660955458499,0.0435482557098835,73.22921265445905,0.5931736403543647,0.05399038485215547,0.7215432057013879,0.05950556059296314,0.5336538622012506,0.5336538622012506,1.0,0.005759030947676645,6.1339566010695235,-0.17038805117973915,-0.160549784050538,54.12658324443816,78.9232546551733,1.0615301673228925,32.46678775227453,53.913376262500364,72.98558322185929,58.79517594999071,6,local_component,False,0.13023459911346436,0.13040606677532196
KAD16H,1,KAD16H1_THREESIGMA_NEGCTRL_E200,58.21623771477849,79.83891680311415,52.62390605751177,0.049854231558931164,81.9593507122219,0.5009428990805364,0.031682692700996995,0.7551344853181106,0.0034954301439798796,0.41346155129946194,0.41346155129946194,1.0,0.008420150816583863,5.349207533322848,-0.13308959626234496,-0.12923345966981006,57.73125960736258,83.32020711218019,0.9948044171700111,30.320178850719955,58.21623771477849,79.83891680311415,60.499577835301274,6,local_component,False,0.15272343903779984,0.18219353258609772
KAD16H,2,KAD16H2_BRIDGE_COREQ75_E200,65.60394748566338,78.45700088088796,58.435425157813626,0.0505615235043642,64.67391874409232,0.7110514174600301,0.16038461742707744,0.6674362531075111,0.1298691315146593,0.5927350479822893,0.5927350479822893,1.0,0.004125314476326681,8.103494732196515,-0.22476875094267038,-0.21643675772043375,65.40685932984749,81.41001488465197,1.5182427507180434,35.89766028442331,65.60394748566338,78.45700088088796,64.3869862011242,6,local_component,False,0.212320938706398,0.22872039675712585
KAD16H,3,KAD16H3_SOURCE_COREQ75_QUAR_E200,59.83135941283224,78.8707641785425,54.920196899719784,0.05331270768283271,78.28571849325432,0.6662156757643833,0.04949519280344248,0.7263900866875281,0.026082552453646293,0.587500020632377,0.587500020632377,1.0,0.0051653909783523815,5.919341102013221,-0.15636940953823236,-0.15006588387947817,59.57948378776771,83.01592633530953,1.0455459448007436,32.18949544338081,59.83135941283224,78.8707641785425,62.89476356444098,6,local_component,False,0.11691968888044357,0.11691968888044357
KAD16H,4,KAD16H4_TAIL_SENTINEL_GUARD_E200,47.451093235613534,55.68038240078528,47.99306428036111,0.03744423614862639,43.77483922226306,0.4638743790241477,0.16677884952380106,0.6069056199147151,0.4205798956637199,0.6548077133985666,0.6548077133985666,1.0,0.009547969405181133,8.136717055394099,-0.2489402094712624,-0.2374712130198112,47.17998668754163,60.77655472080512,1.3652584928732652,29.271950979756085,47.451093235613534,55.68038240078528,49.55801787118171,6,local_component,False,0.16707554459571838,0.16707554459571838
KAD16H,5,KAD16H5_PROXY_ONLY_BOUNDARY_E200,49.7212678512716,60.82380780838035,50.44282742416259,0.03277926536706777,51.341093828981194,0.5406167053175878,0.11668269463384953,0.6362926313510308,0.26919141188263895,0.6455128422150245,0.6455128422150245,1.0,0.008993925498082088,9.016851762624887,-0.2486669787993798,-0.23331742424231308,49.62863094127722,66.8672981015474,1.3483320162846493,31.027860818985356,49.7212678512716,60.82380780838035,52.14534333662355,6,local_component,False,0.19512392580509186,0.19512392580509186
KAD16H,6,KAD16H6_P80_RADIUS_BUDGET_E200,66.82803255242703,79.52286650696527,58.86479916805573,0.050270874186968184,66.57671683211971,0.703958169463607,0.1162019246759323,0.6987897088894477,0.07632308722688602,0.59134617126905,0.59134617126905,1.0,0.0056671945593104915,6.993217710348276,-0.20357645589571732,-0.19591046159084027,66.61358394717796,82.48371999169898,1.433286389020773,35.06505192329191,66.82803255242703,79.52286650696527,65.09782946990705,6,local_component,False,0.20071285963058472,0.20071285963058472
KAD16H,7,KAD16H7_HARDENED_COMBINED_SAT_E200,67.44287598876775,80.30631011565261,58.782306034697314,0.057195668868147406,62.973465548760686,0.7819731088373716,0.12500000198443348,0.6953156393307905,0.08908413665798995,0.6137820729842552,0.6137820729842552,1.0,0.005054163587136337,7.123194738534781,-0.2130127251148224,-0.2036241114139557,66.65467688714078,82.51109969816555,1.38396985072356,36.002119621391984,67.44287598876775,80.30631011565261,66.48948114377612,6,local_component,False,0.24434609711170197,0.24434609711170197
KAD8,0,KAD8G0_COREGATE_ANCHOR_E200,49.03610372947176,59.136657982654846,50.205497212334734,0.028092151163862305,50.38313065136814,0.5162622675728814,0.14418269506154152,0.6121756966297444,0.36128133615622154,0.6714743779255794,0.6714743779255794,1.0,0.008722713883393086,8.419826712975135,-0.2603666974948003,-0.24940660274945772,49.00022075272803,64.30718058958443,1.2325364204553457,30.55531360331894,49.03610372947176,59.136657982654846,51.56844732797318,6,local_component,False,0.18287986516952515,0.18287986516952515
KAD8,1,KAD8G1_HOLDOUT_STRESS_E200,67.19396251166643,78.89120525345103,58.63648911420546,0.05254491665042363,63.748973449620884,0.7248860785908776,0.1575480792993823,0.683827371780689,0.06596134098676534,0.6021634615384616,0.6021634615384616,1.0,0.004728605062700808,7.46095913373507,-0.2147685387959847,-0.20936671105714943,66.50888224357361,81.59160187360658,1.3809083104133606,36.17497946748443,67.19396251166643,78.89120525345103,65.47996731042706,6,local_component,False,0.18854668736457825,0.18854668736457825
