job_id,receiver,seed,k_shot,new_class_count,candidate,b_old_acc,c_old_acc,b_old_floor,c_old_floor,seen_new_acc,h_old_new,average_forgetting,old_adaptation_gain,direct_adv3b02_status,direct_adv3b02_old_acc,delta_vs_direct_ADV3B02_K1,pipeline_receipt_sha256,score_sha256
rx_20_1__seed_713105__k_5__new_20,20-1,713105,5,20,d81_ground_nuisance_cauchy_center,0.8416666666666667,0.6444444444444445,0.6666666666666666,0.38333333333333336,0.6008333333333333,0.6218752323592832,0.1972222222222222,-0.1972222222222222,MISSING_NOT_RUN,,,ba21c2a7ba41c039eee0410140bec61deb0707d9726b4fe724e0f15d5175485c,b4775b4de3940d6c215253f1a85a6879a9c67f65f9e9d57ca4f03de85e1ebf51
rx_20_1__seed_713105__k_1__new_20,20-1,713105,1,20,d81_ground_nuisance_cauchy_center,0.6472222222222223,0.36944444444444446,0.2833333333333333,0.13333333333333333,0.3016666666666667,0.3321330022075055,0.2777777777777778,-0.2777777777777778,MISSING_NOT_RUN,,,1c83d38707f059579ee6a079ee0d5bbc119c89b8e96ecf6c130cf5191dbd071c,bd5f5505aebd1d42eb8ae5d6b275b25339cd23bab47545f76dec3b1894517941
rx_20_1__seed_713106__k_10__new_5,20-1,713106,10,5,d81_ground_nuisance_cauchy_center,0.9027777777777778,0.7972222222222223,0.8166666666666667,0.5666666666666667,0.7666666666666667,0.7816459443457667,0.10555555555555551,-0.10555555555555551,MISSING_NOT_RUN,,,6132234e93b3e523e60f468d3ee1f7725652b4f6d5c7ec1d8a61d36d90c845e1,93833813f08ff05e37f123c03a8bc8700d8763ef225e28d2c5f131649d439ea2
rx_20_1__seed_713106__k_10__new_10,20-1,713106,10,10,d81_ground_nuisance_cauchy_center,0.9027777777777778,0.7444444444444445,0.8166666666666667,0.5,0.7083333333333334,0.7259400892288081,0.15833333333333333,-0.15833333333333333,MISSING_NOT_RUN,,,10ea821b0fce56a2b65c74aaf8da72e8c55dba4d6fd9f0c0a747e5e5dbacf9e2,687d80854a4404804ac7858822673667898d30fe46a60aba6c44d60489faaf30
rx_20_1__seed_713106__k_10__new_20,20-1,713106,10,20,d81_ground_nuisance_cauchy_center,0.9027777777777778,0.6972222222222222,0.8166666666666667,0.48333333333333334,0.6766666666666666,0.6867906725973851,0.2055555555555556,-0.2055555555555556,MISSING_NOT_RUN,,,23db11aa130d29ea47f327a549645ef4ddcc0956c91c54c79e5a31837862f5f3,61b2b07ca03d71ed793947f4c519268477e87be6e76faf929097b406f973ee15
rx_20_1__seed_713106__k_5__new_20,20-1,713106,5,20,d81_ground_nuisance_cauchy_center,0.8777777777777778,0.6277777777777778,0.8166666666666667,0.4166666666666667,0.5708333333333333,0.597952877558903,0.25,-0.25,MISSING_NOT_RUN,,,cdfac46e334a01276e8a49d35daef28679d4db2a84d4c9446213fb28ec77552b,27e3dc2437dc9844397cee62540e0355f66c7a8c834fb53937453eb9ac5aa20c
rx_20_1__seed_713106__k_1__new_20,20-1,713106,1,20,d81_ground_nuisance_cauchy_center,0.7,0.4111111111111111,0.36666666666666664,0.06666666666666667,0.2808333333333333,0.3337080155225478,0.28888888888888886,-0.28888888888888886,MISSING_NOT_RUN,,,b8b8b2f945ecb8ddb801348307bec91b0c55189684de14a958eb7bcea93bb84d,65e79f6c19a0a1c90651f34951ed2c5641ae5f8b9c8c4b2a20d81bf4c3535261
rx_3_19__seed_713102__k_10__new_5,3-19,713102,10,5,d81_ground_nuisance_cauchy_center,0.7,0.5805555555555556,0.4666666666666667,0.3,0.5233333333333333,0.5504613319912767,0.11944444444444435,-0.11944444444444435,MISSING_NOT_RUN,,,cce867c3a80518c8259eb0a62a6e45098439ab5384c5cda4c004138192cec32c,9a4a70f8e4a570d07ca9960979a0266d64aac507c329e4f8c0ca8e6bc9df0a40
rx_3_19__seed_713102__k_10__new_10,3-19,713102,10,10,d81_ground_nuisance_cauchy_center,0.7,0.5527777777777778,0.4666666666666667,0.23333333333333334,0.45,0.4961218836565098,0.14722222222222214,-0.14722222222222214,MISSING_NOT_RUN,,,876558a6efc33a7aded456a1706a57801dcffb483a09b3c3e284e98bf23585db,578d88d60ed0fe9230a07280d759610b19eb4963aa7800cd0b9f8614861b190a
rx_3_19__seed_713102__k_10__new_20,3-19,713102,10,20,d81_ground_nuisance_cauchy_center,0.7,0.5611111111111111,0.4666666666666667,0.26666666666666666,0.5033333333333333,0.5306541405706333,0.13888888888888884,-0.13888888888888884,MISSING_NOT_RUN,,,b169d3da4d365d9292e555f06b4e0383c1474a4324ac79fa9f1fb53d8916b35d,bd044f1bcdae7d9a648a0ea1d37e938796a829a965b8b26be89e4f3429a8d8ea
rx_3_19__seed_713102__k_5__new_20,3-19,713102,5,20,d81_ground_nuisance_cauchy_center,0.6305555555555555,0.5,0.31666666666666665,0.23333333333333334,0.4,0.4444444444444445,0.13055555555555554,-0.13055555555555554,MISSING_NOT_RUN,,,482faa6f2f292e9c48af5c3fead863f3e311b3ce6d65437455707d111b7e26a0,7185642c34e4e53e5b41e65b94550ad72d085aca463301f9803fdda37b8350ce
rx_3_19__seed_713102__k_1__new_20,3-19,713102,1,20,d81_ground_nuisance_cauchy_center,0.5027777777777778,0.26944444444444443,0.3,0.1,0.13166666666666665,0.17689289012003692,0.2333333333333333,-0.2333333333333333,MISSING_NOT_RUN,,,98851969d355c9f57789b58aa8ff9a493c2483316e45dbd5c16af228e5d6db34,c1f89a5b62b5f754b4223b09a1daa448bd31bb6afc6979bb1505b7d7177233e6
rx_3_19__seed_713103__k_10__new_5,3-19,713103,10,5,d81_ground_nuisance_cauchy_center,0.7611111111111111,0.65,0.48333333333333334,0.31666666666666665,0.45666666666666667,0.5364457831325301,0.11111111111111105,-0.11111111111111105,MISSING_NOT_RUN,,,1c53d9466565b92272cb1d1650785c9b6fe65e4610e36b8c1abca3d1266ecf1b,a25549c9129ede7b5befd7142c1dd52d1ee5d7cad501bdd4004afd8d98dcbe0c
rx_3_19__seed_713103__k_10__new_10,3-19,713103,10,10,d81_ground_nuisance_cauchy_center,0.7611111111111111,0.5805555555555556,0.48333333333333334,0.25,0.44,0.5005988023952096,0.18055555555555547,-0.18055555555555547,MISSING_NOT_RUN,,,edc2f14bc1481e0f0c94fbd9af1f21cd214e24d910e5dc7d1bad8c3e42ce784f,3e840a54faf0b2d944c127ae66013fcf7a57c1cd139c4f60ddb2310a6276f01b
rx_3_19__seed_713103__k_10__new_20,3-19,713103,10,20,d81_ground_nuisance_cauchy_center,0.7611111111111111,0.5888888888888889,0.48333333333333334,0.21666666666666667,0.495,0.5378780112762686,0.17222222222222217,-0.17222222222222217,MISSING_NOT_RUN,,,64608e706c3e3b1407445c7012d071c51500ba1ec903ad091a43334b8ababcdc,b4d85322fd4240c0ba9922deddc4f2f214d69343aadda6fb5ad785194ea009b3
rx_3_19__seed_713103__k_5__new_20,3-19,713103,5,20,d81_ground_nuisance_cauchy_center,0.7083333333333334,0.5222222222222223,0.38333333333333336,0.16666666666666666,0.3883333333333333,0.44543420785031523,0.18611111111111112,-0.18611111111111112,MISSING_NOT_RUN,,,68c4681c1c8a97dd6182cad225316a3add09a7b9672ac37b32321aaafe9c39f7,a04f692e0b359f10b1cab6b2a81d8b4e4e906f81a2585a3e43fd2549a370ac10
