job_id,receiver,seed,k_shot,new_class_count,scenario,b_old_acc,c_old_acc,b_old_floor,c_old_floor,seen_new_acc,h_old_new,average_forgetting,old_adaptation_gain,direct_adv3b02_status,direct_adv3b02_old_acc,delta_vs_direct_ADV3B02_K1
rx_20_1__seed_713103__k_5__new_20,20-1,713103,5,20,leo_clear_weak,0.8583333333333333,0.7333333333333333,0.6,0.5,0.6,0.6599999999999999,0.125,-0.125,MISSING_NOT_RUN,,
rx_20_1__seed_713103__k_5__new_20,20-1,713103,5,20,leo_low_elev_weak,0.7666666666666667,0.4666666666666667,0.55,0.15,0.545,0.5028006589785832,0.30000000000000004,-0.30000000000000004,MISSING_NOT_RUN,,
rx_20_1__seed_713103__k_5__new_20,20-1,713103,5,20,leo_rain_weak,0.8,0.5416666666666666,0.65,0.35,0.5475,0.544567712318286,0.2583333333333334,-0.2583333333333334,MISSING_NOT_RUN,,
rx_20_1__seed_713103__k_1__new_20,20-1,713103,1,20,leo_clear_weak,0.6083333333333333,0.26666666666666666,0.2,0.05,0.275,0.2707692307692307,0.3416666666666666,-0.3416666666666666,MISSING_NOT_RUN,,
rx_20_1__seed_713103__k_1__new_20,20-1,713103,1,20,leo_low_elev_weak,0.55,0.2916666666666667,0.0,0.0,0.255,0.2721036585365854,0.25833333333333336,-0.25833333333333336,MISSING_NOT_RUN,,
rx_20_1__seed_713103__k_1__new_20,20-1,713103,1,20,leo_rain_weak,0.6666666666666666,0.375,0.1,0.0,0.2475,0.2981927710843373,0.29166666666666663,-0.29166666666666663,MISSING_NOT_RUN,,
rx_20_1__seed_713104__k_10__new_5,20-1,713104,10,5,leo_clear_weak,0.9166666666666666,0.8916666666666667,0.75,0.75,0.89,0.8908325537885875,0.02499999999999991,-0.02499999999999991,MISSING_NOT_RUN,,
rx_20_1__seed_713104__k_10__new_5,20-1,713104,10,5,leo_low_elev_weak,0.8666666666666667,0.75,0.6,0.4,0.78,0.7647058823529411,0.1166666666666667,-0.1166666666666667,MISSING_NOT_RUN,,
rx_20_1__seed_713104__k_10__new_5,20-1,713104,10,5,leo_rain_weak,0.9083333333333333,0.8083333333333333,0.75,0.7,0.68,0.7386338185890259,0.09999999999999998,-0.09999999999999998,MISSING_NOT_RUN,,
rx_20_1__seed_713104__k_10__new_10,20-1,713104,10,10,leo_clear_weak,0.9166666666666666,0.8583333333333333,0.75,0.65,0.84,0.8490677134445535,0.05833333333333335,-0.05833333333333335,MISSING_NOT_RUN,,
rx_20_1__seed_713104__k_10__new_10,20-1,713104,10,10,leo_low_elev_weak,0.8666666666666667,0.7166666666666667,0.6,0.4,0.725,0.7208092485549132,0.15000000000000002,-0.15000000000000002,MISSING_NOT_RUN,,
rx_20_1__seed_713104__k_10__new_10,20-1,713104,10,10,leo_rain_weak,0.9083333333333333,0.7,0.75,0.45,0.575,0.6313725490196078,0.20833333333333337,-0.20833333333333337,MISSING_NOT_RUN,,
rx_20_1__seed_713104__k_10__new_20,20-1,713104,10,20,leo_clear_weak,0.9166666666666666,0.9,0.75,0.75,0.7575,0.8226244343891402,0.016666666666666607,-0.016666666666666607,MISSING_NOT_RUN,,
rx_20_1__seed_713104__k_10__new_20,20-1,713104,10,20,leo_low_elev_weak,0.8666666666666667,0.6666666666666666,0.6,0.4,0.65,0.6582278481012659,0.20000000000000007,-0.20000000000000007,MISSING_NOT_RUN,,
rx_20_1__seed_713104__k_10__new_20,20-1,713104,10,20,leo_rain_weak,0.9083333333333333,0.6833333333333333,0.75,0.5,0.585,0.6303547963206307,0.22499999999999998,-0.22499999999999998,MISSING_NOT_RUN,,
rx_20_1__seed_713104__k_5__new_20,20-1,713104,5,20,leo_clear_weak,0.8583333333333333,0.5833333333333334,0.7,0.3,0.675,0.6258278145695365,0.2749999999999999,-0.2749999999999999,MISSING_NOT_RUN,,
rx_20_1__seed_713104__k_5__new_20,20-1,713104,5,20,leo_low_elev_weak,0.8,0.575,0.5,0.35,0.52,0.5461187214611872,0.2250000000000001,-0.2250000000000001,MISSING_NOT_RUN,,
rx_20_1__seed_713104__k_5__new_20,20-1,713104,5,20,leo_rain_weak,0.8083333333333333,0.575,0.65,0.35,0.5225,0.54749430523918,0.2333333333333334,-0.2333333333333334,MISSING_NOT_RUN,,
rx_20_1__seed_713104__k_1__new_20,20-1,713104,1,20,leo_clear_weak,0.7166666666666667,0.3416666666666667,0.35,0.0,0.275,0.3047297297297297,0.375,-0.375,MISSING_NOT_RUN,,
rx_20_1__seed_713104__k_1__new_20,20-1,713104,1,20,leo_low_elev_weak,0.65,0.31666666666666665,0.25,0.0,0.27,0.29147727272727275,0.33333333333333337,-0.33333333333333337,MISSING_NOT_RUN,,
rx_20_1__seed_713104__k_1__new_20,20-1,713104,1,20,leo_rain_weak,0.675,0.5,0.25,0.15,0.235,0.31972789115646255,0.17500000000000004,-0.17500000000000004,MISSING_NOT_RUN,,
rx_20_1__seed_713105__k_10__new_5,20-1,713105,10,5,leo_clear_weak,0.9333333333333333,0.8916666666666667,0.8,0.75,0.89,0.8908325537885875,0.04166666666666663,-0.04166666666666663,MISSING_NOT_RUN,,
rx_20_1__seed_713105__k_10__new_5,20-1,713105,10,5,leo_low_elev_weak,0.9416666666666667,0.7916666666666666,0.8,0.55,0.79,0.7908324552160169,0.15000000000000002,-0.15000000000000002,MISSING_NOT_RUN,,
rx_20_1__seed_713105__k_10__new_5,20-1,713105,10,5,leo_rain_weak,0.8333333333333334,0.7166666666666667,0.6,0.3,0.82,0.7648590021691974,0.1166666666666667,-0.1166666666666667,MISSING_NOT_RUN,,
rx_20_1__seed_713105__k_10__new_10,20-1,713105,10,10,leo_clear_weak,0.9333333333333333,0.8583333333333333,0.8,0.65,0.82,0.838728897715988,0.07500000000000007,-0.07500000000000007,MISSING_NOT_RUN,,
rx_20_1__seed_713105__k_10__new_10,20-1,713105,10,10,leo_low_elev_weak,0.9416666666666667,0.7583333333333333,0.8,0.5,0.73,0.7438969764837626,0.18333333333333335,-0.18333333333333335,MISSING_NOT_RUN,,
rx_20_1__seed_713105__k_10__new_10,20-1,713105,10,10,leo_rain_weak,0.8333333333333334,0.6583333333333333,0.6,0.35,0.7,0.6785276073619632,0.17500000000000004,-0.17500000000000004,MISSING_NOT_RUN,,
rx_20_1__seed_713105__k_10__new_20,20-1,713105,10,20,leo_clear_weak,0.9333333333333333,0.8416666666666667,0.8,0.5,0.7725,0.8056014455343314,0.09166666666666667,-0.09166666666666667,MISSING_NOT_RUN,,
rx_20_1__seed_713105__k_10__new_20,20-1,713105,10,20,leo_low_elev_weak,0.9416666666666667,0.7083333333333334,0.8,0.4,0.6475,0.6765519360786723,0.23333333333333328,-0.23333333333333328,MISSING_NOT_RUN,,
rx_20_1__seed_713105__k_10__new_20,20-1,713105,10,20,leo_rain_weak,0.8333333333333334,0.6333333333333333,0.6,0.25,0.6475,0.6403383214053351,0.20000000000000007,-0.20000000000000007,MISSING_NOT_RUN,,
rx_20_1__seed_713105__k_5__new_20,20-1,713105,5,20,leo_clear_weak,0.9083333333333333,0.7333333333333333,0.8,0.6,0.685,0.7083431257344299,0.17500000000000004,-0.17500000000000004,MISSING_NOT_RUN,,
rx_20_1__seed_713105__k_5__new_20,20-1,713105,5,20,leo_low_elev_weak,0.8583333333333333,0.6083333333333333,0.75,0.3,0.5675,0.5872076541459957,0.25,-0.25,MISSING_NOT_RUN,,
rx_20_1__seed_713105__k_5__new_20,20-1,713105,5,20,leo_rain_weak,0.7583333333333333,0.5916666666666667,0.35,0.2,0.55,0.57007299270073,0.16666666666666663,-0.16666666666666663,MISSING_NOT_RUN,,
rx_20_1__seed_713105__k_1__new_20,20-1,713105,1,20,leo_clear_weak,0.6833333333333333,0.45,0.25,0.05,0.3525,0.3953271028037383,0.23333333333333334,-0.23333333333333334,MISSING_NOT_RUN,,
rx_20_1__seed_713105__k_1__new_20,20-1,713105,1,20,leo_low_elev_weak,0.725,0.39166666666666666,0.45,0.0,0.2825,0.32824474660074165,0.3333333333333333,-0.3333333333333333,MISSING_NOT_RUN,,
rx_20_1__seed_713105__k_1__new_20,20-1,713105,1,20,leo_rain_weak,0.5333333333333333,0.26666666666666666,0.0,0.0,0.27,0.26832298136645966,0.26666666666666666,-0.26666666666666666,MISSING_NOT_RUN,,
rx_20_1__seed_713106__k_10__new_5,20-1,713106,10,5,leo_clear_weak,0.925,0.8166666666666667,0.8,0.65,0.81,0.8133196721311475,0.10833333333333339,-0.10833333333333339,MISSING_NOT_RUN,,
rx_20_1__seed_713106__k_10__new_5,20-1,713106,10,5,leo_low_elev_weak,0.9,0.7666666666666667,0.85,0.45,0.74,0.7530973451327433,0.1333333333333333,-0.1333333333333333,MISSING_NOT_RUN,,
rx_20_1__seed_713106__k_10__new_5,20-1,713106,10,5,leo_rain_weak,0.8833333333333333,0.8083333333333333,0.75,0.6,0.75,0.7780748663101603,0.07499999999999996,-0.07499999999999996,MISSING_NOT_RUN,,
rx_20_1__seed_713106__k_10__new_10,20-1,713106,10,10,leo_clear_weak,0.925,0.75,0.8,0.55,0.72,0.7346938775510204,0.17500000000000004,-0.17500000000000004,MISSING_NOT_RUN,,
rx_20_1__seed_713106__k_10__new_10,20-1,713106,10,10,leo_low_elev_weak,0.9,0.7166666666666667,0.85,0.4,0.705,0.7107854630715122,0.18333333333333335,-0.18333333333333335,MISSING_NOT_RUN,,
rx_20_1__seed_713106__k_10__new_10,20-1,713106,10,10,leo_rain_weak,0.8833333333333333,0.7666666666666667,0.75,0.5,0.7,0.7318181818181817,0.11666666666666659,-0.11666666666666659,MISSING_NOT_RUN,,
rx_20_1__seed_713106__k_10__new_20,20-1,713106,10,20,leo_clear_weak,0.925,0.675,0.8,0.5,0.7075,0.690867992766727,0.25,-0.25,MISSING_NOT_RUN,,
rx_20_1__seed_713106__k_10__new_20,20-1,713106,10,20,leo_low_elev_weak,0.9,0.675,0.85,0.4,0.6775,0.6762476894639556,0.22499999999999998,-0.22499999999999998,MISSING_NOT_RUN,,
rx_20_1__seed_713106__k_10__new_20,20-1,713106,10,20,leo_rain_weak,0.8833333333333333,0.7416666666666667,0.75,0.45,0.645,0.6899639423076923,0.1416666666666666,-0.1416666666666666,MISSING_NOT_RUN,,
rx_20_1__seed_713106__k_5__new_20,20-1,713106,5,20,leo_clear_weak,0.9083333333333333,0.6916666666666667,0.85,0.55,0.6325,0.6607614852108243,0.21666666666666667,-0.21666666666666667,MISSING_NOT_RUN,,
rx_20_1__seed_713106__k_5__new_20,20-1,713106,5,20,leo_low_elev_weak,0.8666666666666667,0.6166666666666667,0.75,0.25,0.555,0.5842105263157895,0.25,-0.25,MISSING_NOT_RUN,,
rx_20_1__seed_713106__k_5__new_20,20-1,713106,5,20,leo_rain_weak,0.8583333333333333,0.575,0.7,0.2,0.525,0.5488636363636363,0.2833333333333333,-0.2833333333333333,MISSING_NOT_RUN,,
rx_20_1__seed_713106__k_1__new_20,20-1,713106,1,20,leo_clear_weak,0.6916666666666667,0.4166666666666667,0.25,0.2,0.3225,0.36358511837655016,0.27499999999999997,-0.27499999999999997,MISSING_NOT_RUN,,
rx_20_1__seed_713106__k_1__new_20,20-1,713106,1,20,leo_low_elev_weak,0.75,0.5,0.6,0.0,0.285,0.36305732484076436,0.25,-0.25,MISSING_NOT_RUN,,
rx_20_1__seed_713106__k_1__new_20,20-1,713106,1,20,leo_rain_weak,0.6583333333333333,0.31666666666666665,0.2,0.0,0.235,0.2697885196374622,0.3416666666666667,-0.3416666666666667,MISSING_NOT_RUN,,
rx_3_19__seed_713102__k_10__new_5,3-19,713102,10,5,leo_clear_weak,0.7833333333333333,0.65,0.55,0.25,0.58,0.6130081300813008,0.1333333333333333,-0.1333333333333333,MISSING_NOT_RUN,,
rx_3_19__seed_713102__k_10__new_5,3-19,713102,10,5,leo_low_elev_weak,0.6416666666666667,0.525,0.3,0.2,0.46,0.4903553299492386,0.1166666666666667,-0.1166666666666667,MISSING_NOT_RUN,,
rx_3_19__seed_713102__k_10__new_5,3-19,713102,10,5,leo_rain_weak,0.675,0.5666666666666667,0.35,0.3,0.53,0.5477203647416413,0.10833333333333339,-0.10833333333333339,MISSING_NOT_RUN,,
rx_3_19__seed_713102__k_10__new_10,3-19,713102,10,10,leo_clear_weak,0.7833333333333333,0.6166666666666667,0.55,0.15,0.57,0.5924157303370787,0.16666666666666663,-0.16666666666666663,MISSING_NOT_RUN,,
rx_3_19__seed_713102__k_10__new_10,3-19,713102,10,10,leo_low_elev_weak,0.6416666666666667,0.5083333333333333,0.3,0.25,0.34,0.4074656188605108,0.13333333333333341,-0.13333333333333341,MISSING_NOT_RUN,,
rx_3_19__seed_713102__k_10__new_10,3-19,713102,10,10,leo_rain_weak,0.675,0.5333333333333333,0.35,0.25,0.44,0.48219178082191777,0.14166666666666672,-0.14166666666666672,MISSING_NOT_RUN,,
rx_3_19__seed_713102__k_10__new_20,3-19,713102,10,20,leo_clear_weak,0.7833333333333333,0.625,0.55,0.2,0.6,0.6122448979591836,0.15833333333333333,-0.15833333333333333,MISSING_NOT_RUN,,
