run_id,base_policy,rescue_policy,confidence_quantile,confidence_min,require_anchor_table_match,unknown_FAR,passes_unknown_far_target,known_closed_accuracy_no_reject,known_full_accuracy_after_reject,old_drop_pp_vs_closed,passes_old_drop_target,passes_dual_target,known_coverage,known_accepted_accuracy,rescued_known_query,rescued_unknown_query,known_query_count,unknown_query_count
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_LIN_PROXY05,SATREPAIRA7_LIN_PROXY05_ANCHOR_RESCUE_q0p99_match1,0.99,1.0,True,0.29595014452934265,False,0.4658333333333333,0.3,16.583333333333332,False,False,0.4683333333333333,0.6405693950177936,242,41,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p00_match0,0.0,0.506338357925415,False,0.9781931638717651,False,0.4658333333333333,0.6208333333333333,-15.500000000000004,True,False,0.9933333333333333,0.625,1000,289,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p00_match1,0.0,0.506338357925415,True,0.4267912805080414,False,0.4658333333333333,0.4008333333333333,6.5,False,False,0.5575,0.71898355754858,477,112,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p25_match0,0.25,1.0,False,0.2741433084011078,False,0.4658333333333333,0.385,8.083333333333332,False,False,0.4708333333333333,0.8176991150442477,373,63,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p25_match1,0.25,1.0,True,0.1838006228208542,False,0.4658333333333333,0.2866666666666667,17.916666666666664,False,False,0.35,0.819047619047619,228,34,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p50_match0,0.5,1.0,False,0.2741433084011078,False,0.4658333333333333,0.385,8.083333333333332,False,False,0.4708333333333333,0.8176991150442477,373,63,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p50_match1,0.5,1.0,True,0.1838006228208542,False,0.4658333333333333,0.2866666666666667,17.916666666666664,False,False,0.35,0.819047619047619,228,34,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p75_match0,0.75,1.0,False,0.2741433084011078,False,0.4658333333333333,0.385,8.083333333333332,False,False,0.4708333333333333,0.8176991150442477,373,63,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p75_match1,0.75,1.0,True,0.1838006228208542,False,0.4658333333333333,0.2866666666666667,17.916666666666664,False,False,0.35,0.819047619047619,228,34,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p90_match0,0.9,1.0,False,0.2741433084011078,False,0.4658333333333333,0.385,8.083333333333332,False,False,0.4708333333333333,0.8176991150442477,373,63,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p90_match1,0.9,1.0,True,0.1838006228208542,False,0.4658333333333333,0.2866666666666667,17.916666666666664,False,False,0.35,0.819047619047619,228,34,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p95_match0,0.95,1.0,False,0.2741433084011078,False,0.4658333333333333,0.385,8.083333333333332,False,False,0.4708333333333333,0.8176991150442477,373,63,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p95_match1,0.95,1.0,True,0.1838006228208542,False,0.4658333333333333,0.2866666666666667,17.916666666666664,False,False,0.35,0.819047619047619,228,34,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p98_match0,0.98,1.0,False,0.2741433084011078,False,0.4658333333333333,0.385,8.083333333333332,False,False,0.4708333333333333,0.8176991150442477,373,63,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p98_match1,0.98,1.0,True,0.1838006228208542,False,0.4658333333333333,0.2866666666666667,17.916666666666664,False,False,0.35,0.819047619047619,228,34,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p99_match0,0.99,1.0,False,0.2741433084011078,False,0.4658333333333333,0.385,8.083333333333332,False,False,0.4708333333333333,0.8176991150442477,373,63,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,SATREPAIRA7_MLP_M50_COR_PROXY05_ANCHOR_RESCUE_q0p99_match1,0.99,1.0,True,0.1838006228208542,False,0.4658333333333333,0.2866666666666667,17.916666666666664,False,False,0.35,0.819047619047619,228,34,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_PROXY02,SATREPAIRA7_MLP_M50_PROXY02_ANCHOR_RESCUE_q0p00_match0,0.0,0.506338357925415,False,0.9781931638717651,False,0.4658333333333333,0.6025,-13.666666666666671,True,False,0.9933333333333333,0.6065436241610739,1042,285,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_PROXY02,SATREPAIRA7_MLP_M50_PROXY02_ANCHOR_RESCUE_q0p00_match1,0.0,0.506338357925415,True,0.4828660488128662,False,0.4658333333333333,0.4041666666666667,6.166666666666664,False,False,0.5958333333333333,0.6783216783216783,565,126,1200,321
phase1_adv3b02_satrepair_anchor7_rx20_1_u10_20260702,SATREPAIRA7_MLP_M50_PROXY02,SATREPAIRA7_MLP_M50_PROXY02_ANCHOR_RESCUE_q0p25_match0,0.25,1.0,False,0.29595014452934265,False,0.4658333333333333,0.3675,9.833333333333332,False,False,0.4725,0.7777777777777778,417,66,1200,321
