run_id,policy,head_type,loss_mode,source_loss_weight,threshold_policy,unknown_FAR,passes_unknown_far_target,known_closed_accuracy_no_reject,known_full_accuracy_after_reject,old_drop_pp_vs_closed,passes_old_drop_target,passes_dual_target,known_coverage,known_accepted_accuracy,source_accept_quantile,proxy_far_quantile,known_query_count,unknown_query_count,train_known_correct_only,satellite_tta_policy,satellite_tta_view_count
phase1_adv3b02_satrepair_anchor7_rx3_19_u10_20260702,SATREPAIRA7_MLP_M20_PROXY05,mlp,margin,20.0,proxy_far,0.1111111119389534,False,0.43416666666666665,0.075,35.916666666666664,False,False,0.17083333333333334,0.43902439024390244,1.0,0.05,1200,369,False,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u10_20260702,SATREPAIRA7_MLP_M20_SRC9999,mlp,margin,20.0,source_accept,0.39024388790130615,False,0.43416666666666665,0.2625,17.166666666666664,False,False,0.5766666666666667,0.4552023121387283,0.9999,0.05,1200,369,False,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u10_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,mlp,margin,50.0,proxy_far,0.054200541228055954,False,0.43416666666666665,0.06583333333333333,36.83333333333333,False,False,0.08666666666666667,0.7596153846153846,1.0,0.05,1200,369,True,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u10_20260702,SATREPAIRA7_MLP_M50_COR_SRC9999,mlp,margin,50.0,source_accept,0.3035230338573456,False,0.43416666666666665,0.24083333333333334,19.33333333333333,False,False,0.41583333333333333,0.5791583166332666,0.9999,0.05,1200,369,True,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u10_20260702,SATREPAIRA7_MLP_M50_PROXY02,mlp,margin,50.0,proxy_far,0.06775067746639252,False,0.43416666666666665,0.04,39.416666666666664,False,False,0.0775,0.5161290322580645,1.0,0.02,1200,369,False,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u10_20260702,SATREPAIRA7_MLP_M50_PROXY05,mlp,margin,50.0,proxy_far,0.11924119293689728,False,0.43416666666666665,0.07083333333333333,36.33333333333333,False,False,0.15083333333333335,0.4696132596685083,1.0,0.05,1200,369,False,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u10_20260702,SATREPAIRA7_MLP_M50_SRC9999,mlp,margin,50.0,source_accept,0.7425474524497986,False,0.43416666666666665,0.37833333333333335,5.583333333333329,False,False,0.8766666666666667,0.43155893536121676,0.9999,0.05,1200,369,False,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u1_20260702,SATREPAIRA7_LIN_MIN05,linear,bce,1.0,min_source_proxy,0.08749999850988388,False,0.43416666666666665,0.09,34.416666666666664,False,False,0.19083333333333333,0.47161572052401746,1.0,0.05,1200,400,False,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u1_20260702,SATREPAIRA7_LIN_PROXY05,linear,bce,1.0,proxy_far,0.08749999850988388,False,0.43416666666666665,0.09,34.416666666666664,False,False,0.19083333333333333,0.47161572052401746,1.0,0.05,1200,400,False,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u1_20260702,SATREPAIRA7_LIN_SRC999,linear,bce,1.0,source_accept,0.9775000214576721,False,0.43416666666666665,0.42916666666666664,0.5000000000000004,True,False,0.9883333333333333,0.4342327150084317,0.999,0.05,1200,400,False,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u1_20260702,SATREPAIRA7_LIN_SRC9999,linear,bce,1.0,source_accept,0.9775000214576721,False,0.43416666666666665,0.42916666666666664,0.5000000000000004,True,False,0.9883333333333333,0.4342327150084317,0.9999,0.05,1200,400,False,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u1_20260702,SATREPAIRA7_MLP64_MIN05,mlp,bce,1.0,min_source_proxy,0.2549999952316284,False,0.43416666666666665,0.13583333333333333,29.833333333333336,False,False,0.3016666666666667,0.45027624309392267,1.0,0.05,1200,400,False,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u1_20260702,SATREPAIRA7_MLP64_PROXY05,mlp,bce,1.0,proxy_far,0.32749998569488525,False,0.43416666666666665,0.18666666666666668,24.749999999999996,False,False,0.4041666666666667,0.4618556701030928,1.0,0.05,1200,400,False,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u1_20260702,SATREPAIRA7_MLP64_SRC9999,mlp,bce,1.0,source_accept,0.2549999952316284,False,0.43416666666666665,0.135,29.916666666666664,False,False,0.30083333333333334,0.4487534626038781,0.9999,0.05,1200,400,False,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u1_20260702,SATREPAIRA7_MLP_M20_PROXY05,mlp,margin,20.0,proxy_far,0.10499999672174454,False,0.43416666666666665,0.075,35.916666666666664,False,False,0.17083333333333334,0.43902439024390244,1.0,0.05,1200,400,False,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u1_20260702,SATREPAIRA7_MLP_M20_SRC9999,mlp,margin,20.0,source_accept,0.4724999964237213,False,0.43416666666666665,0.2625,17.166666666666664,False,False,0.5766666666666667,0.4552023121387283,0.9999,0.05,1200,400,False,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u1_20260702,SATREPAIRA7_MLP_M50_COR_PROXY05,mlp,margin,50.0,proxy_far,0.057500001043081284,False,0.43416666666666665,0.06583333333333333,36.83333333333333,False,False,0.08666666666666667,0.7596153846153846,1.0,0.05,1200,400,True,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u1_20260702,SATREPAIRA7_MLP_M50_COR_SRC9999,mlp,margin,50.0,source_accept,0.3499999940395355,False,0.43416666666666665,0.24083333333333334,19.33333333333333,False,False,0.41583333333333333,0.5791583166332666,0.9999,0.05,1200,400,True,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u1_20260702,SATREPAIRA7_MLP_M50_PROXY02,mlp,margin,50.0,proxy_far,0.054999999701976776,False,0.43416666666666665,0.04,39.416666666666664,False,False,0.0775,0.5161290322580645,1.0,0.02,1200,400,False,sat_rx_repair_anchor7,7
phase1_adv3b02_satrepair_anchor7_rx3_19_u1_20260702,SATREPAIRA7_MLP_M50_PROXY05,mlp,margin,50.0,proxy_far,0.09000000357627869,False,0.43416666666666665,0.07083333333333333,36.33333333333333,False,False,0.15083333333333335,0.4696132596685083,1.0,0.05,1200,400,False,sat_rx_repair_anchor7,7
