run_id,view,known_closed_acc,known_total,source_closed_acc,source_total,satellite_tta_policy,satellite_tta_view_count
phase1_adv3b02_satrepair9_rx7_14_u10_20260702,repair_cfo_m1e4,0.3616666666666667,1200,0.3441666666666667,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_14_u10_20260702,repair_cfo_p1e4,0.3566666666666667,1200,0.3475,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_14_u10_20260702,repair_fir_amp,0.24333333333333335,1200,0.2525,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_14_u10_20260702,repair_iq_standard,0.3525,1200,0.3358333333333333,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_14_u10_20260702,repair_short_fir,0.32083333333333336,1200,0.295,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_14_u10_20260702,repair_spectral,0.3675,1200,0.35333333333333333,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_14_u1_20260702,repair_amp_flat,0.2683333333333333,1200,0.28,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_14_u1_20260702,repair_amp_spectral,0.26916666666666667,1200,0.26916666666666667,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_14_u1_20260702,repair_canonical,0.3616666666666667,1200,0.34,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_14_u1_20260702,repair_cfo_m1e4,0.3616666666666667,1200,0.3441666666666667,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_14_u1_20260702,repair_cfo_p1e4,0.3566666666666667,1200,0.3475,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_14_u1_20260702,repair_fir_amp,0.24333333333333335,1200,0.2525,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_14_u1_20260702,repair_iq_standard,0.3525,1200,0.3358333333333333,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_14_u1_20260702,repair_short_fir,0.32083333333333336,1200,0.295,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_14_u1_20260702,repair_spectral,0.3675,1200,0.35333333333333333,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u10_20260702,repair_amp_flat,0.26416666666666666,1200,0.28,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u10_20260702,repair_amp_spectral,0.26416666666666666,1200,0.26916666666666667,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u10_20260702,repair_canonical,0.3283333333333333,1200,0.34,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u10_20260702,repair_cfo_m1e4,0.3325,1200,0.3441666666666667,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u10_20260702,repair_cfo_p1e4,0.325,1200,0.3475,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u10_20260702,repair_fir_amp,0.26,1200,0.2525,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u10_20260702,repair_iq_standard,0.3175,1200,0.3358333333333333,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u10_20260702,repair_short_fir,0.30666666666666664,1200,0.295,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u10_20260702,repair_spectral,0.305,1200,0.35333333333333333,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u1_20260702,repair_amp_flat,0.26416666666666666,1200,0.28,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u1_20260702,repair_amp_spectral,0.26416666666666666,1200,0.26916666666666667,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u1_20260702,repair_canonical,0.3283333333333333,1200,0.34,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u1_20260702,repair_cfo_m1e4,0.3325,1200,0.3441666666666667,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u1_20260702,repair_cfo_p1e4,0.325,1200,0.3475,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u1_20260702,repair_fir_amp,0.26,1200,0.2525,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u1_20260702,repair_iq_standard,0.3175,1200,0.3358333333333333,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u1_20260702,repair_short_fir,0.30666666666666664,1200,0.295,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx7_7_u1_20260702,repair_spectral,0.305,1200,0.35333333333333333,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u10_20260702,repair_amp_flat,0.31,1200,0.28,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u10_20260702,repair_amp_spectral,0.31666666666666665,1200,0.26916666666666667,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u10_20260702,repair_canonical,0.35,1200,0.34,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u10_20260702,repair_cfo_m1e4,0.3441666666666667,1200,0.3441666666666667,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u10_20260702,repair_cfo_p1e4,0.3441666666666667,1200,0.3475,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u10_20260702,repair_fir_amp,0.22666666666666666,1200,0.2525,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u10_20260702,repair_iq_standard,0.3575,1200,0.3358333333333333,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u10_20260702,repair_short_fir,0.25916666666666666,1200,0.295,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u10_20260702,repair_spectral,0.3641666666666667,1200,0.35333333333333333,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u1_20260702,repair_amp_flat,0.31,1200,0.28,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u1_20260702,repair_amp_spectral,0.31666666666666665,1200,0.26916666666666667,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u1_20260702,repair_canonical,0.35,1200,0.34,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u1_20260702,repair_cfo_m1e4,0.3441666666666667,1200,0.3441666666666667,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u1_20260702,repair_cfo_p1e4,0.3441666666666667,1200,0.3475,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u1_20260702,repair_fir_amp,0.22666666666666666,1200,0.2525,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u1_20260702,repair_iq_standard,0.3575,1200,0.3358333333333333,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u1_20260702,repair_short_fir,0.25916666666666666,1200,0.295,1200,sat_rx_repair9,9
phase1_adv3b02_satrepair9_rx8_8_u1_20260702,repair_spectral,0.3641666666666667,1200,0.35333333333333333,1200,sat_rx_repair9,9
