run_id,scene,count,correct,accuracy,macro_precision,macro_recall,macro_f1,worst_tx_accuracy,worst_tx,worst_rx,worst_rx_accuracy
V2_EG_HIGH_ADV0_seed392005,clean,27000,26577,0.9843333333333333,0.9844018991009434,0.9843333333333334,0.9843297434055159,0.972,3,3,0.9611111111111111
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,27000,25065,0.9283333333333333,0.9297257241209116,0.9283333333333333,0.9282470884512417,0.8631111111111112,0,3,0.8718518518518519
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,27000,24155,0.8946296296296297,0.8963637208164458,0.8946296296296296,0.8939863655810667,0.8046666666666666,0,3,0.835925925925926
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,27000,24194,0.896074074074074,0.8973224346943199,0.896074074074074,0.8954824998583838,0.8004444444444444,1,3,0.842037037037037
V2_EG_HIGH_ADV0_seed392006,clean,27000,26519,0.9821851851851852,0.982272962427342,0.9821851851851853,0.9821724925825684,0.9562222222222222,3,3,0.9531481481481482
V2_EG_HIGH_ADV0_seed392006,leo_clear_weak,27000,25283,0.9364074074074074,0.9366784878417463,0.9364074074074075,0.9363526592383774,0.8684444444444445,3,3,0.8572222222222222
V2_EG_HIGH_ADV0_seed392006,leo_low_elev_weak,27000,24389,0.9032962962962963,0.9027896929857923,0.9032962962962964,0.9027604204326839,0.8084444444444444,3,3,0.8257407407407408
V2_EG_HIGH_ADV0_seed392006,leo_rain_weak,27000,24324,0.9008888888888889,0.8998704462181729,0.9008888888888889,0.9001504457533208,0.7902222222222223,3,3,0.8264814814814815
V2_EG_HIGH_ADV0_seed392007,clean,27000,26473,0.9804814814814815,0.9806092626787487,0.9804814814814814,0.9804813176957886,0.9526666666666667,3,3,0.942037037037037
V2_EG_HIGH_ADV0_seed392007,leo_clear_weak,27000,25322,0.9378518518518518,0.9384792265470053,0.9378518518518518,0.9381096279873627,0.8828888888888888,1,3,0.8533333333333334
V2_EG_HIGH_ADV0_seed392007,leo_low_elev_weak,27000,24631,0.9122592592592592,0.9130256481843473,0.9122592592592591,0.9125747547725989,0.8411111111111111,3,3,0.8192592592592592
V2_EG_HIGH_ADV0_seed392007,leo_rain_weak,27000,24563,0.9097407407407407,0.9104666144040272,0.9097407407407408,0.9100265349000897,0.8213333333333334,1,3,0.8151851851851852
V2_EG_HIGH_ADV035_seed392005,clean,27000,26537,0.9828518518518519,0.9829838258894226,0.9828518518518519,0.9828498085825036,0.9608888888888889,3,3,0.9575925925925926
V2_EG_HIGH_ADV035_seed392005,leo_clear_weak,27000,25174,0.9323703703703704,0.9336684790976982,0.9323703703703704,0.9323951946416279,0.8468888888888889,3,3,0.8601851851851852
V2_EG_HIGH_ADV035_seed392005,leo_low_elev_weak,27000,24372,0.9026666666666666,0.9042204243115141,0.9026666666666667,0.9023373759963018,0.7857777777777778,3,3,0.8398148148148148
V2_EG_HIGH_ADV035_seed392005,leo_rain_weak,27000,24336,0.9013333333333333,0.9024103606998634,0.9013333333333334,0.90072298026384,0.7535555555555555,3,3,0.8325925925925926
V2_EG_HIGH_ADV035_seed392006,clean,27000,26511,0.9818888888888889,0.981914678876948,0.9818888888888888,0.9818747585531447,0.9606666666666667,3,3,0.9581481481481482
V2_EG_HIGH_ADV035_seed392006,leo_clear_weak,27000,25466,0.9431851851851852,0.9434334516692444,0.9431851851851851,0.9431568191208709,0.8764444444444445,3,3,0.8748148148148148
V2_EG_HIGH_ADV035_seed392006,leo_low_elev_weak,27000,24577,0.9102592592592592,0.909987983875138,0.9102592592592593,0.9097960924068852,0.7962222222222223,3,3,0.8466666666666667
V2_EG_HIGH_ADV035_seed392006,leo_rain_weak,27000,24569,0.909962962962963,0.9095002221167098,0.909962962962963,0.9093357927032386,0.788,3,3,0.85
