run_id,scene,tx_label,count,correct,predicted_count,precision,recall,f1
V2_EG_HIGH_ADV0_seed392006,leo_low_elev_weak,5,4500,4409,4502,0.9793425144380276,0.9797777777777777,0.9795600977560542
V2_EG_HIGH_ADV0_seed392006,leo_rain_weak,0,4500,3931,4479,0.8776512614422862,0.8735555555555555,0.8755986189998887
V2_EG_HIGH_ADV0_seed392006,leo_rain_weak,1,4500,3665,4407,0.8316314953483095,0.8144444444444444,0.8229482429549793
V2_EG_HIGH_ADV0_seed392006,leo_rain_weak,2,4500,4332,4482,0.9665327978580991,0.9626666666666667,0.9645958583834335
V2_EG_HIGH_ADV0_seed392006,leo_rain_weak,3,4500,3556,4318,0.8235294117647058,0.7902222222222223,0.8065320934452257
V2_EG_HIGH_ADV0_seed392006,leo_rain_weak,4,4500,4411,4790,0.9208768267223382,0.9802222222222222,0.9496232508073197
V2_EG_HIGH_ADV0_seed392006,leo_rain_weak,5,4500,4429,4524,0.979000884173298,0.9842222222222222,0.981604609929078
V2_EG_HIGH_ADV0_seed392007,clean,0,4500,4432,4492,0.9866429207479964,0.9848888888888889,0.9857651245551602
V2_EG_HIGH_ADV0_seed392007,clean,1,4500,4425,4638,0.9540750323415266,0.9833333333333333,0.9684832567301379
V2_EG_HIGH_ADV0_seed392007,clean,2,4500,4442,4493,0.9886490095704429,0.9871111111111112,0.9878794618036251
V2_EG_HIGH_ADV0_seed392007,clean,3,4500,4287,4386,0.9774281805745554,0.9526666666666667,0.9648885887913572
V2_EG_HIGH_ADV0_seed392007,clean,4,4500,4428,4485,0.9872909698996656,0.984,0.9856427378964941
V2_EG_HIGH_ADV0_seed392007,clean,5,4500,4459,4506,0.9895694629383045,0.9908888888888889,0.9902287363979569
V2_EG_HIGH_ADV0_seed392007,leo_clear_weak,0,4500,4210,4442,0.9477712742008104,0.9355555555555556,0.9416237978080966
V2_EG_HIGH_ADV0_seed392007,leo_clear_weak,1,4500,3973,4520,0.8789823008849558,0.8828888888888888,0.8809312638580932
V2_EG_HIGH_ADV0_seed392007,leo_clear_weak,2,4500,4345,4407,0.9859314726571363,0.9655555555555555,0.975637139328618
V2_EG_HIGH_ADV0_seed392007,leo_clear_weak,3,4500,3977,4633,0.8584070796460177,0.8837777777777778,0.8709076973612175
V2_EG_HIGH_ADV0_seed392007,leo_clear_weak,4,4500,4376,4503,0.9717965800577393,0.9724444444444444,0.9721204043096745
V2_EG_HIGH_ADV0_seed392007,leo_clear_weak,5,4500,4441,4495,0.9879866518353726,0.9868888888888889,0.987437465258477
