run_id,scene,group_id,count,correct,accuracy,macro_precision,macro_recall,macro_f1,worst_tx_accuracy
V2_EG_HIGH_ADV0_seed392005,clean,1,9000,8858,0.9842222222222222,0.9842839577621469,0.9842222222222222,0.9842117814690008,0.9686666666666667
V2_EG_HIGH_ADV0_seed392005,clean,2,9000,8892,0.988,0.9880151848516335,0.988,0.9879953429847341,0.9773333333333334
V2_EG_HIGH_ADV0_seed392005,clean,3,9000,8827,0.9807777777777777,0.9809614019311148,0.9807777777777779,0.980785494618671,0.9653333333333334
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,1,9000,8339,0.9265555555555556,0.9287100581295844,0.9265555555555555,0.9265061651687748,0.846
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,2,9000,8464,0.9404444444444444,0.9418101982321346,0.9404444444444443,0.9403363856058299,0.8633333333333333
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,3,9000,8262,0.918,0.9188538421635039,0.918,0.9176709758026192,0.81
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,1,9000,8017,0.8907777777777778,0.8925202394532197,0.8907777777777778,0.8901918387959079,0.7933333333333333
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,2,9000,8116,0.9017777777777778,0.9044258099158653,0.9017777777777778,0.9010038100140864,0.7826666666666666
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,3,9000,8022,0.8913333333333333,0.8922590430259209,0.8913333333333333,0.8905554531912343,0.7713333333333333
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,1,9000,8068,0.8964444444444445,0.8983354483260849,0.8964444444444445,0.8960191387327635,0.808
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,2,9000,8136,0.904,0.9057446180298944,0.9039999999999999,0.9034759225061499,0.8086666666666666
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,3,9000,7990,0.8877777777777778,0.8882935999672044,0.8877777777777777,0.8866937528251587,0.742
V2_EG_HIGH_ADV0_seed392006,clean,1,9000,8847,0.983,0.9830999837062376,0.983,0.9829863624474252,0.9553333333333334
V2_EG_HIGH_ADV0_seed392006,clean,2,9000,8867,0.9852222222222222,0.9853279762776093,0.9852222222222222,0.9852073699848027,0.9586666666666667
V2_EG_HIGH_ADV0_seed392006,clean,3,9000,8805,0.9783333333333334,0.9784302461450332,0.9783333333333334,0.978325560337015,0.9546666666666667
V2_EG_HIGH_ADV0_seed392006,leo_clear_weak,1,9000,8454,0.9393333333333334,0.9402076484754596,0.9393333333333334,0.939372925027896,0.8613333333333333
V2_EG_HIGH_ADV0_seed392006,leo_clear_weak,2,9000,8510,0.9455555555555556,0.9457336711333878,0.9455555555555555,0.9455115559712824,0.8986666666666666
V2_EG_HIGH_ADV0_seed392006,leo_clear_weak,3,9000,8319,0.9243333333333333,0.9243155267202079,0.9243333333333336,0.9241489934546006,0.8453333333333334
V2_EG_HIGH_ADV0_seed392006,leo_low_elev_weak,1,9000,8123,0.9025555555555556,0.9020424816771397,0.9025555555555554,0.9020525728762294,0.7886666666666666
V2_EG_HIGH_ADV0_seed392006,leo_low_elev_weak,2,9000,8222,0.9135555555555556,0.913838363960624,0.9135555555555556,0.9131451545440313,0.8413333333333334
V2_EG_HIGH_ADV0_seed392006,leo_low_elev_weak,3,9000,8044,0.8937777777777778,0.8927521266738531,0.8937777777777778,0.8930025405861567,0.792
V2_EG_HIGH_ADV0_seed392006,leo_rain_weak,1,9000,8128,0.9031111111111111,0.9025152848512638,0.9031111111111111,0.9025368553448693,0.7846666666666666
V2_EG_HIGH_ADV0_seed392006,leo_rain_weak,2,9000,8197,0.9107777777777778,0.9099377392388671,0.9107777777777778,0.9101050897528028,0.814
V2_EG_HIGH_ADV0_seed392006,leo_rain_weak,3,9000,7999,0.8887777777777778,0.8873601534172946,0.8887777777777778,0.8876912955158401,0.7693333333333333
V2_EG_HIGH_ADV0_seed392007,clean,1,9000,8822,0.9802222222222222,0.9804057396451142,0.9802222222222222,0.980216285940652,0.948
V2_EG_HIGH_ADV0_seed392007,clean,2,9000,8858,0.9842222222222222,0.984368154449907,0.9842222222222222,0.9842179210491139,0.956
V2_EG_HIGH_ADV0_seed392007,clean,3,9000,8793,0.977,0.9770764599496323,0.977,0.9770048983519987,0.954
V2_EG_HIGH_ADV0_seed392007,leo_clear_weak,1,9000,8459,0.9398888888888889,0.9409311291722298,0.939888888888889,0.94019240852643,0.8706666666666667
V2_EG_HIGH_ADV0_seed392007,leo_clear_weak,2,9000,8529,0.9476666666666667,0.9482690414913506,0.9476666666666667,0.9478842161323612,0.9
V2_EG_HIGH_ADV0_seed392007,leo_clear_weak,3,9000,8334,0.926,0.9266238832384209,0.9259999999999998,0.9261345768373621,0.8353333333333334
V2_EG_HIGH_ADV0_seed392007,leo_low_elev_weak,1,9000,8205,0.9116666666666666,0.9127318258126316,0.9116666666666666,0.9120894605823565,0.828
V2_EG_HIGH_ADV0_seed392007,leo_low_elev_weak,2,9000,8342,0.9268888888888889,0.9273734340799012,0.926888888888889,0.9270823791432322,0.87
V2_EG_HIGH_ADV0_seed392007,leo_low_elev_weak,3,9000,8084,0.8982222222222223,0.8990537023091262,0.8982222222222224,0.8984876693370477,0.7966666666666666
V2_EG_HIGH_ADV0_seed392007,leo_rain_weak,1,9000,8175,0.9083333333333333,0.9092801421054402,0.9083333333333333,0.9087000475337362,0.8113333333333334
V2_EG_HIGH_ADV0_seed392007,leo_rain_weak,2,9000,8325,0.925,0.9253535548287033,0.9249999999999999,0.9251513070793953,0.856
V2_EG_HIGH_ADV0_seed392007,leo_rain_weak,3,9000,8063,0.8958888888888888,0.8970802905729577,0.895888888888889,0.8961232673375555,0.766
V2_EG_HIGH_ADV035_seed392005,clean,1,9000,8842,0.9824444444444445,0.9826389631157219,0.9824444444444445,0.9824295017007089,0.9513333333333334
V2_EG_HIGH_ADV035_seed392005,clean,2,9000,8877,0.9863333333333333,0.9864423720358202,0.9863333333333334,0.9863343254397314,0.9686666666666667
V2_EG_HIGH_ADV035_seed392005,clean,3,9000,8818,0.9797777777777777,0.9798887490243549,0.979777777777778,0.9797805389939689,0.9626666666666667
V2_EG_HIGH_ADV035_seed392005,leo_clear_weak,1,9000,8378,0.9308888888888889,0.9339992098551367,0.9308888888888888,0.931076289971598,0.8273333333333334
V2_EG_HIGH_ADV035_seed392005,leo_clear_weak,2,9000,8480,0.9422222222222222,0.9435129478911578,0.9422222222222222,0.9422665349087799,0.8813333333333333
V2_EG_HIGH_ADV035_seed392005,leo_clear_weak,3,9000,8316,0.924,0.9239936524497652,0.9239999999999999,0.9237034186925589,0.832
V2_EG_HIGH_ADV035_seed392005,leo_low_elev_weak,1,9000,8079,0.8976666666666666,0.9003748367874346,0.8976666666666667,0.897316853442664,0.7546666666666667
V2_EG_HIGH_ADV035_seed392005,leo_low_elev_weak,2,9000,8227,0.9141111111111111,0.9157049422814708,0.9141111111111112,0.9138010879618622,0.8253333333333334
V2_EG_HIGH_ADV035_seed392005,leo_low_elev_weak,3,9000,8066,0.8962222222222223,0.8969121460783661,0.8962222222222224,0.895748576939044,0.774
V2_EG_HIGH_ADV035_seed392005,leo_rain_weak,1,9000,8126,0.9028888888888889,0.9054777801902528,0.902888888888889,0.9025421916320653,0.7553333333333333
V2_EG_HIGH_ADV035_seed392005,leo_rain_weak,2,9000,8213,0.9125555555555556,0.913854178543659,0.9125555555555556,0.912081837869359,0.786
V2_EG_HIGH_ADV035_seed392005,leo_rain_weak,3,9000,7997,0.8885555555555555,0.8880228787777655,0.8885555555555555,0.8874043239023895,0.7193333333333334
