run_id,term,first_nonzero_epoch,nonzero_epoch_count,final_value,E1_79_mean,E80_130_mean,E131_200_mean
V2_EG_HIGH_ADV0_seed392005,tx,1,200,1.0737829304167203,3.2483305026685905,1.6919330168707745,1.2005860159982744
V2_EG_HIGH_ADV0_seed392005,dom,1,200,0.6254621549528472,1.1020845771605763,0.7084876941818865,0.623054469131346
V2_EG_HIGH_ADV0_seed392005,adv,,0,0.0,0.0,0.0,0.0
V2_EG_HIGH_ADV0_seed392005,orth,1,200,0.02349301906093499,0.0064604714319015,0.016074771594853658,0.018932714826073064
V2_EG_HIGH_ADV0_seed392005,cons,17,184,0.24385994885649,0.25452741103266535,0.2836826484040672,0.2546163207283868
V2_EG_HIGH_ADV0_seed392005,group_ce,1,200,2.0460849421060816,5.002492136048412,3.1171299053125736,2.386925187687398
V2_EG_HIGH_ADV0_seed392005,fishr,1,200,0.0016428703602379793,0.004977534974896173,0.002814800338021049,0.00199794997952757
V2_EG_HIGH_ADV0_seed392005,proto,1,200,0.1836133985495081,0.30618375043202606,0.2253935328837918,0.19411293338799615
V2_EG_HIGH_ADV0_seed392005,open_world_feat,12,189,0.05928791865554391,0.08025202559445195,0.08123894624461253,0.06579509632602204
V2_EG_HIGH_ADV0_seed392005,zid_compact,8,193,1.4574738862563152,1.2496674341618537,1.5554421334898247,1.4896479023788831
V2_EG_HIGH_ADV0_seed392005,proxy_unknown,45,156,5.836177388016059,2.204073599999464,6.4214238523244385,5.945479750007651
V2_EG_HIGH_ADV0_seed392005,soft_unknown_mixup,25,176,2.0656574283327376,1.4510841474968683,2.3164181973563047,2.1494684955121475
V2_EG_HIGH_ADV0_seed392005,source_episode,20,181,0.048163946347349156,0.04797944519389132,0.06993409709650136,0.054967952819416195
V2_EG_HIGH_ADV0_seed392005,sat_cls,80,121,2.382713108646626,0.0,3.9862074168408665,2.7154399808746037
V2_EG_HIGH_ADV0_seed392006,tx,1,200,0.9300133169305568,3.0780399465335337,1.6532488774065497,1.1802570548484173
V2_EG_HIGH_ADV0_seed392006,dom,1,200,0.56153988564501,1.1018908710496367,0.7331295893603966,0.6499687612882161
