run_id,epoch,steps,accepted,total_step,epoch_seconds,unlabeled_unique_samples,unlabeled_sampling,mean_loss,source_only,peak_memory_bytes,elapsed_seconds,loss_tx,loss_dom,loss_adv,loss_orth,loss_cons,loss_group_ce,loss_fishr,loss_proto,loss_open_world_feat,loss_zid_compact,loss_proxy_unknown,loss_soft_unknown_mixup,loss_source_episode,loss_sat_cls,loss_unlabeled_ce,loss_unlabeled_entropy
V2_EG_HIGH_ADV0_seed392005,1,49,49,49,118.7589403251186,0,permuted_contiguous_windows_cross_epoch_rotation,15.917651877111318,True,957224448,118.7605842538178,12.22674105118732,2.678605619741946,0.0,0.0005653647650080752,0.0,12.635492149664431,0.013610540604104802,0.2835532131851936,0.0,0.0,0.0,0.0,0.0,0.0,,
V2_EG_HIGH_ADV0_seed392005,2,49,49,98,116.73828730918467,0,permuted_contiguous_windows_cross_epoch_rotation,12.77547787646858,True,957224448,235.67196281068027,9.647627888893595,2.235768867998707,0.0,0.00087479518593422,0.0,11.13006965481505,0.014437154258544348,0.3363222197002294,0.0,0.0,0.0,0.0,0.0,0.0,,
V2_EG_HIGH_ADV0_seed392005,3,49,49,147,117.40136103425175,0,permuted_contiguous_windows_cross_epoch_rotation,9.867309638432094,True,957224448,353.2418131409213,7.156731381708262,1.9540916681289673,0.0,0.0006037615281197109,0.0,9.434673533147695,0.013586637383440927,0.3606595463898717,0.0,0.0,0.0,0.0,0.0,0.0,,
V2_EG_HIGH_ADV0_seed392005,4,49,49,196,117.90677450690418,0,permuted_contiguous_windows_cross_epoch_rotation,7.296864052208102,True,957224448,471.30557759292424,4.7527134175203285,1.9333642039980208,0.0,0.0006580540704854517,0.0,7.615056524471361,0.010542480626656693,0.3574313101719837,0.0,0.0,0.0,0.0,0.0,0.0,,
V2_EG_HIGH_ADV0_seed392005,5,49,49,245,121.07165789883584,0,permuted_contiguous_windows_cross_epoch_rotation,6.605204728184914,True,957224448,592.5345361498185,4.362234563243632,1.6774275351543815,0.0,0.0007972518220895484,0.0,7.0506035357105485,0.00852520728711875,0.35418116316503406,0.0,0.0,0.0,0.0,0.0,0.0,,
V2_EG_HIGH_ADV0_seed392005,6,49,49,294,130.11515351803973,0,permuted_contiguous_windows_cross_epoch_rotation,5.5297532957427356,True,963784704,722.8681866466068,3.511652228783588,1.5219328890041428,0.0,0.001064781687574043,0.0,6.185283519783798,0.007156180693026708,0.32269460814339773,0.0,0.0,0.0,0.0,0.0,0.0,,
V2_EG_HIGH_ADV0_seed392005,7,49,49,343,134.82093055406585,0,permuted_contiguous_windows_cross_epoch_rotation,5.317884873370735,True,963784704,857.8564488207921,3.4093241715917784,1.4422905493755729,0.0,0.0011590127512451488,0.0,5.8119582935255405,0.00645107423829637,0.32077720153088474,0.0,0.0,0.0,0.0,0.0,0.0,,
V2_EG_HIGH_ADV0_seed392005,8,49,49,392,134.33988564880565,0,permuted_contiguous_windows_cross_epoch_rotation,5.572598559515817,True,963784704,992.3590050758794,3.6385171316107927,1.4422179995750894,0.0,0.0013321926330254242,0.0,6.105186418611176,0.006316508275779838,0.331306131518617,0.0,0.06569902811731611,0.0,0.0,0.0,0.0,,
V2_EG_HIGH_ADV0_seed392005,9,49,49,441,135.70638869982213,0,permuted_contiguous_windows_cross_epoch_rotation,6.236941600332455,True,963784704,1128.2269994360395,4.220772363701645,1.4864208990213823,0.0,0.0012560107125140422,0.0,6.550752352695076,0.006629286590507444,0.35410407307196634,0.0,0.1330756096511471,0.0,0.0,0.0,0.0,,
V2_EG_HIGH_ADV0_seed392005,10,49,49,490,131.19891041330993,0,permuted_contiguous_windows_cross_epoch_rotation,4.790592295782907,True,963784704,1259.6048076157458,3.0378613617955423,1.322515025430796,0.0,0.0014140158214568331,0.0,5.284215533003515,0.005410999701149306,0.3108973941024469,0.0,0.19475060731780772,0.0,0.0,0.0,0.0,,
