method,epoch,val_tx_acc,stage_source_val_sat_mean_tx,val_dom_acc,train_loss,train_loss_labeled,train_loss_unlabeled,train_w_loss_domain_labeled,train_w_loss_adv_labeled,train_w_loss_tx_labeled,train_loss_daot_total,train_loss_daot_unlabeled,train_loss_daot_orbit_logit,train_loss_daot_orbit_z,train_daot_consensus_rate,train_skipped_nonfinite_grad,train_skipped_nonfinite_loss,epoch_time_s,lr
A1,1,93.91481481481482,79.69012345679012,36.44814814814815,6.610314716089953,5.825124427004978,0.7851903019724665,2.421998522303126,0.6638066653195802,2.341619854574805,0.0,0.0,0.0,0.0,,0.013513513513513514,0.0,201.77094912528992,4e-05
A1,2,95.8,79.48641975308642,54.67777777777778,5.1002115043433935,4.501706983592059,0.5985045317593995,1.6446273267806113,0.6598749131232768,1.8768187557254825,0.0,0.0,0.0,0.0,,0.0045045045045045045,0.0,189.70359659194946,8e-05
A1,3,96.61481481481482,78.58765432098765,62.096296296296295,4.257575470048028,3.7273357827384195,0.5302396879808323,1.2706256562525087,0.656422449124826,1.5365849652805843,0.0,0.0,0.0,0.0,,0.0,0.0,193.71863389015198,0.00012
A1,4,96.95925925925926,79.02716049382717,68.73333333333333,3.7698911020347663,3.2758918340141707,0.49399927594103255,1.0638316509959933,0.653428025610812,1.325916977280432,0.0,0.0,0.0,0.0,,0.0,0.0,189.93378400802612,0.00016
A1,5,97.30740740740741,77.83703703703704,71.71111111111111,3.6327311058302185,3.161142058737643,0.4715890505829373,0.9341166841017233,0.6538622532341931,1.3449349670528292,0.0,0.0,0.0,0.0,,0.0045045045045045045,0.0,190.67976188659668,0.0002
A1,6,97.38888888888889,76.2925925925926,74.02222222222223,3.5438434073516913,3.088690171370635,0.4551532362495457,0.8656679512681188,0.6528212191822292,1.3528037431003812,0.0,0.0,0.0,0.0,,0.0,0.0,190.1838517189026,0.0002
A1,7,97.3,72.11728395061728,76.15555555555555,3.3753668596078685,2.9290713189958453,0.446295541551736,0.8095728558999998,0.6532330107581508,1.255488427372666,0.0,0.0,0.0,0.0,,0.0,0.0,188.91856813430786,0.0001999812735370286
A1,8,97.23703703703704,79.4962962962963,76.9037037037037,3.403476781136281,2.9629700806763797,0.44050669898320965,0.7965744596880835,0.6536708466104559,1.3030249076383609,0.0,0.0,0.0,0.0,,0.0,0.0,197.9021816253662,0.00019992510194101246
A1,9,97.84074074074074,79.9925925925926,77.52592592592593,3.2150912311700015,2.7804763676883937,0.4346148722075127,0.7388874448097504,0.6545060260875805,1.1883377252264067,0.0,0.0,0.0,0.0,,0.0,0.0,195.31830525398254,0.00019983150858740302
A1,10,97.88148148148149,79.5283950617284,78.24814814814815,3.2682191036842965,2.8366738477268734,0.43154525542044425,0.7259388234432753,0.6552540888120463,1.249296559171902,0.0,0.0,0.0,0.0,,0.0045045045045045045,0.0,191.73619413375854,0.0001997005324244774
A1,11,97.67037037037036,78.28641975308642,79.85555555555555,3.02813200585477,2.59953607739629,0.4285959447020883,0.6787162400312252,0.6561676956511833,1.0825307542407834,0.0,0.0,0.0,0.0,,0.0045045045045045045,0.0,156.18845796585083,0.00019953222795713037
A1,12,98.03333333333333,79.65061728395062,80.15925925925926,3.6623900849539957,3.2370215971190652,0.42536847427621616,0.7716240817093635,0.6559967449656477,1.5627645133650518,0.0,0.0,0.0,0.0,,0.0,0.0,164.11928033828735,0.0001993266652241925
A1,13,97.8962962962963,79.18148148148147,80.78518518518518,3.612739322958766,3.1892764525370554,0.423462870555955,0.7454334543094979,0.6567758061327376,1.5427481993898615,0.0,0.0,0.0,0.0,,0.0,0.0,164.4875886440277,0.00019908392976928396
A1,14,97.6962962962963,79.22716049382716,79.37777777777778,3.552123090168377,3.1298454360918955,0.42227765447921584,0.7390889881161956,0.6557653353020951,1.4950496674523697,0.0,0.0,0.0,0.0,,0.0,0.0,163.16546964645386,0.000198804122605216
A1,15,98.04074074074074,80.81851851851853,81.62592592592593,3.3321100634497567,2.9125766705822302,0.4195333899141432,0.6954066522486575,0.6563784813021755,1.3343508800676278,0.0,0.0,0.0,0.0,,0.0,0.0,163.93080830574036,0.00019848736017195526
A1,16,97.95185185185186,79.57530864197531,80.5925925925926,3.582057544776985,3.1633467889046885,0.4187107584229461,0.7534258725406887,0.6563576674676156,1.5015524095511652,0.0,0.0,0.0,0.0,,0.0,0.0,170.17522740364075,0.00019813377428816792
A1,17,98.14814814814815,80.56296296296296,81.57777777777778,3.8250679577793085,3.4075514378848375,0.4175165155986408,0.7595461988234306,0.657426225977975,1.6229120230151188,0.0,0.0,0.0,0.0,,0.0045045045045045045,0.0,176.88132166862488,0.00019774351209636413
A1,18,98.31481481481481,81.22839506172839,79.87407407407407,3.924356175435556,3.506980477689623,0.4173756886172939,0.765323895323384,0.6582080195615957,1.6890700589026417,0.0,0.0,0.0,0.0,,0.0,0.0,241.71615314483643,0.00019731673600166582
A1,19,98.27777777777777,82.12345679012346,81.38148148148149,3.710145546509339,3.2935523326332503,0.41659321051997106,0.728186463182037,0.65898907990069,1.5497132018208504,0.0,0.0,0.0,0.0,,0.0045045045045045045,0.0,244.6394340991974,0.0001968536236042226
A1,20,97.80740740740741,79.91975308641976,81.11111111111111,3.6657427055341705,3.250340119138494,0.41540259028877224,0.7277083658688778,0.6604941906155767,1.508811308893266,0.0,0.0,0.0,0.0,,0.0,0.0,389.4853491783142,0.0001963543676253048
A1,21,98.0037037037037,79.13086419753085,82.13333333333334,3.8792282171077557,3.4508782571500487,0.42834996210562215,0.7356976263963424,0.6610623998147948,1.6509673406143446,0.02084065323510954,0.013817080279795436,13.07487712464891,0.27241836776873013,0.8362894144144144,0.02252252252252252,0.0,431.496545791626,0.0001958191758271035
