method_label,method,cell_id,receiver,seed,new_class_count,k_shot,scenario_count,cell_receipt_sha256,old_acc_before_increment_mean_3scenarios,old_acc_after_increment_mean_3scenarios,seen_new_acc_mean_3scenarios,H_old_new_mean_3scenarios,candidate_average_forgetting_mean_3scenarios,min_old_class_acc_mean_3scenarios,direct_adv3b02_old_acc_mean_3scenarios,identity_old_acc_after_increment_mean_3scenarios
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_20,20-1,713102,3,20,3,533abe79fc884361419b7767c89ab988eb3c93ee342a363b6336a6fe749dc4fb,0.8249999999999998,0.0,0.3333333333333333,0.0,0.8249999999999998,0.0,0.775,0.9083333333333333
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_1,20-1,713102,20,1,3,6747fbb7e4ff9ae71d17a8b6ecadc7dce01f600e01a3ad7556350dd5eda28c6c,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.4000000000000001,0.775,0.7833333333333333
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_5,20-1,713102,20,5,3,0d084e9f1ef0e889852fede0d7ffab76d5a6b95f3603d885b43a85f8b6673c9b,0.8249999999999998,0.0,0.055,0.0,0.8249999999999998,0.0,0.775,0.85
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_10,20-1,713102,20,10,3,8ae1f3602ba484afd3c6348cdbb3ae2c08406dfab643486dbbd3e7916b03ba54,0.8249999999999998,0.05555555555555555,0.06,0.028500619578686492,0.7694444444444444,0.0,0.775,0.8000000000000002
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_20,20-1,713102,20,20,3,f173ab5355f1df62747bfb061ec18dc6595867e01d0b41f6e4e4fe38198d7adb,0.8249999999999998,0.47500000000000003,0.04666666666666667,0.07699872492553662,0.3499999999999999,0.05000000000000001,0.775,0.8638888888888889
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_1,20-1,713103,1,1,3,8b88b9ced4210e315b3d3df2dec94581d5da4065649bf0851fba9375d24a6ee2,0.8083333333333332,0.8083333333333332,0.0,0.0,0.0,0.4000000000000001,0.775,0.725
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_5,20-1,713103,1,5,3,7e7dbebc775eb1a0b8c24357a3c1bbb8d9ca6983cabe44e1a2c83f9445c14595,0.8083333333333332,0.8083333333333332,0.0,0.0,0.0,0.4000000000000001,0.775,0.8805555555555555
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_10,20-1,713103,1,10,3,27055c1850c39b102183f8badd3138a4677039991639926dc65d73d01b05b4e9,0.8083333333333332,0.8083333333333332,0.0,0.0,0.0,0.4000000000000001,0.775,0.9027777777777778
CSIL,csil_official_repo,rx_20_1__seed_713103__new_1__csil_official_repo__k_20,20-1,713103,1,20,3,269b768bb1dd324fb0a221ba5cab05b21a247bba0b6b10ae6445908e4f35b34f,0.8083333333333332,0.8083333333333332,0.0,0.0,0.0,0.4000000000000001,0.775,0.8861111111111111
CSIL,csil_official_repo,rx_20_1__seed_713103__new_3__csil_official_repo__k_1,20-1,713103,3,1,3,72b3ce2b0331ad7757e49677435794ed351b926b4afe18e7932c7c3dafebadde,0.8083333333333332,0.8083333333333332,0.0,0.0,0.0,0.4000000000000001,0.775,0.7138888888888889
