run_id,variant,verdict,passes_strong_target1,target_old_closed_acc,target_old_delta_pp_vs_identity,clean_repaired_drop_pp,target_old_min_scenario_acc,target_old_min_tx_acc,target_unknown_far_source05,clean_adapter_eval_available,clean_repaired_target_old_acc,clean_target_old_acc,clean_target_old_count,clean_target_old_min_tx_acc,feature_path,known_count,min_scenario_delta_pp_vs_identity,min_tx_delta_pp_vs_identity,passes_clean_fidelity_gate,passes_floor_gate,passes_margin_gate,passes_old_recovery_gate,passes_unknown_safety_gate,proxy_unknown_count,proxy_unknown_far_source05,proxy_unknown_mean_oldness,proxy_unknown_oldness_delta_vs_identity,rx_acc_json,scenario_acc_json,source_acc,source_count,target_old_delta_pp_vs_clean,target_old_margin_delta_vs_identity,target_old_mean_margin,target_old_mean_proto_margin,target_old_mean_true_cos_dist,target_old_min_rx_acc,target_old_proto_acc,target_old_true_dist_delta_vs_identity,target_unknown_count,target_unknown_far_delta_vs_identity,target_unknown_mean_oldness,target_unknown_oldness_delta_vs_identity,tx_acc_json
phase1_adv3b02_multiview_keepold_rx7_14_u1_20260702,LEOADAPT4_CLEANID_MLP,fail,False,0.8505882352941176,-1.735294117647057,0.7500000000000062,0.8239499553172476,0.650088809946714,0.9575,True,0.9641666666666666,0.9716666666666667,1200,0.9,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx7_14_u1_20260702/LEOADAPT4_CLEANID_MLP/features_leo_repaired.npz,3400,-2.5915996425379784,-5.355070478465507,True,False,False,True,False,8069,0.8955260874953526,12.229402345800832,-0.10064810221006582,"{""7-14"": 0.8505882352941176}","{""leo_clear_weak"": 0.8706293706293706, ""leo_low_elev_weak"": 0.8566402814423922, ""leo_rain_weak"": 0.8239499553172476}",0.8661814109742442,3572,-12.107843137254903,-4.210652637505794,7.941584728586981,0.493238382001428,0.16670866474444185,0.8505882352941176,0.8505882352941176,-0.006065193691257825,400,0.050000000000000044,12.310209102630616,-0.022346985042094758,"{""14-10"": 0.8368794326241135, ""14-7"": 0.650088809946714, ""20-15"": 0.8360071301247772, ""20-19"": 0.7937608318890814, ""6-15"": 0.9964726631393298, ""8-20"": 0.9894366197183099}"
phase1_adv3b02_multiview_keepold_rx7_7_u10_20260702,LEOADAPT3_IDENTITY,identity_baseline,False,0.7964705882352942,nan,nan,0.7747349823321554,0.6578014184397163,0.8497854077253219,False,nan,0.9333333333333333,1200,0.735,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx7_7_u10_20260702/LEOADAPT3_IDENTITY/features_leo_repaired.npz,3400,nan,nan,False,False,True,False,True,8069,0.9075474036435742,12.330050448010898,nan,"{""7-7"": 0.7964705882352942}","{""leo_clear_weak"": 0.8190644307149162, ""leo_low_elev_weak"": 0.7955947136563877, ""leo_rain_weak"": 0.7747349823321554}",0.8535834266517357,3572,-13.68627450980392,nan,11.781422092731605,0.5627845307179776,0.2471234611844594,0.7964705882352942,0.7964705882352942,nan,233,nan,10.98938196424251,nan,"{""14-10"": 0.6578014184397163, ""14-7"": 0.7282415630550622, ""20-15"": 0.7878787878787878, ""20-19"": 0.6845753899480069, ""6-15"": 0.9241622574955908, ""8-20"": 0.9964788732394366}"
phase1_adv3b02_multiview_keepold_rx7_7_u10_20260702,LEOADAPT4_CLEANID_LINR,fail,False,0.78,-1.6470588235294126,0.08333333333333526,0.7685512367491166,0.6205673758865248,0.8540772532188842,True,0.9325,0.9333333333333333,1200,0.735,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx7_7_u10_20260702/LEOADAPT4_CLEANID_LINR/features_leo_repaired.npz,3400,-0.6183745583038802,-3.7234042553191515,True,False,False,False,False,8069,0.8904449126285785,11.936160983464903,-0.3938894645459943,"{""7-7"": 0.78}","{""leo_clear_weak"": 0.7969991173874669, ""leo_low_elev_weak"": 0.7744493392070485, ""leo_rain_weak"": 0.7685512367491166}",0.8678611422172452,3572,-15.333333333333332,-5.136201562872979,6.6452205298586255,0.37743707397935555,0.22896771853954037,0.78,0.78,-0.018155742644919037,233,0.0042918454935623185,9.9945113382626,-0.9948706259799103,"{""14-10"": 0.6205673758865248, ""14-7"": 0.6483126110124334, ""20-15"": 0.6880570409982175, ""20-19"": 0.7746967071057193, ""6-15"": 0.9470899470899471, ""8-20"": 0.9982394366197183}"
phase1_adv3b02_multiview_keepold_rx7_7_u10_20260702,LEOADAPT4_CLEANID_MLP,fail,False,0.7729411764705882,-2.352941176470591,1.6666666666666718,0.7482332155477032,0.6399286987522281,0.8626609442060086,True,0.9166666666666666,0.9333333333333333,1200,0.735,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx7_7_u10_20260702/LEOADAPT4_CLEANID_MLP/features_leo_repaired.npz,3400,-2.6501766784452263,-1.7872719687488159,True,False,False,False,False,8069,0.8955260874953526,12.229402345800832,-0.10064810221006582,"{""7-7"": 0.7729411764705882}","{""leo_clear_weak"": 0.7978817299205648, ""leo_low_elev_weak"": 0.7726872246696035, ""leo_rain_weak"": 0.7482332155477032}",0.8661814109742442,3572,-16.03921568627451,-4.743564681824955,7.03785741090665,0.37304338476182347,0.23006827010574532,0.7729411764705882,0.7729411764705882,-0.017055191078714088,233,0.012875536480686733,10.552371853922569,-0.43701011031994064,"{""14-10"": 0.6773049645390071, ""14-7"": 0.6625222024866785, ""20-15"": 0.6399286987522281, ""20-19"": 0.7209705372616985, ""6-15"": 0.9453262786596119, ""8-20"": 0.9894366197183099}"
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT3_IDENTITY,identity_baseline,False,0.7964705882352942,nan,nan,0.7747349823321554,0.6578014184397163,0.9325,False,nan,0.9333333333333333,1200,0.735,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702/LEOADAPT3_IDENTITY/features_leo_repaired.npz,3400,nan,nan,False,False,True,False,True,8069,0.9075474036435742,12.330050448010898,nan,"{""7-7"": 0.7964705882352942}","{""leo_clear_weak"": 0.8190644307149162, ""leo_low_elev_weak"": 0.7955947136563877, ""leo_rain_weak"": 0.7747349823321554}",0.8535834266517357,3572,-13.68627450980392,nan,11.781422092731605,0.5627845307179776,0.2471234611844594,0.7964705882352942,0.7964705882352942,nan,400,nan,12.533520612567663,nan,"{""14-10"": 0.6578014184397163, ""14-7"": 0.7282415630550622, ""20-15"": 0.7878787878787878, ""20-19"": 0.6845753899480069, ""6-15"": 0.9241622574955908, ""8-20"": 0.9964788732394366}"
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT4_CLEANID_LINR,fail,False,0.78,-1.6470588235294126,0.08333333333333526,0.7685512367491166,0.6205673758865248,0.95,True,0.9325,0.9333333333333333,1200,0.735,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702/LEOADAPT4_CLEANID_LINR/features_leo_repaired.npz,3400,-0.6183745583038802,-3.7234042553191515,True,False,False,False,False,8069,0.8904449126285785,11.936160983464903,-0.3938894645459943,"{""7-7"": 0.78}","{""leo_clear_weak"": 0.7969991173874669, ""leo_low_elev_weak"": 0.7744493392070485, ""leo_rain_weak"": 0.7685512367491166}",0.8678611422172452,3572,-15.333333333333332,-5.136201562872979,6.6452205298586255,0.37743707397935555,0.22896771853954037,0.78,0.78,-0.018155742644919037,400,0.01749999999999996,12.222890253067016,-0.31063035950064766,"{""14-10"": 0.6205673758865248, ""14-7"": 0.6483126110124334, ""20-15"": 0.6880570409982175, ""20-19"": 0.7746967071057193, ""6-15"": 0.9470899470899471, ""8-20"": 0.9982394366197183}"
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT4_CLEANID_MLP,fail,False,0.7729411764705882,-2.352941176470591,1.6666666666666718,0.7482332155477032,0.6399286987522281,0.96,True,0.9166666666666666,0.9333333333333333,1200,0.735,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702/LEOADAPT4_CLEANID_MLP/features_leo_repaired.npz,3400,-2.6501766784452263,-1.7872719687488159,True,False,False,False,False,8069,0.8955260874953526,12.229402345800832,-0.10064810221006582,"{""7-7"": 0.7729411764705882}","{""leo_clear_weak"": 0.7978817299205648, ""leo_low_elev_weak"": 0.7726872246696035, ""leo_rain_weak"": 0.7482332155477032}",0.8661814109742442,3572,-16.03921568627451,-4.743564681824955,7.03785741090665,0.37304338476182347,0.23006827010574532,0.7729411764705882,0.7729411764705882,-0.017055191078714088,400,0.02749999999999997,12.459235047101975,-0.07428556546568821,"{""14-10"": 0.6773049645390071, ""14-7"": 0.6625222024866785, ""20-15"": 0.6399286987522281, ""20-19"": 0.7209705372616985, ""6-15"": 0.9453262786596119, ""8-20"": 0.9894366197183099}"
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT3_IDENTITY,identity_baseline,False,0.7188235294117648,nan,nan,0.6865008880994672,0.1746880570409982,0.8324324324324325,False,nan,0.8233333333333334,1200,0.2,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702/LEOADAPT3_IDENTITY/features_leo_repaired.npz,3400,nan,nan,False,False,True,False,True,8069,0.9075474036435742,12.330050448010898,nan,"{""8-8"": 0.7188235294117648}","{""leo_clear_weak"": 0.7591623036649214, ""leo_low_elev_weak"": 0.7101063829787234, ""leo_rain_weak"": 0.6865008880994672}",0.8535834266517357,3572,-10.450980392156861,nan,11.631718950588803,0.458392410888037,0.3158579448061595,0.7188235294117648,0.7188235294117648,nan,185,nan,10.891886588125615,nan,"{""14-10"": 0.5656028368794326, ""14-7"": 0.8952042628774423, ""20-15"": 0.1746880570409982, ""20-19"": 0.6776429809358753, ""6-15"": 0.9947089947089947, ""8-20"": 1.0}"
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT4_CLEANID_LINR,fail,False,0.7232352941176471,0.4411764705882337,3.9166666666666683,0.6962699822380106,0.1800356506238859,0.8702702702702703,True,0.7841666666666667,0.8233333333333334,1200,0.2,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702/LEOADAPT4_CLEANID_LINR/features_leo_repaired.npz,3400,0.9769094138543433,0.5347593582887694,False,False,False,False,False,8069,0.8904449126285785,11.936160983464903,-0.3938894645459943,"{""8-8"": 0.7232352941176471}","{""leo_clear_weak"": 0.7547993019197208, ""leo_low_elev_weak"": 0.7180851063829787, ""leo_rain_weak"": 0.6962699822380106}",0.8678611422172452,3572,-10.009803921568627,-4.642439317904726,6.989279632684077,0.3419288412481445,0.26592041102104463,0.7232352941176471,0.7232352941176471,-0.04993753378511484,185,0.037837837837837784,10.673339263812915,-0.2185473243127003,"{""14-10"": 0.526595744680851, ""14-7"": 0.7904085257548845, ""20-15"": 0.1800356506238859, ""20-19"": 0.8422876949740035, ""6-15"": 0.9929453262786596, ""8-20"": 0.9982394366197183}"
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT4_CLEANID_MLP,fail,False,0.7470588235294118,2.8235294117647025,1.1666666666666714,0.7069271758436945,0.2905525846702317,0.9135135135135135,True,0.8116666666666666,0.8233333333333334,1200,0.2,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702/LEOADAPT4_CLEANID_MLP/features_leo_repaired.npz,3400,2.042628774422728,11.586452762923349,True,False,False,False,False,8069,0.8955260874953526,12.229402345800832,-0.10064810221006582,"{""8-8"": 0.7470588235294118}","{""leo_clear_weak"": 0.7809773123909249, ""leo_low_elev_weak"": 0.7526595744680851, ""leo_rain_weak"": 0.7069271758436945}",0.8661814109742442,3572,-7.627450980392158,-4.2533977720990555,7.378321178489748,0.3451311428390117,0.2587632158553499,0.7470588235294118,0.7470588235294118,-0.05709472895080958,185,0.08108108108108103,11.3475968180476,0.4557102299219853,"{""14-10"": 0.5833333333333334, ""14-7"": 0.8134991119005328, ""20-15"": 0.2905525846702317, ""20-19"": 0.7972270363951474, ""6-15"": 0.9929453262786596, ""8-20"": 0.9982394366197183}"
