feature,k,old_acc,min_old,known_accept_at_support_q05,unknown_far_at_support_q05,known_vs_unknown_auroc,unknown_fpr95_known,known_q05_threshold,fpr95_threshold,unknown_count
MANYNEW10_NORM_SEP,5,0.9288888888888889,0.8,0.9666666666666667,0.855,0.6739611111111111,0.8275,0.6245108842849731,0.6823346614837646,800
MANYNEW10_NORM_SEP,10,0.9261904761904762,0.8285714285714286,0.9857142857142858,0.9075,0.6630833333333334,0.80625,0.5318138480186463,0.7126668095588684,800
MANYNEW10_IDENTITY,5,0.9022222222222223,0.76,0.9044444444444445,0.78375,0.7123944444444444,0.86875,0.8194819957017898,0.6549886465072632,800
MANYNEW10_IDENTITY,10,0.9,0.7571428571428571,0.9976190476190476,0.99625,0.704375,0.86875,0.17807377129793167,0.6549060940742493,800
MANYNEW10_HEAD_SEP,5,0.9244444444444444,0.7733333333333333,0.94,0.81125,0.6582916666666667,0.8225,0.7449691325426102,0.727221667766571,800
MANYNEW10_HEAD_SEP,10,0.9261904761904762,0.8142857142857143,0.9809523809523809,0.90625,0.6483363095238095,0.815,0.580450488626957,0.7459558248519897,800
MANYNEW10_SUPCON_NORM,5,0.9133333333333333,0.76,0.94,0.7975,0.6793027777777778,0.835,0.7740909457206726,0.7318392395973206,800
MANYNEW10_SUPCON_NORM,10,0.9166666666666666,0.8,0.9809523809523809,0.91125,0.6693571428571429,0.80875,0.5865509390830994,0.7586076259613037,800
MANYNEW10_SUPCON_HEAD,5,0.9111111111111111,0.7466666666666667,0.9222222222222223,0.7725,0.680575,0.845,0.8113039255142211,0.7469289898872375,800
MANYNEW10_SUPCON_HEAD,10,0.9166666666666666,0.8,0.9714285714285714,0.8775,0.6697946428571429,0.84,0.6869784474372864,0.7411350011825562,800
MANYNEW10_CONFLICT_NORM,5,0.8755555555555555,0.7466666666666667,0.9622222222222222,0.88625,0.6877583333333334,0.8475,0.5997934460639954,0.6560166478157043,800
MANYNEW10_CONFLICT_NORM,10,0.8761904761904762,0.7285714285714285,0.9880952380952381,0.945,0.6756785714285715,0.8575,0.5062052041292191,0.6714937090873718,800
MANYNEW10_CONFLICT_HEAD,5,0.8755555555555555,0.72,0.9644444444444444,0.90875,0.6791611111111111,0.87625,0.5935702562332154,0.6482681632041931,800
MANYNEW10_CONFLICT_HEAD,10,0.8785714285714286,0.7285714285714285,0.9833333333333333,0.93375,0.6649136904761904,0.87875,0.5538324177265167,0.6571451425552368,800
