ignored_non_target_old_rows,invalid_classes,invalid_reason,json_path,k,macro_old_acc,min_old_class_acc,mode,old_acc,query_count,ridge_lambda,seed,support_count,support_query_overlap_count,train_acc,train_loss_final,valid_row,variant
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/linear/target_old_linear_upper.json,10,0.9095238095238095,0.7571428571428571,linear,0.9095238095238095,420,0.001,,60,0,,,,STAGE2C_HEAD_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/mlp/target_old_mlp_upper.json,5,0.9088888888888889,0.7866666666666666,mlp,0.9088888888888889,450,,13,30,0,1.0,5.880959292881016e-07,True,STAGE2C_NORM_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/proto/target_old_proto_upper.json,5,0.9088888888888889,0.7333333333333333,proto,0.9088888888888889,450,,,30,0,,,,STAGE2C_HEAD_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/linear/target_old_linear_upper.json,10,0.9071428571428571,0.8285714285714286,linear,0.9071428571428571,420,0.001,,60,0,,,,STAGE2C_NORM_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/linear/target_old_linear_upper.json,5,0.9066666666666666,0.7733333333333333,linear,0.9066666666666666,450,0.001,,30,0,,,,STAGE2C_NORM_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/linear/target_old_linear_upper.json,5,0.9066666666666666,0.7733333333333333,linear,0.9066666666666666,450,0.01,,30,0,,,,STAGE2C_NORM_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/linear/target_old_linear_upper.json,5,0.9066666666666666,0.7733333333333333,linear,0.9066666666666666,450,0.1,,30,0,,,,STAGE2C_NORM_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/linear/target_old_linear_upper.json,5,0.9044444444444443,0.7733333333333333,linear,0.9044444444444445,450,1.0,,30,0,,,,STAGE2C_NORM_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/mlp/target_old_mlp_upper.json,5,0.9044444444444445,0.76,mlp,0.9044444444444445,450,,1,30,0,1.0,1.5497175809287e-07,True,STAGE2C_HEAD_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/mlp/target_old_mlp_upper.json,10,0.9023809523809524,0.7714285714285715,mlp,0.9023809523809524,420,,7,60,0,1.0,9.931075328495353e-05,True,STAGE2C_HEAD_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/linear/target_old_linear_upper.json,5,0.9022222222222221,0.7466666666666667,linear,0.9022222222222223,450,0.001,,30,0,,,,STAGE2C_HEAD_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/linear/target_old_linear_upper.json,5,0.9022222222222221,0.7466666666666667,linear,0.9022222222222223,450,0.01,,30,0,,,,STAGE2C_HEAD_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/linear/target_old_linear_upper.json,5,0.9022222222222221,0.7466666666666667,linear,0.9022222222222223,450,0.1,,30,0,,,,STAGE2C_HEAD_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/mlp/target_old_mlp_upper.json,5,0.9022222222222221,0.7466666666666667,mlp,0.9022222222222223,450,,13,30,0,1.0,2.1854981469004997e-07,True,STAGE2C_HEAD_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/linear/target_old_linear_upper.json,5,0.9022222222222221,0.7333333333333333,linear,0.9022222222222223,450,10.0,,30,0,,,,STAGE2C_HEAD_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/linear/target_old_linear_upper.json,5,0.8977777777777778,0.7466666666666667,linear,0.8977777777777778,450,1.0,,30,0,,,,STAGE2C_HEAD_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/linear/target_old_linear_upper.json,5,0.8977777777777778,0.7466666666666667,linear,0.8977777777777778,450,10.0,,30,0,,,,STAGE2C_NORM_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/mlp/target_old_mlp_upper.json,10,0.8952380952380953,0.7857142857142857,mlp,0.8952380952380953,420,,13,60,0,1.0,0.00011105023440904915,True,STAGE2C_HEAD_SEP
10560,,,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_target_old_upper_bound_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/mlp/target_old_mlp_upper.json,10,0.8928571428571429,0.7857142857142857,mlp,0.8928571428571429,420,,1,60,0,1.0,0.00010780499724205583,True,STAGE2C_HEAD_SEP
