k,target_new,target_unknown,old_acc,min_old,seen_new_acc,min_seen,known_vs_unknown_auroc,unknown_fpr95_known,known_avg,known_floor,joint_score
10,"18-5,2-13,3-8,8-18,8-3","10-10,11-10,19-3,2-5,4-10",0.8166666666666667,0.2,0.45,0.3,0.649,0.88,0.6333333333333333,0.2,0.12
10,"18-5,2-13,4-10,8-18,8-3","10-10,11-10,19-3,2-5,3-8",0.775,0.15,0.46,0.3,0.5784090909090909,0.9,0.6175,0.15,0.09999999999999998
10,"18-5,2-5,3-8,4-10,8-18","10-10,11-10,19-3,2-13,8-3",0.8833333333333333,0.75,0.33,0.3,0.6095454545454545,0.94,0.6066666666666667,0.3,0.06000000000000005
10,"18-5,2-5,3-8,4-10,8-3","10-10,11-10,19-3,2-13,8-18",0.775,0.15,0.43,0.3,0.6397727272727273,0.9,0.6025,0.15,0.09999999999999998
10,"18-5,2-5,3-8,8-18,8-3","10-10,11-10,19-3,2-13,4-10",0.8166666666666667,0.2,0.42,0.3,0.6361363636363636,0.92,0.6183333333333333,0.2,0.07999999999999996
10,"18-5,2-5,4-10,8-18,8-3","10-10,11-10,19-3,2-13,3-8",0.775,0.15,0.45,0.3,0.5683636363636364,0.95,0.6125,0.15,0.050000000000000044
10,"18-5,3-8,4-10,8-18,8-3","10-10,11-10,19-3,2-13,2-5",0.775,0.15,0.42,0.3,0.6457272727272727,0.91,0.5975,0.15,0.08999999999999997
10,"19-3,2-13,2-5,3-8,4-10","10-10,11-10,18-5,8-18,8-3",0.8833333333333333,0.75,0.35,0.2,0.5726818181818182,0.85,0.6166666666666667,0.2,0.15000000000000002
10,"19-3,2-13,2-5,3-8,8-18","10-10,11-10,18-5,4-10,8-3",0.9166666666666666,0.8,0.34,0.2,0.5581818181818182,0.88,0.6283333333333333,0.2,0.12
10,"19-3,2-13,2-5,3-8,8-3","10-10,11-10,18-5,4-10,8-18",0.8083333333333333,0.15,0.44,0.2,0.6356818181818182,0.82,0.6241666666666666,0.15,0.18000000000000005
10,"19-3,2-13,2-5,4-10,8-18","10-10,11-10,18-5,3-8,8-3",0.8833333333333333,0.75,0.35,0.2,0.49636363636363634,0.92,0.6166666666666667,0.2,0.07999999999999996
10,"19-3,2-13,2-5,4-10,8-3","10-10,11-10,18-5,3-8,8-18",0.775,0.15,0.45,0.2,0.5682272727272727,0.86,0.6125,0.15,0.14
10,"19-3,2-13,2-5,8-18,8-3","10-10,11-10,18-5,3-8,4-10",0.8083333333333333,0.15,0.44,0.2,0.5615909090909091,0.89,0.6241666666666666,0.15,0.10999999999999999
10,"19-3,2-13,3-8,4-10,8-18","10-10,11-10,18-5,2-5,8-3",0.8833333333333333,0.75,0.34,0.2,0.5893181818181819,0.86,0.6116666666666667,0.2,0.14
10,"19-3,2-13,3-8,4-10,8-3","10-10,11-10,18-5,2-5,8-18",0.7833333333333333,0.15,0.44,0.2,0.646090909090909,0.79,0.6116666666666667,0.15,0.20999999999999996
10,"19-3,2-13,3-8,8-18,8-3","10-10,11-10,18-5,2-5,4-10",0.8083333333333333,0.15,0.43,0.2,0.6413636363636364,0.82,0.6191666666666666,0.15,0.18000000000000005
10,"19-3,2-13,4-10,8-18,8-3","10-10,11-10,18-5,2-5,3-8",0.775,0.15,0.44,0.2,0.5744545454545454,0.85,0.6075,0.15,0.15000000000000002
10,"19-3,2-5,3-8,4-10,8-18","10-10,11-10,18-5,2-13,8-3",0.8833333333333333,0.75,0.31,0.2,0.5659545454545455,0.91,0.5966666666666667,0.2,0.08999999999999997
10,"19-3,2-5,3-8,4-10,8-3","10-10,11-10,18-5,2-13,8-18",0.775,0.15,0.41,0.2,0.6345454545454545,0.85,0.5925,0.15,0.15000000000000002
10,"19-3,2-5,3-8,8-18,8-3","10-10,11-10,18-5,2-13,4-10",0.8083333333333333,0.15,0.4,0.2,0.6306363636363637,0.88,0.6041666666666667,0.15,0.12
10,"19-3,2-5,4-10,8-18,8-3","10-10,11-10,18-5,2-13,3-8",0.775,0.15,0.4,0.2,0.575,0.89,0.5875,0.15,0.10999999999999999
10,"19-3,3-8,4-10,8-18,8-3","10-10,11-10,18-5,2-13,2-5",0.775,0.15,0.4,0.2,0.6404545454545455,0.86,0.5875,0.15,0.14
10,"2-13,2-5,3-8,4-10,8-18","10-10,11-10,18-5,19-3,8-3",0.8833333333333333,0.75,0.37,0.3,0.5618636363636363,0.91,0.6266666666666667,0.3,0.08999999999999997
10,"2-13,2-5,3-8,4-10,8-3","10-10,11-10,18-5,19-3,8-18",0.775,0.15,0.47,0.35,0.5935,0.85,0.6225,0.15,0.15000000000000002
10,"2-13,2-5,3-8,8-18,8-3","10-10,11-10,18-5,19-3,4-10",0.8166666666666667,0.2,0.46,0.3,0.5884090909090909,0.88,0.6383333333333333,0.2,0.12
10,"2-13,2-5,4-10,8-18,8-3","10-10,11-10,18-5,19-3,3-8",0.775,0.15,0.47,0.3,0.5198181818181818,0.92,0.6225,0.15,0.07999999999999996
10,"2-13,3-8,4-10,8-18,8-3","10-10,11-10,18-5,19-3,2-5",0.775,0.15,0.46,0.3,0.5988181818181818,0.86,0.6175,0.15,0.14
10,"2-5,3-8,4-10,8-18,8-3","10-10,11-10,18-5,19-3,2-13",0.775,0.15,0.43,0.3,0.5876363636363636,0.9,0.6025,0.15,0.09999999999999998
