k,old_bias,target_new,target_unknown,old_acc,min_old,seen_new_acc,min_seen,known_vs_unknown_auroc,unknown_fpr95_known,known_avg,known_floor,stage_score
5,0.3,"10-10,11-10,18-5,19-3,3-8","2-13,2-5,4-10,8-18,8-3",0.925,0.8,0.0,0.0,0.7069545454545455,0.83,0.4625,0.0,0.0
5,0.0,"10-10,11-10,18-5,19-3,4-10","2-13,2-5,3-8,8-18,8-3",0.7833333333333333,0.25,0.35,0.2,0.6897272727272727,0.81,0.5666666666666667,0.2,0.18999999999999995
5,0.01,"10-10,11-10,18-5,19-3,4-10","2-13,2-5,3-8,8-18,8-3",0.8083333333333333,0.35,0.3,0.2,0.6810454545454545,0.82,0.5541666666666667,0.2,0.18000000000000005
5,0.02,"10-10,11-10,18-5,19-3,4-10","2-13,2-5,3-8,8-18,8-3",0.8583333333333333,0.6,0.28,0.15,0.6718636363636363,0.82,0.5691666666666666,0.15,0.18000000000000005
5,0.04,"10-10,11-10,18-5,19-3,4-10","2-13,2-5,3-8,8-18,8-3",0.9083333333333333,0.75,0.13,0.05,0.6630454545454545,0.83,0.5191666666666667,0.05,0.13
5,0.06,"10-10,11-10,18-5,19-3,4-10","2-13,2-5,3-8,8-18,8-3",0.9083333333333333,0.75,0.1,0.0,0.6619090909090909,0.84,0.5041666666666667,0.0,0.1
5,0.08,"10-10,11-10,18-5,19-3,4-10","2-13,2-5,3-8,8-18,8-3",0.9166666666666666,0.75,0.08,0.0,0.6608181818181819,0.84,0.4983333333333333,0.0,0.08
5,0.1,"10-10,11-10,18-5,19-3,4-10","2-13,2-5,3-8,8-18,8-3",0.9166666666666666,0.75,0.05,0.0,0.6599545454545455,0.85,0.48333333333333334,0.0,0.05
5,0.15,"10-10,11-10,18-5,19-3,4-10","2-13,2-5,3-8,8-18,8-3",0.925,0.8,0.02,0.0,0.6585909090909091,0.84,0.47250000000000003,0.0,0.02
5,0.2,"10-10,11-10,18-5,19-3,4-10","2-13,2-5,3-8,8-18,8-3",0.925,0.8,0.01,0.0,0.6582727272727272,0.83,0.4675,0.0,0.01
5,0.3,"10-10,11-10,18-5,19-3,4-10","2-13,2-5,3-8,8-18,8-3",0.925,0.8,0.01,0.0,0.6580454545454546,0.83,0.4675,0.0,0.01
5,0.0,"10-10,11-10,18-5,19-3,8-18","2-13,2-5,3-8,4-10,8-3",0.7916666666666666,0.35,0.38,0.2,0.6585454545454545,0.89,0.5858333333333333,0.2,0.10999999999999999
5,0.01,"10-10,11-10,18-5,19-3,8-18","2-13,2-5,3-8,4-10,8-3",0.825,0.5,0.33,0.2,0.6571363636363636,0.89,0.5775,0.2,0.10999999999999999
5,0.02,"10-10,11-10,18-5,19-3,8-18","2-13,2-5,3-8,4-10,8-3",0.8666666666666667,0.7,0.31,0.15,0.6538181818181819,0.89,0.5883333333333334,0.15,0.10999999999999999
5,0.04,"10-10,11-10,18-5,19-3,8-18","2-13,2-5,3-8,4-10,8-3",0.9166666666666666,0.8,0.16,0.05,0.6489090909090909,0.88,0.5383333333333333,0.05,0.12
5,0.06,"10-10,11-10,18-5,19-3,8-18","2-13,2-5,3-8,4-10,8-3",0.9166666666666666,0.8,0.12,0.0,0.6475,0.88,0.5183333333333333,0.0,0.12
5,0.08,"10-10,11-10,18-5,19-3,8-18","2-13,2-5,3-8,4-10,8-3",0.9166666666666666,0.8,0.1,0.0,0.6466363636363637,0.88,0.5083333333333333,0.0,0.1
5,0.1,"10-10,11-10,18-5,19-3,8-18","2-13,2-5,3-8,4-10,8-3",0.9166666666666666,0.8,0.07,0.0,0.6458636363636364,0.88,0.4933333333333333,0.0,0.07
