outer_key,outer_role,arm_id,receiver,seed,k_shot,new_class_count,slice,query_macs,state_bytes,e0_query_macs,e0_state_bytes,DA1_REG0_old_acc,DA1_REG0_old_floor,candidate_h_old_new,e0_h_old_new,delta_h_old_new_vs_e0,candidate_old_balanced_accuracy,e0_old_balanced_accuracy,delta_old_balanced_accuracy_vs_e0,candidate_c_old_acc,e0_c_old_acc,delta_c_old_acc_vs_e0,candidate_old_floor,e0_old_floor,delta_old_floor_vs_e0,candidate_seen_new_acc,e0_seen_new_acc,delta_seen_new_acc_vs_e0,candidate_average_forgetting,e0_average_forgetting,delta_average_forgetting_vs_e0,candidate_new_to_old_rate,e0_new_to_old_rate,delta_new_to_old_rate_vs_e0,candidate_old_to_new_rate,e0_old_to_new_rate,delta_old_to_new_rate_vs_e0,resource_scene_count,resource_query_state_exact,candidate_peak_max_bytes,candidate_wall_p90_ns,candidate_ratio_p90
rx_7_7__seed_713104__k_5__new_20,performance,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,7-7,713104,5,20,K5_new20,7488,18498,7488,18498,0.9138888888888889,0.8166666666666667,0.42304147465437786,0.6978498878775886,-0.27480841322321076,0.5666666666666667,0.7555555555555555,-0.18888888888888888,0.5666666666666667,0.7555555555555555,-0.18888888888888888,0.15,0.4166666666666667,-0.2666666666666667,0.3375,0.6483333333333333,-0.3108333333333333,0.3472222222222222,0.15833333333333333,0.18888888888888888,0.49583333333333335,0.13666666666666666,0.3591666666666667,0.10277777777777777,0.17222222222222222,-0.06944444444444445,3,True,2375680.0,107492909.0,1.123558581761468
rx_7_7__seed_713103__k_10__new_5,performance,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,7-7,713103,10,5,K10_new5,3168,8583,3168,8583,0.9333333333333333,0.8166666666666667,0.45429352068696327,0.8269084396686814,-0.37261491898171817,0.5722222222222223,0.811111111111111,-0.2388888888888887,0.5722222222222222,0.8111111111111111,-0.23888888888888893,0.35,0.5333333333333333,-0.18333333333333335,0.37666666666666665,0.8433333333333334,-0.46666666666666673,0.36111111111111116,0.12222222222222223,0.23888888888888893,0.52,0.13666666666666666,0.38333333333333336,0.2111111111111111,0.12222222222222222,0.08888888888888889,3,True,1425408.0,60320999.0,0.9590218025611283
rx_8_8__seed_713103__k_5__new_20,performance,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,8-8,713103,5,20,K5_new20,7488,18498,7488,18498,0.8388888888888889,0.6166666666666667,0.3347394540942928,0.6638423988842399,-0.3291029447899471,0.31666666666666665,0.6694444444444444,-0.35277777777777775,0.31666666666666665,0.6694444444444444,-0.35277777777777775,0.13333333333333333,0.2833333333333333,-0.15,0.355,0.6583333333333333,-0.30333333333333334,0.5222222222222223,0.1694444444444445,0.35277777777777775,0.05333333333333334,0.13333333333333333,-0.07999999999999999,0.6083333333333333,0.22777777777777777,0.38055555555555554,3,True,2977792.0,117513268.0,1.1334578382192937
rx_8_8__seed_713103__k_10__new_5,performance,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,8-8,713103,10,5,K10_new5,3168,8583,3168,8583,0.8527777777777777,0.65,0.37157190635451504,0.774910394265233,-0.40333848791071797,0.28055555555555556,0.7666666666666666,-0.48611111111111105,0.28055555555555556,0.7666666666666667,-0.48611111111111116,0.1,0.5333333333333333,-0.43333333333333335,0.55,0.7833333333333333,-0.23333333333333328,0.5722222222222222,0.08611111111111103,0.48611111111111116,0.12,0.17666666666666667,-0.05666666666666667,0.5777777777777777,0.10833333333333334,0.4694444444444444,3,True,1421312.0,61581398.0,0.9186767440120784
rx_8_8__seed_713106__k_5__new_20,performance,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,8-8,713106,5,20,K5_new20,7488,18498,7488,18498,0.7888888888888889,0.5166666666666667,0.31284953395472703,0.6437949381650848,-0.3309454042103578,0.30833333333333335,0.6361111111111111,-0.3277777777777777,0.30833333333333335,0.6361111111111111,-0.3277777777777777,0.08333333333333333,0.36666666666666664,-0.2833333333333333,0.3175,0.6516666666666666,-0.3341666666666666,0.4805555555555555,0.1527777777777778,0.3277777777777777,0.1075,0.0975,0.009999999999999995,0.5361111111111111,0.19444444444444445,0.3416666666666667,3,True,2379776.0,95992908.0,0.8929229290303771
rx_7_14__seed_713104__k_10__new_10,performance,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,7-14,713104,10,10,K10_new10,4608,11888,4608,11888,0.8805555555555555,0.6333333333333333,0.4950503355704698,0.7311106889564337,-0.23606035338596393,0.525,0.7305555555555555,-0.2055555555555555,0.525,0.7305555555555555,-0.2055555555555555,0.11666666666666667,0.3333333333333333,-0.21666666666666665,0.4683333333333333,0.7316666666666667,-0.26333333333333336,0.3555555555555555,0.15000000000000002,0.2055555555555555,0.17333333333333334,0.125,0.04833333333333334,0.4083333333333333,0.17222222222222222,0.2361111111111111,3,True,2232320.0,76342870.0,1.0978690449656248
rx_3_19__seed_713102__k_10__new_5,performance,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,3-19,713102,10,5,K10_new5,3168,8583,3168,8583,0.7,0.4666666666666667,0.3930860805860806,0.5415774264830868,-0.14849134589700624,0.47222222222222215,0.5861111111111111,-0.11388888888888898,0.4722222222222222,0.5861111111111111,-0.11388888888888893,0.03333333333333333,0.3,-0.26666666666666666,0.33666666666666667,0.5033333333333333,-0.16666666666666663,0.22777777777777775,0.11388888888888882,0.11388888888888893,0.25333333333333335,0.2966666666666667,-0.043333333333333335,0.35555555555555557,0.19166666666666668,0.1638888888888889,3,True,2052096.0,72667406.0,1.269498264217543
rx_7_7__seed_713105__k_10__new_20,performance,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,7-7,713105,10,20,K10_new20,7488,18498,7488,18498,0.95,0.8166666666666667,0.4997212057849799,0.7698149483297284,-0.2700937425447485,0.6611111111111111,0.7944444444444444,-0.1333333333333333,0.6611111111111111,0.7944444444444444,-0.1333333333333333,0.43333333333333335,0.5,-0.06666666666666665,0.40166666666666667,0.7466666666666667,-0.34500000000000003,0.28888888888888886,0.15555555555555556,0.1333333333333333,0.42333333333333334,0.07833333333333334,0.345,0.041666666666666664,0.16666666666666666,-0.125,3,True,2953216.0,156425366.0,1.572451130785991
rx_7_7__seed_713104__k_10__new_5,performance,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,7-7,713104,10,5,K10_new5,3168,8583,3168,8583,0.9638888888888889,0.9,0.21261682242990654,0.8496843021989986,-0.6370674797690921,0.5833333333333334,0.8777777777777778,-0.2944444444444444,0.5833333333333334,0.8777777777777778,-0.2944444444444444,0.35,0.5833333333333334,-0.2333333333333334,0.13,0.8233333333333334,-0.6933333333333334,0.38055555555555554,0.08611111111111114,0.2944444444444444,0.86,0.15333333333333332,0.7066666666666667,0.005555555555555556,0.08333333333333333,-0.07777777777777778,3,True,1429504.0,73417476.0,1.1469267786741963
rx_20_1__seed_713106__k_1__new_20,liveness,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-1,713106,1,20,K1_new20,7488,18503,7488,18503,0.7,0.36666666666666664,0.3337080155225478,0.3337080155225478,0.0,0.41111111111111115,0.41111111111111115,0.0,0.4111111111111111,0.4111111111111111,0.0,0.06666666666666667,0.06666666666666667,0.0,0.2808333333333333,0.2808333333333333,0.0,0.28888888888888886,0.28888888888888886,0.0,0.17416666666666666,0.17416666666666666,0.0,0.4388888888888889,0.4388888888888889,0.0,3,True,2039808.0,13609757.0,1.2926690016807847
