_file,profile,collab_count,old_acc,min_old,seen_new_acc,min_seen,unknown_reject,unknown_far,known_defer,bytes_per_event,passes,_known_floor,_known_avg,_strict_score
pcet_k10_scenario_diverse.summary.csv,pcet_balanced,5.0,0.028735632183908046,0.0,0.0,0.0,0.9740932642487047,,0.0,251.6532618409294,,0.0,0.014367816091954023,0.0
pcet_k10_stable_first.summary.csv,pcet_balanced,3.0,0.028735632183908046,0.0,0.0,0.0,0.9740932642487047,,0.0,248.7935656836461,,0.0,0.014367816091954023,0.0
pcet_k10_stable_first.summary.csv,pcet_balanced,4.0,0.028735632183908046,0.0,0.0,0.0,0.9740932642487047,,0.0,251.6532618409294,,0.0,0.014367816091954023,0.0
pcet_k10_stable_first.summary.csv,pcet_balanced,5.0,0.028735632183908046,0.0,0.0,0.0,0.9740932642487047,,0.0,251.6532618409294,,0.0,0.014367816091954023,0.0
pcet_k10_scenario_diverse.summary.csv,pcet_balanced,2.0,0.04597701149425287,0.0,0.0,0.0,0.9715025906735751,,0.0,220.0822162645219,,0.0,0.022988505747126436,0.0
pcet_k10_stable_first.summary.csv,pcet_balanced,2.0,0.04597701149425287,0.0,0.0,0.0,0.9715025906735751,,0.0,220.0822162645219,,0.0,0.022988505747126436,0.0
pcet_k5_scenario_diverse.summary.csv,pcet_balanced,2.0,0.04011461318051576,0.0,0.0,0.0,0.9715025906735751,,0.0,219.2014196983141,,0.0,0.02005730659025788,0.0
pcet_k5_stable_first.summary.csv,pcet_balanced,2.0,0.04011461318051576,0.0,0.0,0.0,0.9715025906735751,,0.0,219.2014196983141,,0.0,0.02005730659025788,0.0
pcet_k5_scenario_diverse.summary.csv,pcet_balanced,1.0,0.14040114613180515,0.0,0.0,0.0,0.9689119170984456,,0.0,128.0,,0.0,0.07020057306590258,0.0
pcet_k5_stable_first.summary.csv,pcet_balanced,1.0,0.14040114613180515,0.0,0.0,0.0,0.9689119170984456,,0.0,128.0,,0.0,0.07020057306590258,0.0
pcet_k10_scenario_diverse.summary.csv,pcet_balanced,1.0,0.12643678160919541,0.0,0.0,0.0,0.9689119170984456,,0.0,128.0,,0.0,0.06321839080459771,0.0
pcet_k10_stable_first.summary.csv,pcet_balanced,1.0,0.12643678160919541,0.0,0.0,0.0,0.9689119170984456,,0.0,128.0,,0.0,0.06321839080459771,0.0
pcet_k10_scenario_diverse.summary.csv,pcet_known_preserving,1.0,0.35919540229885055,0.0,0.0,0.0,0.8082901554404145,,0.0,128.0,,0.0,0.17959770114942528,0.0
pcet_k10_stable_first.summary.csv,pcet_known_preserving,1.0,0.35919540229885055,0.0,0.0,0.0,0.8082901554404145,,0.0,128.0,,0.0,0.17959770114942528,0.0
pcet_k5_scenario_diverse.summary.csv,pcet_known_preserving,1.0,0.3151862464183381,0.0,0.015306122448979591,0.0,0.7694300518134715,,0.0,128.0,,0.0,0.16524618443365885,0.0
pcet_k5_stable_first.summary.csv,pcet_known_preserving,1.0,0.3151862464183381,0.0,0.015306122448979591,0.0,0.7694300518134715,,0.0,128.0,,0.0,0.16524618443365885,0.0
pcet_k10_scenario_diverse.summary.csv,pcet_known_preserving,4.0,0.3879310344827586,0.1,0.12207792207792208,0.0,0.7124352331606217,,0.0,251.6532618409294,,0.0,0.25500447828034034,0.0
pcet_k10_scenario_diverse.summary.csv,pcet_known_preserving,5.0,0.3879310344827586,0.1,0.12207792207792208,0.0,0.7124352331606217,,0.0,251.6532618409294,,0.0,0.25500447828034034,0.0
pcet_k10_stable_first.summary.csv,pcet_known_preserving,4.0,0.3879310344827586,0.1,0.12207792207792208,0.0,0.7124352331606217,,0.0,251.6532618409294,,0.0,0.25500447828034034,0.0
pcet_k10_stable_first.summary.csv,pcet_known_preserving,5.0,0.3879310344827586,0.1,0.12207792207792208,0.0,0.7124352331606217,,0.0,251.6532618409294,,0.0,0.25500447828034034,0.0
pcet_k10_scenario_diverse.summary.csv,pcet_known_preserving,3.0,0.3879310344827586,0.1,0.11428571428571428,0.0,0.7124352331606217,,0.0,248.7935656836461,,0.0,0.25110837438423644,0.0
pcet_k10_stable_first.summary.csv,pcet_known_preserving,3.0,0.3879310344827586,0.1,0.11428571428571428,0.0,0.7124352331606217,,0.0,248.7935656836461,,0.0,0.25110837438423644,0.0
pcet_k5_scenario_diverse.summary.csv,pcet_known_preserving,3.0,0.36962750716332377,0.016666666666666666,0.10459183673469388,0.0,0.6761658031088082,,0.0,247.59538598047914,,0.0,0.23710967194900884,0.0
pcet_k5_scenario_diverse.summary.csv,pcet_known_preserving,4.0,0.36962750716332377,0.016666666666666666,0.10459183673469388,0.0,0.6761658031088082,,0.0,249.86690328305235,,0.0,0.23710967194900884,0.0
pcet_k5_scenario_diverse.summary.csv,pcet_known_preserving,5.0,0.36962750716332377,0.016666666666666666,0.10459183673469388,0.0,0.6761658031088082,,0.0,249.86690328305235,,0.0,0.23710967194900884,0.0
pcet_k5_stable_first.summary.csv,pcet_known_preserving,3.0,0.36962750716332377,0.016666666666666666,0.10459183673469388,0.0,0.6761658031088082,,0.0,247.59538598047914,,0.0,0.23710967194900884,0.0
pcet_k5_stable_first.summary.csv,pcet_known_preserving,4.0,0.36962750716332377,0.016666666666666666,0.10459183673469388,0.0,0.6761658031088082,,0.0,249.86690328305235,,0.0,0.23710967194900884,0.0
pcet_k5_stable_first.summary.csv,pcet_known_preserving,5.0,0.36962750716332377,0.016666666666666666,0.10459183673469388,0.0,0.6761658031088082,,0.0,249.86690328305235,,0.0,0.23710967194900884,0.0
pcet_k10_scenario_diverse.summary.csv,pcet_known_preserving,2.0,0.40229885057471265,0.11666666666666667,0.11168831168831168,0.0,0.6373056994818653,,0.0,220.0822162645219,,0.0,0.25699358113151216,0.0
pcet_k10_stable_first.summary.csv,pcet_known_preserving,2.0,0.40229885057471265,0.11666666666666667,0.11168831168831168,0.0,0.6373056994818653,,0.0,220.0822162645219,,0.0,0.25699358113151216,0.0
pcet_k5_scenario_diverse.summary.csv,pcet_known_preserving,2.0,0.37822349570200575,0.03333333333333333,0.10714285714285714,0.0,0.6191709844559585,,0.0,219.2014196983141,,0.0,0.24268317642243145,0.0
pcet_k5_stable_first.summary.csv,pcet_known_preserving,2.0,0.37822349570200575,0.03333333333333333,0.10714285714285714,0.0,0.6191709844559585,,0.0,219.2014196983141,,0.0,0.24268317642243145,0.0
