method,metric,n_seeds,mean_pct,sample_std_pct
V2_A,clean_accuracy_pct,3,75.90714285714286,0.8684585005822452
V2_A,leo_clear_weak_accuracy_pct,3,61.12182539682539,1.7119925483043827
V2_A,leo_low_elev_weak_accuracy_pct,3,59.714087301587305,1.6247878735317431
V2_A,leo_rain_weak_accuracy_pct,3,59.600793650793655,1.5607294200953936
V2_A,leo_mean_accuracy_pct,3,60.14556878306878,1.6315373078926003
V2_A,leo_mean_macro_f1_pct,3,60.22989080099288,1.9553239537285132
V2_B,clean_accuracy_pct,3,74.68353174603175,1.7476326647862759
V2_B,leo_clear_weak_accuracy_pct,3,62.422222222222224,2.6461019022012295
V2_B,leo_low_elev_weak_accuracy_pct,3,60.584920634920636,2.4069198042449447
V2_B,leo_rain_weak_accuracy_pct,3,60.49186507936508,2.1380691658890454
V2_B,leo_mean_accuracy_pct,3,61.16633597883598,2.3958163538566
V2_B,leo_mean_macro_f1_pct,3,61.112568410432054,2.169230069559298
V2_C,clean_accuracy_pct,3,75.90714285714286,0.8684585005822452
V2_C,leo_clear_weak_accuracy_pct,3,61.12182539682539,1.7119925483043827
V2_C,leo_low_elev_weak_accuracy_pct,3,59.714087301587305,1.6247878735317431
V2_C,leo_rain_weak_accuracy_pct,3,59.600793650793655,1.5607294200953936
V2_C,leo_mean_accuracy_pct,3,60.14556878306878,1.6315373078926003
V2_C,leo_mean_macro_f1_pct,3,60.22989080099288,1.9553239537285132
V2_D,clean_accuracy_pct,1,76.01666666666667,
V2_D,leo_clear_weak_accuracy_pct,1,60.35178571428571,
V2_D,leo_low_elev_weak_accuracy_pct,1,58.713095238095235,
V2_D,leo_rain_weak_accuracy_pct,1,58.59285714285715,
V2_D,leo_mean_accuracy_pct,1,59.21924603174603,
V2_D,leo_mean_macro_f1_pct,1,58.30823636935749,
