row,scene,n_seeds,accuracy_mean,accuracy_sample_std,macro_f1_mean,macro_f1_sample_std
V2_A,clean,3,0.9807407407407408,0.0016041783576079738,0.9807228800978356,0.00161218618887402
V2_A,leo_clear_weak,3,0.8772839506172839,0.01321186093321835,0.8771359882414989,0.013325524982359572
V2_A,leo_low_elev_weak,3,0.8417283950617284,0.00874735573082884,0.8412121181329048,0.009305208161919008
V2_A,leo_rain_weak,3,0.8434074074074074,0.009470117611308561,0.8428578155579236,0.010032859255938296
V2_A,LEO_mean,3,0.8541399176954733,0.010407900441826375,0.8537353073107757,0.010788052596489508
V2_A,four_scene_mean,3,0.8857901234567901,0.007479191144963425,0.8854822005075407,0.007798957932600079
V2_B,clean,3,0.9797777777777777,0.0029678200929726993,0.9797626695952472,0.002969193386302582
V2_B,leo_clear_weak,3,0.8850123456790123,0.006771838455521024,0.8845287890746117,0.006329972198560082
V2_B,leo_low_elev_weak,3,0.8459753086419753,0.0034596108421011437,0.844692171546863,0.003170280077313283
V2_B,leo_rain_weak,3,0.8463333333333333,0.001443494464437428,0.8449464369614667,0.0015636503616966013
V2_B,LEO_mean,3,0.8591069958847737,0.0023647481334584247,0.8580557991943139,0.0012621668475681258
V2_B,four_scene_mean,3,0.8892746913580247,0.001727598471634944,0.8884825167945472,0.0005921966109779696
V2_C,clean,3,0.9807407407407408,0.0016041783576079738,0.9807228800978356,0.00161218618887402
V2_C,leo_clear_weak,3,0.8772839506172839,0.01321186093321835,0.8771359882414989,0.013325524982359572
V2_C,leo_low_elev_weak,3,0.8417283950617284,0.00874735573082884,0.8412121181329048,0.009305208161919008
V2_C,leo_rain_weak,3,0.8434074074074074,0.009470117611308561,0.8428578155579236,0.010032859255938296
V2_C,LEO_mean,3,0.8541399176954733,0.010407900441826375,0.8537353073107757,0.010788052596489508
V2_C,four_scene_mean,3,0.8857901234567901,0.007479191144963425,0.8854822005075407,0.007798957932600079
V2_D,clean,3,0.9795308641975309,0.003463771609553052,0.9795213063770836,0.003461650451405114
V2_D,leo_clear_weak,3,0.8688271604938271,0.00678923675467426,0.8671588268601248,0.008247260688352772
V2_D,leo_low_elev_weak,3,0.8310864197530864,0.004514317010403272,0.828411073349167,0.007311098672430288
V2_D,leo_rain_weak,3,0.8341728395061728,0.008175067765317668,0.831915174785873,0.009918009564449317
V2_D,LEO_mean,3,0.8446954732510288,0.006448325936396619,0.8424950249983882,0.008416311729280682
V2_D,four_scene_mean,3,0.8784043209876543,0.0044048227456063155,0.876751595343062,0.0056923601250381
V2_E,clean,3,0.980753086419753,0.0023577014838930222,0.9807402824277406,0.0023621973084262675
V2_E,leo_clear_weak,3,0.9000123456790123,0.006743623044061867,0.8999531804790307,0.006800043651850509
V2_E,leo_low_elev_weak,3,0.8643827160493827,0.002796807246262792,0.8639432787964412,0.0031513439678461045
V2_E,leo_rain_weak,3,0.8660740740740741,0.0028410087275207614,0.8653611114406865,0.002540911657952309
V2_E,LEO_mean,3,0.8768230452674897,0.0037890241163799454,0.8764191902387195,0.003775192612089891
V2_E,four_scene_mean,3,0.9028055555555555,0.002280504991845573,0.9024994632859747,0.0022494343936102826
V2_F,clean,3,0.9801358024691358,0.002395793448108383,0.9801153843258614,0.0024087867216979735
V2_F,leo_clear_weak,3,0.8917777777777778,0.0162204886609667,0.8918524731516907,0.01585109694710447
V2_F,leo_low_elev_weak,3,0.8551111111111112,0.009682263563299156,0.8544046540839138,0.0089595280212426
V2_F,leo_rain_weak,3,0.8566913580246913,0.010338995749332244,0.8559035189795892,0.009674514912847348
V2_F,LEO_mean,3,0.8678600823045267,0.012037646919233454,0.8673868820717312,0.011459943383064716
V2_F,four_scene_mean,3,0.895929012345679,0.008430678011463104,0.8955690076352638,0.007996028285237867
V2_STRONG_SOURCE_LR_BASE,clean,1,0.982,,0.9819777292088108,
V2_STRONG_SOURCE_LR_BASE,leo_clear_weak,1,0.8862592592592593,,0.884949748197721,
V2_STRONG_SOURCE_LR_BASE,leo_low_elev_weak,1,0.849037037037037,,0.8458790963344408,
V2_STRONG_SOURCE_LR_BASE,leo_rain_weak,1,0.8465925925925926,,0.8432224712583244,
V2_STRONG_SOURCE_LR_BASE,LEO_mean,1,0.8606296296296296,,0.8580171052634954,
V2_STRONG_SOURCE_LR_BASE,four_scene_mean,1,0.8909722222222223,,0.8890072612498242,
V2_STRONG_SOURCE_LR_HIGH,clean,1,0.9851481481481481,,0.9851433377241033,
V2_STRONG_SOURCE_LR_HIGH,leo_clear_weak,1,0.9284074074074075,,0.9280525988541842,
V2_STRONG_SOURCE_LR_HIGH,leo_low_elev_weak,1,0.893,,0.8914981447508361,
V2_STRONG_SOURCE_LR_HIGH,leo_rain_weak,1,0.8898888888888888,,0.8882657522758787,
V2_STRONG_SOURCE_LR_HIGH,LEO_mean,1,0.9037654320987655,,0.9026054986269664,
V2_STRONG_SOURCE_LR_HIGH,four_scene_mean,1,0.9241111111111111,,0.9232399584012506,
V2_STRONG_SOURCE_LR_LOW,clean,1,0.9767407407407407,,0.9766816727732633,
V2_STRONG_SOURCE_LR_LOW,leo_clear_weak,1,0.8188148148148148,,0.8142355798326112,
V2_STRONG_SOURCE_LR_LOW,leo_low_elev_weak,1,0.784,,0.7773486419374765,
V2_STRONG_SOURCE_LR_LOW,leo_rain_weak,1,0.7834444444444445,,0.7776223762563408,
V2_STRONG_SOURCE_LR_LOW,LEO_mean,1,0.7954197530864198,,0.7897355326754761,
V2_STRONG_SOURCE_LR_LOW,four_scene_mean,1,0.84075,,0.836472067699923,
