run_id,state,last_complete_epoch,latest_action_epoch,steps,process_alive
V2_A_seed392005,completed,200,200,9800,False
V2_A_seed392006,completed,200,200,9800,False
V2_A_seed392007,completed,200,200,9800,False
V2_B_seed392005,completed,200,200,9800,False
V2_B_seed392006,completed,200,200,9800,False
V2_B_seed392007,completed,200,200,9800,False
V2_C_seed392005,completed,200,200,9800,False
V2_C_seed392006,completed,200,200,9800,False
V2_C_seed392007,completed,200,200,9800,False
V2_D_seed392005,completed,200,200,9800,False
V2_D_seed392006,completed,200,200,9800,False
V2_D_seed392007,completed,200,200,9800,False
V2_E_seed392005,completed,200,200,9800,False
V2_E_seed392006,completed,200,200,9800,False
V2_E_seed392007,completed,200,200,9800,False
V2_F_seed392005,completed,200,200,9800,False
V2_F_seed392006,completed,200,200,9800,False
V2_F_seed392007,completed,200,200,9800,False
V2_STRONG_SOURCE_LR_LOW_seed392005,completed,200,200,9800,False
V2_STRONG_SOURCE_LR_BASE_seed392005,completed,200,200,9800,False
V2_STRONG_SOURCE_LR_HIGH_seed392005,completed,200,200,9800,False
