rung,checkpoint,receiver_id,day_scope,tx_acc_pct,correct,total
R4,FINAL-PRIMARY,9,seen_days,93.39,16810,18000
R4,FINAL-PRIMARY,10,seen_days,77.36,13924,18000
R4,FINAL-PRIMARY,11,seen_days,84.47,15205,18000
R4,FINAL-PRIMARY,0,unseen_days,66.95,4017,6000
R4,FINAL-PRIMARY,2,unseen_days,68.0,4080,6000
R4,FINAL-PRIMARY,5,unseen_days,81.82,4909,6000
R4,FINAL-PRIMARY,7,unseen_days,85.47,5128,6000
R4,FINAL-PRIMARY,9,unseen_days,71.53,4292,6000
R4,FINAL-PRIMARY,10,unseen_days,78.7,4722,6000
R4,FINAL-PRIMARY,11,unseen_days,77.78,4667,6000
R5,FINAL-BEST,0,seen_days,85.91,15464,18000
R5,FINAL-BEST,2,seen_days,64.49,11608,18000
R5,FINAL-BEST,5,seen_days,88.76,15976,18000
R5,FINAL-BEST,7,seen_days,67.88,12219,18000
R5,FINAL-BEST,9,seen_days,91.91,16544,18000
R5,FINAL-BEST,10,seen_days,69.28,12471,18000
R5,FINAL-BEST,11,seen_days,81.55,14679,18000
R5,FINAL-BEST,0,unseen_days,67.47,4048,6000
R5,FINAL-BEST,2,unseen_days,67.33,4040,6000
R5,FINAL-BEST,5,unseen_days,79.93,4796,6000
R5,FINAL-BEST,7,unseen_days,85.2,5112,6000
R5,FINAL-BEST,9,unseen_days,70.93,4256,6000
R5,FINAL-BEST,10,unseen_days,78.33,4700,6000
R5,FINAL-BEST,11,unseen_days,76.73,4604,6000
R5,FINAL-PRIMARY,0,seen_days,85.99,15479,18000
R5,FINAL-PRIMARY,2,seen_days,67.11,12080,18000
R5,FINAL-PRIMARY,5,seen_days,89.19,16055,18000
R5,FINAL-PRIMARY,7,seen_days,68.03,12246,18000
R5,FINAL-PRIMARY,9,seen_days,93.02,16743,18000
R5,FINAL-PRIMARY,10,seen_days,70.3,12654,18000
R5,FINAL-PRIMARY,11,seen_days,83.11,14960,18000
R5,FINAL-PRIMARY,0,unseen_days,67.17,4030,6000
R5,FINAL-PRIMARY,2,unseen_days,67.5,4050,6000
R5,FINAL-PRIMARY,5,unseen_days,80.42,4825,6000
R5,FINAL-PRIMARY,7,unseen_days,85.53,5132,6000
R5,FINAL-PRIMARY,9,unseen_days,71.13,4268,6000
R5,FINAL-PRIMARY,10,unseen_days,78.55,4713,6000
R5,FINAL-PRIMARY,11,unseen_days,77.38,4643,6000
R6,FINAL-BEST,0,seen_days,84.72,15249,18000
R6,FINAL-BEST,2,seen_days,68.7,12366,18000
R6,FINAL-BEST,5,seen_days,89.18,16053,18000
R6,FINAL-BEST,7,seen_days,68.16,12269,18000
R6,FINAL-BEST,9,seen_days,93.76,16877,18000
R6,FINAL-BEST,10,seen_days,72.55,13059,18000
R6,FINAL-BEST,11,seen_days,82.66,14878,18000
R6,FINAL-BEST,0,unseen_days,66.53,3992,6000
R6,FINAL-BEST,2,unseen_days,67.85,4071,6000
R6,FINAL-BEST,5,unseen_days,82.52,4951,6000
R6,FINAL-BEST,7,unseen_days,85.43,5126,6000
R6,FINAL-BEST,9,unseen_days,71.8,4308,6000
R6,FINAL-BEST,10,unseen_days,78.88,4733,6000
R6,FINAL-BEST,11,unseen_days,76.95,4617,6000
R6,FINAL-PRIMARY,0,seen_days,85.11,15319,18000
R6,FINAL-PRIMARY,2,seen_days,66.71,12008,18000
R6,FINAL-PRIMARY,5,seen_days,89.07,16032,18000
R6,FINAL-PRIMARY,7,seen_days,67.6,12168,18000
R6,FINAL-PRIMARY,9,seen_days,92.62,16671,18000
R6,FINAL-PRIMARY,10,seen_days,71.86,12934,18000
R6,FINAL-PRIMARY,11,seen_days,82.21,14797,18000
R6,FINAL-PRIMARY,0,unseen_days,66.98,4019,6000
R6,FINAL-PRIMARY,2,unseen_days,67.92,4075,6000
R6,FINAL-PRIMARY,5,unseen_days,82.38,4943,6000
R6,FINAL-PRIMARY,7,unseen_days,84.08,5045,6000
R6,FINAL-PRIMARY,9,unseen_days,71.47,4288,6000
R6,FINAL-PRIMARY,10,unseen_days,79.3,4758,6000
R6,FINAL-PRIMARY,11,unseen_days,76.87,4612,6000
