rung,source,feature,target,accuracy_pct,majority_pct,train_n,test_n,classes
R2,diagnostic_payload,gamma_nuis,view_labels,68.6141848564148,50.0,20210,4878,2
R2,diagnostic_payload,canonical_nuisance,receiver_labels,29.663795232772827,20.50020500205002,20210,4878,5
R2,diagnostic_payload,canonical_nuisance,view_labels,65.47765731811523,50.0,20210,4878,2
R2,negative_control_first_record,quality_only_tx_probe,tx_labels,23.9130437374115,30.434782608695652,210,46,6
R2,negative_control_first_record,raw_coefficient,tx_labels,26.0869562625885,30.434782608695652,210,46,6
R2,negative_control_first_record,whitened_coefficient,tx_labels,23.9130437374115,30.434782608695652,210,46,6
R2,negative_control_first_record,anchor_surface,tx_labels,15.217390656471252,30.434782608695652,210,46,6
R3,diagnostic_payload,z_resp,tx_labels,24.75767433643341,17.609046849757675,10068,2476,6
R3,diagnostic_payload,z_resp,receiver_labels,30.811807513237,20.50020500205002,20210,4878,5
R3,diagnostic_payload,z_resp,view_labels,67.19967126846313,50.0,20210,4878,2
R3,diagnostic_payload,s_hat_summary,tx_labels,33.037155866622925,17.609046849757675,10068,2476,6
R3,diagnostic_payload,s_hat_summary,receiver_labels,38.08937966823578,20.50020500205002,20210,4878,5
R3,diagnostic_payload,s_hat_summary,view_labels,77.5522768497467,50.0,20210,4878,2
R3,diagnostic_payload,c_fp,tx_labels,30.048465728759766,17.609046849757675,10068,2476,6
R3,diagnostic_payload,c_fp,receiver_labels,46.51496410369873,20.50020500205002,20210,4878,5
R3,diagnostic_payload,c_fp,view_labels,66.76916480064392,50.0,20210,4878,2
R3,diagnostic_payload,gamma_nuis,receiver_labels,38.478884100914,20.50020500205002,20210,4878,5
R3,diagnostic_payload,gamma_nuis,view_labels,67.99917817115784,50.0,20210,4878,2
R3,diagnostic_payload,canonical_nuisance,receiver_labels,27.613776922225952,20.50020500205002,20210,4878,5
R3,diagnostic_payload,canonical_nuisance,view_labels,69.8852002620697,50.0,20210,4878,2
R3,negative_control_first_record,quality_only_tx_probe,tx_labels,17.391304671764374,30.434782608695652,210,46,6
R3,negative_control_first_record,raw_coefficient,tx_labels,10.869564861059189,30.434782608695652,210,46,6
R3,negative_control_first_record,whitened_coefficient,tx_labels,6.521739065647125,30.434782608695652,210,46,6
R3,negative_control_first_record,anchor_surface,tx_labels,10.869564861059189,30.434782608695652,210,46,6
R4,diagnostic_payload,z_resp,tx_labels,22.17285931110382,17.609046849757675,10068,2476,6
R4,diagnostic_payload,z_resp,receiver_labels,33.16933214664459,20.50020500205002,20210,4878,5
R4,diagnostic_payload,z_resp,view_labels,68.45018267631531,50.0,20210,4878,2
R4,diagnostic_payload,s_hat_summary,tx_labels,32.99676775932312,17.609046849757675,10068,2476,6
R4,diagnostic_payload,s_hat_summary,receiver_labels,37.658876180648804,20.50020500205002,20210,4878,5
R4,diagnostic_payload,s_hat_summary,view_labels,77.6752769947052,50.0,20210,4878,2
R4,diagnostic_payload,c_fp,tx_labels,30.048465728759766,17.609046849757675,10068,2476,6
R4,diagnostic_payload,c_fp,receiver_labels,45.51045596599579,20.50020500205002,20210,4878,5
R4,diagnostic_payload,c_fp,view_labels,66.56416654586792,50.0,20210,4878,2
R4,diagnostic_payload,gamma_nuis,receiver_labels,39.93439972400665,20.50020500205002,20210,4878,5
R4,diagnostic_payload,gamma_nuis,view_labels,66.74866676330566,50.0,20210,4878,2
R4,diagnostic_payload,canonical_nuisance,receiver_labels,28.78228724002838,20.50020500205002,20210,4878,5
R4,diagnostic_payload,canonical_nuisance,view_labels,70.37720084190369,50.0,20210,4878,2
R4,negative_control_first_record,quality_only_tx_probe,tx_labels,21.739129722118378,30.434782608695652,210,46,6
R4,negative_control_first_record,raw_coefficient,tx_labels,17.391304671764374,30.434782608695652,210,46,6
R4,negative_control_first_record,whitened_coefficient,tx_labels,15.217390656471252,30.434782608695652,210,46,6
R4,negative_control_first_record,anchor_surface,tx_labels,26.0869562625885,30.434782608695652,210,46,6
R5,diagnostic_payload,z_resp,tx_labels,29.32148575782776,17.609046849757675,10068,2476,6
R5,diagnostic_payload,z_resp,receiver_labels,31.734317541122437,20.50020500205002,20210,4878,5
R5,diagnostic_payload,z_resp,view_labels,59.71709489822388,50.0,20210,4878,2
R5,diagnostic_payload,s_hat_summary,tx_labels,32.02746510505676,17.609046849757675,10068,2476,6
R5,diagnostic_payload,s_hat_summary,receiver_labels,35.526853799819946,20.50020500205002,20210,4878,5
R5,diagnostic_payload,s_hat_summary,view_labels,77.88028120994568,50.0,20210,4878,2
R5,diagnostic_payload,c_fp,tx_labels,38.77221345901489,17.609046849757675,10068,2476,6
R5,diagnostic_payload,c_fp,receiver_labels,46.20746076107025,20.50020500205002,20210,4878,5
R5,diagnostic_payload,c_fp,view_labels,62.443625926971436,50.0,20210,4878,2
