variant,profile,audit_count,event_count,seen_new_candidate_events,rescued_seen_new_candidate_events,vetoed_seen_new_candidate_events,exempt_seen_new_candidate_events,max_seen_new_support,max_seen_new_pvalue,max_seen_new_receiver_reliability
STAGE2C_HEAD_SEP,AUDIT_FLOORLESS_X0P000R000,1,1540,740,722,0,722,10.0,1.0,0.28092847304053986
STAGE2C_HEAD_SEP,AUDIT_SUPPORT1_X1P000R000,1,1540,740,722,0,722,10.0,1.0,0.28092847304053986
STAGE2C_NORM_SEP,AUDIT_FLOORLESS_X0P000R000,1,1540,790,772,0,772,10.0,1.0,0.30554136164641993
STAGE2C_NORM_SEP,AUDIT_SUPPORT1_X1P000R000,1,1540,790,772,0,772,10.0,1.0,0.30554136164641993
