arm,method,scenario,receiver_idx,receiver_label,days,accuracy_pct,correct,total
A2,三教师视图简单平均，无tangent（上界）,leo_low_elev_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",61.583333333333336,14780,24000
A2,三教师视图简单平均，无tangent（上界）,leo_low_elev_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",83.325,19998,24000
A2,三教师视图简单平均，无tangent（上界）,leo_low_elev_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.07083333333333,14897,24000
A2,三教师视图简单平均，无tangent（上界）,leo_low_elev_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.28333333333333,17108,24000
A2,三教师视图简单平均，无tangent（上界）,leo_low_elev_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",79.575,19098,24000
A2,三教师视图简单平均，无tangent（上界）,leo_low_elev_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",70.22083333333333,16853,24000
A2,三教师视图简单平均，无tangent（上界）,leo_rain_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",75.37083333333334,18089,24000
A2,三教师视图简单平均，无tangent（上界）,leo_rain_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.275,14946,24000
A2,三教师视图简单平均，无tangent（上界）,leo_rain_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",83.54166666666667,20050,24000
A2,三教师视图简单平均，无tangent（上界）,leo_rain_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.670833333333334,15041,24000
A2,三教师视图简单平均，无tangent（上界）,leo_rain_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.54583333333333,17171,24000
A2,三教师视图简单平均，无tangent（上界）,leo_rain_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",78.72083333333333,18893,24000
A2,三教师视图简单平均，无tangent（上界）,leo_rain_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",70.96666666666667,17032,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,clean,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",82.52083333333333,19805,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,clean,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",78.2375,18777,24000
