arm,method,status,best_epoch,best_source_val_selection_hmean_pct,target_clean_pct,target_leo_clear_weak_pct,target_leo_low_elev_weak_pct,target_leo_rain_weak_pct,target_leo_mean_pct,target_leo_scenario_floor_pct,target_clean_leo_mean_hmean_pct,target_clean_receiver_floor_pct,target_leo_receiver_scenario_floor_pct,wall_time_hours,peak_cuda_allocated_mb,total_parameters,fatal_pattern_count,max_skipped_nonfinite_loss,max_skipped_nonfinite_grad,last_nonfinite_grad_epoch,strict_load_ok
A1,EMA两视图，无tangent,ARTIFACTS_COMPLETE,165,92.61329897226761,85.34642857142858,72.81428571428572,70.41547619047618,70.26607142857142,71.16527777777777,70.26607142857142,77.61339312313724,74.87083333333334,54.8625,25.029693699876468,2853.3212890625,1130809,0,0.0,0.03153153153153153,196,True
A2,三教师视图简单平均，无tangent（上界）,ARTIFACTS_COMPLETE,178,96.91221356222884,82.03392857142858,73.24880952380953,71.87619047619047,72.15595238095239,72.42698412698412,71.87619047619047,76.93169668261405,69.6,61.583333333333336,25.948361486593882,2856.74267578125,1130809,0,0.0,0.018018018018018018,200,True
A3,三教师视图部署加权球面聚合，无tangent（上界）,ARTIFACTS_COMPLETE,185,96.88781376389288,81.74285714285715,73.35178571428571,71.96964285714286,72.275,72.53214285714286,71.96964285714286,76.862545348718,69.05,61.49583333333333,27.672596418062845,2897.40283203125,1130809,0,0.0,0.018018018018018018,184,True
A4,A3+单参数tangent,ARTIFACTS_COMPLETE,185,96.90965798740454,82.03214285714286,73.4922619047619,72.08630952380952,72.40535714285714,72.66130952380952,72.08630952380952,77.0628986722149,70.13333333333334,62.00833333333333,24.64748224960433,2981.99462890625,1130809,0,0.0,0.018018018018018018,194,True
A5,A3+协方差随机方向tangent,ARTIFACTS_COMPLETE,178,96.89074664973934,81.05178571428571,72.96190476190476,71.61904761904762,71.88333333333334,72.15476190476191,71.61904761904762,76.34493944360605,68.19166666666666,61.708333333333336,26.75648704244031,3023.31298828125,1130809,0,0.0,0.02702702702702703,200,True
A6,A3+分支选择性tangent,ARTIFACTS_COMPLETE,180,96.85509554816485,80.74642857142857,73.16666666666667,71.8202380952381,72.0547619047619,72.34722222222223,71.8202380952381,76.3164217617601,69.0625,61.38333333333333,29.755594740311306,2984.58740234375,1130809,0,0.0,0.03153153153153153,192,True
A7,A3+tangent+fingerprint keep,ARTIFACTS_COMPLETE,188,96.90312802486118,81.61607142857143,73.52142857142857,72.08809523809524,72.39464285714286,72.66805555555555,72.08809523809524,76.88258447231966,69.67916666666666,62.36666666666667,26.876499252849154,3159.19189453125,1130809,0,0.0045045045045045045,0.03153153153153153,200,True
