arm,method,gpu,epoch_latest,epochs_total,progress_pct,median_epoch_time_last10_s,train_eta,latest_val_clean_tx_acc_pct,latest_source_val_leo_mean_tx_acc_pct,latest_source_val_leo_floor_tx_acc_pct,latest_selection_hmean_pct,best_epoch,best_selection_hmean_pct,last10_val_clean_mean_pct,last10_source_val_leo_floor_mean_pct,latest_train_loss,latest_daot_total_loss,latest_daot_consensus_rate,latest_daot_teacher_effective_views,latest_daot_tangent_scale,peak_cuda_memory_mb,u_samples_per_s,fatal_pattern_count,max_skipped_nonfinite_loss,max_skipped_nonfinite_grad,test_eval_rows,final_checkpoint_present
A1,EMA单教师视图，无tangent,1,90,200,45.0,373.4109162092209,2026-09-02T21:36:53.200783+08:00,98.27777777777777,84.62592592592593,82.78518518518518,89.86867219869859,90,89.86867219869859,97.80925925925926,79.31296296296296,10.333430270890933,0.7133103286897814,0.8124296171171171,1.9919950489525322,0.375,2853.017578125,156.48866796570593,0,0.0,0.03153153153153153,0,False
A2,三教师视图等权平均，无tangent（上界）,2,88,200,44.0,382.7949900627136,2026-09-02T22:06:51.038887+08:00,98.52962962962962,93.81604938271606,92.7925925925926,95.57509498192852,88,95.57509498192852,98.4748148148148,92.06222222222222,5.658443938504468,0.8348050571239747,0.8820734797297297,2.9219785101778872,0.3499999999999998,2856.6220703125,148.1669517593128,0,0.0,0.018018018018018018,0,False
A3,三教师视图不确定性加权可靠聚合，无tangent（上界）,3,77,200,38.5,381.4589476585388,2026-09-02T23:14:17.450562+08:00,98.41851851851852,91.69753086419753,90.5111111111111,94.2993376156341,75,94.57029115682906,98.45777777777778,90.34592592592593,4.361349099391216,0.8204134294578621,0.855785472972973,2.588485091656178,0.21249999999999916,2520.515625,149.14650703954257,0,0.0,0.018018018018018018,0,False
A4,A3+基础tangent,4,100,200,50.0,405.5361703634262,2026-09-02T21:28:11.617036+08:00,98.62222222222222,94.46790123456789,93.69259259259259,96.09422650189912,98,96.15809920548364,98.56037037037036,93.33777777777777,5.661957157624735,0.8611852728031777,0.8961500563063063,2.5935971962439046,0.5,2982.8623046875,136.450835298568,0,0.0,0.018018018018018018,0,False
A5,A3+共识门控高置信tangent,5,84,200,42.0,390.8888394832611,2026-09-02T22:48:01.105380+08:00,98.56666666666666,93.25308641975307,92.07037037037037,95.20783208993886,84,95.20783208993886,98.48962962962963,91.35888888888888,6.1066690436354625,0.849609293916204,0.8743313626126126,2.5925287384170668,0.29999999999999877,3023.130859375,143.70442143758197,0,0.0,0.02702702702702703,0,False
A6,A3+低支持选择性tangent,6,80,200,40.0,392.63275027275085,2026-09-02T23:17:33.930033+08:00,98.58888888888889,92.8925925925926,91.70370370370371,95.0217360746176,80,95.0217360746176,98.46703703703703,90.42,5.907868746164683,0.7440929654482249,0.8561373873873874,2.589909644814225,0.25,2986.91552734375,143.20860055259865,0,0.0,0.03153153153153153,0,False
A7,A3+tangent+fingerprint keep,7,88,200,44.0,415.77385544776917,2026-09-02T23:08:24.671810+08:00,98.60740740740741,93.45925925925924,92.47037037037038,95.44033419552794,88,95.44033419552794,98.54074074074074,91.83518518518518,5.501996657869837,0.7469288526891588,0.8852759009009009,2.5915949333895436,0.3499999999999998,3149.4814453125,136.4434737206512,0,0.0,0.03153153153153153,0,False
