row,class_id,clean,leo_clear_weak,leo_low_elev_weak,leo_rain_weak,leo_mean
X0_A1_RUNTIME,0,92.73928571428571,73.33214285714286,72.67857142857143,73.93214285714286,73.31428571428572
X0_A1_RUNTIME,1,44.17857142857143,35.99285714285714,34.517857142857146,34.67142857142857,35.06071428571428
X0_A1_RUNTIME,2,70.80357142857143,63.09285714285714,60.00714285714286,60.16785714285714,61.089285714285715
X0_A1_RUNTIME,3,66.84642857142858,61.3,57.732142857142854,56.31428571428572,58.44880952380952
X0_A1_RUNTIME,4,99.78571428571429,97.47857142857143,95.33571428571429,95.03571428571429,95.95
X0_A1_RUNTIME,5,96.46428571428571,84.00357142857143,84.79285714285714,85.85714285714286,84.88452380952381
F1_RUNTIME,0,91.39285714285714,74.2,73.075,74.06785714285714,73.78095238095239
F1_RUNTIME,1,47.125,34.982142857142854,33.175,33.6,33.91904761904762
F1_RUNTIME,2,72.92142857142856,63.949999999999996,60.13214285714285,60.51428571428571,61.53214285714285
F1_RUNTIME,3,67.625,62.39642857142857,59.5,58.099999999999994,59.99880952380952
F1_RUNTIME,4,99.40357142857142,96.12142857142857,93.47142857142858,93.23928571428571,94.27738095238095
F1_RUNTIME,5,95.14642857142857,82.69285714285715,83.99285714285715,84.90714285714286,83.86428571428571
F3_COVERAGE_KL,0,93.23928571428571,71.96785714285714,69.94642857142857,71.55357142857143,71.15595238095239
F3_COVERAGE_KL,1,45.52142857142857,35.325,33.71785714285714,34.214285714285715,34.41904761904762
F3_COVERAGE_KL,2,74.03214285714286,63.589285714285715,60.042857142857144,60.542857142857144,61.391666666666666
F3_COVERAGE_KL,3,68.07857142857144,61.332142857142856,58.09285714285715,56.746428571428574,58.72380952380953
F3_COVERAGE_KL,4,99.76785714285714,96.52142857142857,94.66428571428571,94.56428571428572,95.25
F3_COVERAGE_KL,5,92.77499999999999,81.29642857142856,82.91785714285714,83.60357142857143,82.60595238095237
