rung,gpu,status_at_snapshot,latest_epoch,planned_epochs,progress_percent,latest_lr,latest_train_loss,latest_train_tx_acc,latest_val_tx_acc,latest_val_dom_acc,best_val_tx_acc,best_val_epoch,min_train_loss,min_train_loss_epoch,last10_val_tx_acc_mean,last10_val_tx_acc_std,last10_val_tx_acc_min,last10_val_tx_acc_max,last10_train_loss_mean,last10_epoch_time_s_mean,estimated_remaining_train_hours,skipped_backward_batches_total,skipped_backward_warning_lines,epochs_with_skip_warning,csv_record_count,jsonl_record_count,stdout_epoch_end_count,csv_epoch_contiguous,jsonl_epoch_contiguous,malformed_jsonl_lines,latest_test_tx_acc,latest_primary_ood_score,latest_worst_rx_tx_acc,test_skipped_marker_count,final_ssdg_marker_count,training_finished_marker_count,epoch200_eval_complete_count,selected_best_eval_complete_count,fatal_traceback_count,fatal_runtime_error_count,fatal_cuda_oom_count,fatal_killed_count,fatal_explicit_error_count,csv_bytes,jsonl_bytes,stdout_bytes
R1,0,E200_COMPLETE_SELECTED_BEST_EVAL_PARTIAL,200,200,100.0,1e-06,9.089193529012253,85.49107142857143,97.87407407407407,77.38888888888889,97.9962962962963,164,5.5571582068999605,67,97.89518518518518,0.02760853793973065,97.86666666666666,97.95555555555555,9.042287958398157,801.9230537713505,0.0,31,31,29,200,200,200,True,True,0,78.83035714285714,77.44613095238094,65.31111111111112,199,0,6,4,1,0,0,0,0,0,152543,412473,763530
R2,1,E200_AND_SELECTED_BEST_EVAL_COMPLETE,200,200,100.0,1e-06,8.89643474987575,85.98533163265306,97.93703703703704,79.85925925925926,98.02222222222223,155,5.445929437875748,67,97.95333333333333,0.031917818569004934,97.9037037037037,98.01851851851852,8.835743022948302,657.4359128263313,0.0,29,29,26,200,200,200,True,True,0,79.29285714285714,77.4857142857143,66.46111111111111,199,0,6,4,4,0,0,0,0,0,152643,412573,764306
R3,2,TRAINING_INCOMPLETE,122,200,61.0,6.679557693559348e-05,9.588056380550066,81.103515625,97.89259259259259,77.84444444444445,97.92222222222222,120,5.6036904004155375,67,97.76888888888888,0.11315271117536002,97.58148148148148,97.92222222222222,9.44718510999786,768.565690123383,16.652256619339965,21,21,18,122,122,122,True,True,0,,,,122,0,0,0,0,0,0,0,0,0,93340,251492,465771
R4,3,TRAINING_INCOMPLETE,113,200,56.49999999999999,8.032266411202699e-05,8.835047940818631,85.66645408163265,97.83703703703704,78.06666666666666,97.89259259259259,98,5.721724222103755,54,97.6137037037037,0.15355414410385357,97.41851851851852,97.83703703703704,9.70888808287528,803.8728018800728,19.426926045435092,22,22,19,113,113,113,True,True,0,,,,113,0,0,0,0,0,0,0,0,0,86554,232961,432352
R5,4,TRAINING_INCOMPLETE,114,200,56.99999999999999,7.879474748104401e-05,9.953952901217402,82.46173469387755,97.75185185185185,76.98148148148148,97.88518518518518,98,5.645521052029668,67,97.64962962962963,0.18250070727053364,97.19259259259259,97.87037037037037,9.70619944875769,837.0986119349021,19.997355729555995,20,21,18,114,114,114,True,True,0,,,,114,0,0,0,0,0,0,0,0,0,87311,235023,435996
R6,5,TRAINING_INCOMPLETE,110,200,55.00000000000001,8.493477072849701e-05,10.034077756258906,80.67602040816327,97.67037037037036,75.27777777777777,97.87777777777778,98,5.635199099170919,67,97.75518518518518,0.08504103029009275,97.63703703703703,97.87777777777778,9.810898536282599,839.6741293246857,20.991853233117144,20,20,18,110,110,110,True,True,0,,,,110,0,0,0,0,0,0,0,0,0,84261,226753,421100
R7,6,TRAINING_INCOMPLETE,93,200,46.5,0.000111418563953559,11.15663244286362,85.29974489795919,97.72592592592592,75.62592592592593,97.75555555555556,91,5.67653455053057,67,97.48481481481483,0.2160490299820748,96.98518518518519,97.75555555555556,10.395537055592959,1309.718679753039,38.927749648215325,11,12,10,93,93,93,True,True,0,,,,93,0,0,0,0,0,0,0,0,0,71425,191732,357493
R8,7,TRAINING_INCOMPLETE,98,200,49.0,0.00010362537052827375,11.585902437871816,82.71683673469387,97.65925925925926,75.29629629629629,97.74444444444444,96,5.638556003570557,67,97.4988888888889,0.22976930572107812,97.05925925925926,97.74444444444444,11.433977841844364,1554.817069637496,44.053150306395715,9,9,8,98,98,98,True,True,0,,,,98,0,0,0,0,0,0,0,0,0,75204,202036,375860
