rung,gpu,checkpoint_kind,receiver,day_group,tx_acc,correct,total
R1,0,epoch200_latest,0,seen_days,85.69,15424,18000
R1,0,epoch200_latest,2,seen_days,65.31,11756,18000
R1,0,epoch200_latest,5,seen_days,89.16,16048,18000
R1,0,epoch200_latest,7,seen_days,68.24,12284,18000
R1,0,epoch200_latest,9,seen_days,92.6,16668,18000
R1,0,epoch200_latest,10,seen_days,74.33,13379,18000
R1,0,epoch200_latest,11,seen_days,82.94,14930,18000
R1,0,epoch200_latest,0,unseen_days,67.28,4037,6000
R1,0,epoch200_latest,2,unseen_days,68.5,4110,6000
R1,0,epoch200_latest,5,unseen_days,80.45,4827,6000
R1,0,epoch200_latest,7,unseen_days,86.05,5163,6000
R1,0,epoch200_latest,9,unseen_days,71.47,4288,6000
R1,0,epoch200_latest,10,unseen_days,80.22,4813,6000
R1,0,epoch200_latest,11,unseen_days,78.47,4708,6000
R1,0,selected_best,0,seen_days,86.8,15624,18000
R1,0,selected_best,2,seen_days,63.74,11474,18000
R1,0,selected_best,5,seen_days,88.59,15947,18000
R1,0,selected_best,7,seen_days,68.34,12301,18000
R1,0,selected_best,9,seen_days,91.71,16507,18000
R1,0,selected_best,10,seen_days,75.59,13607,18000
R1,0,selected_best,11,seen_days,82.47,14845,18000
R1,0,selected_best,0,unseen_days,68.23,4094,6000
R1,0,selected_best,2,unseen_days,68.35,4101,6000
R1,0,selected_best,5,unseen_days,80.62,4837,6000
R1,0,selected_best,7,unseen_days,84.95,5097,6000
R1,0,selected_best,9,unseen_days,71.53,4292,6000
R1,0,selected_best,10,unseen_days,81.63,4898,6000
R1,0,selected_best,11,unseen_days,79.4,4764,6000
R2,1,epoch200_latest,0,seen_days,86.67,15600,18000
R2,1,epoch200_latest,2,seen_days,66.46,11963,18000
R2,1,epoch200_latest,5,seen_days,89.23,16062,18000
R2,1,epoch200_latest,7,seen_days,68.17,12270,18000
R2,1,epoch200_latest,9,seen_days,93.63,16853,18000
R2,1,epoch200_latest,10,seen_days,75.84,13651,18000
R2,1,epoch200_latest,11,seen_days,83.49,15028,18000
R2,1,epoch200_latest,0,unseen_days,67.87,4072,6000
R2,1,epoch200_latest,2,unseen_days,68.0,4080,6000
R2,1,epoch200_latest,5,unseen_days,79.55,4773,6000
R2,1,epoch200_latest,7,unseen_days,85.17,5110,6000
R2,1,epoch200_latest,9,unseen_days,72.33,4340,6000
R2,1,epoch200_latest,10,unseen_days,79.43,4766,6000
R2,1,epoch200_latest,11,unseen_days,77.4,4644,6000
R2,1,selected_best,0,seen_days,86.59,15587,18000
R2,1,selected_best,2,seen_days,63.06,11351,18000
R2,1,selected_best,5,seen_days,88.87,15996,18000
R2,1,selected_best,7,seen_days,68.67,12360,18000
R2,1,selected_best,9,seen_days,92.18,16593,18000
R2,1,selected_best,10,seen_days,75.2,13536,18000
R2,1,selected_best,11,seen_days,81.94,14750,18000
R2,1,selected_best,0,unseen_days,68.2,4092,6000
R2,1,selected_best,2,unseen_days,67.57,4054,6000
R2,1,selected_best,5,unseen_days,80.63,4838,6000
R2,1,selected_best,7,unseen_days,84.58,5075,6000
R2,1,selected_best,9,unseen_days,72.45,4347,6000
R2,1,selected_best,10,unseen_days,79.73,4784,6000
R2,1,selected_best,11,unseen_days,78.37,4702,6000
