row,epoch,epoch_time_s,train_muse_time_train_batches_s,train_muse_time_base_validation_s,train_muse_time_heavy_source_validation_s,train_muse_time_other_s,train_time_periodic_target_seconds,train_daot_objective_computed,train_skipped_nonfinite_grad,train_skipped_nonfinite_loss,train_optimizer_step_applied
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,1,102.76595687866211,88.10258054733276,5.706236362457275,8.668386220932007,0.2887537479400635,0.0,0.0,0.0045045045045045045,0.0,0.9954954954954955
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,2,92.141122341156,77.6758222579956,5.504756927490234,8.668399095535278,0.2921440601348877,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,3,92.83067488670349,78.4476306438446,5.386472702026367,8.703764200210571,0.29280734062194824,0.0,0.0,0.013513513513513514,0.0,0.9864864864864865
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,4,92.53996062278748,78.11838936805725,5.413097620010376,8.714549541473389,0.29392409324645996,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,5,92.51748609542847,78.05189871788025,5.41566014289856,8.756202459335327,0.29372477531433105,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,6,91.83652973175049,77.32404732704163,5.366601467132568,8.85240626335144,0.2934746742248535,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,7,93.26968955993652,78.87290287017822,5.427502155303955,8.674662828445435,0.29462170600891113,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,8,94.25316905975342,79.92926931381226,5.35677695274353,8.672235250473022,0.2948875427246094,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,9,95.59999465942383,81.22413086891174,5.370102643966675,8.711752891540527,0.2940082550048828,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,10,94.81317162513733,80.1107063293457,5.5878846645355225,8.755194425582886,0.3593862056732178,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,11,110.66732716560364,93.78364777565002,6.1094887256622314,10.428585529327393,0.34560513496398926,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,12,132.54304313659668,115.47552585601807,6.147027015686035,10.571722984313965,0.3487672805786133,0.0,0.0,0.0045045045045045045,0.0,0.9954954954954955
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,13,131.62121772766113,114.5612370967865,6.248401403427124,10.4619722366333,0.349606990814209,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,14,115.54981780052185,101.15358638763428,5.355444431304932,8.73606562614441,0.3047213554382324,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,15,179.7293336391449,132.25077652931213,6.628958702087402,39.79358696937561,1.056011438369751,0.0,0.0,0.0,0.0,1.0
RESIDUAL_HIGH_LOWURBAN_25_75_s392005,16,374.3814878463745,330.50246596336365,6.7316601276397705,36.09206581115723,1.0552959442138672,0.0,0.0,0.0,0.0,1.0
