row,scenario,accuracy_percent,macro_f1_percent,tx0_recall,tx1_recall,tx2_recall,tx3_recall,tx4_recall,tx5_recall
H 25:75,clean,79.5422619047619,79.0612149640514,94.94642857142857,43.832142857142856,79.75357142857143,67.22857142857143,99.77142857142857,91.72142857142858
H 25:75,practical_high,80.10178571428571,79.83761826655793,90.72142857142858,43.82142857142857,83.925,71.27142857142857,98.95,91.92142857142858
H 25:75,practical_mid,77.81488095238095,77.55548431365918,88.32142857142857,43.035714285714285,80.94285714285714,67.20714285714286,95.84285714285714,91.53928571428571
H 25:75,practical_low_urban,53.50595238095238,53.01694634726481,66.47857142857143,27.364285714285714,49.36785714285714,40.80357142857143,51.21071428571429,85.81071428571428
H 25:75,practical_low_suburban,75.96190476190476,75.71247014414733,86.82142857142857,42.65357142857143,78.78571428571429,63.42857142857143,92.89642857142857,91.18571428571428
H 25:75,practical_mid_urban,64.16130952380952,63.68041413433152,75.05357142857143,31.97142857142857,63.839285714285715,53.0,71.48928571428571,89.61428571428571
H 25:75,practical_high_urban,77.01547619047619,76.68209268708569,87.18214285714286,41.65714285714286,79.78571428571429,67.675,94.16428571428571,91.62857142857143
H 50:50,clean,80.68571428571428,80.45584987530854,95.41785714285714,48.82142857142857,80.07142857142857,66.97142857142858,99.74642857142857,93.08571428571429
H 50:50,practical_high,80.26964285714286,79.99873685992313,91.51071428571429,43.27142857142857,82.65714285714286,70.84642857142858,98.91071428571429,94.42142857142858
H 50:50,practical_mid,77.95238095238095,77.71292027852988,88.79642857142858,42.628571428571426,79.81071428571428,66.83214285714286,95.64642857142857,94.0
H 50:50,practical_low_urban,53.26011904761905,52.797417950852235,57.55357142857143,24.55,50.59642857142857,49.28928571428571,50.635714285714286,86.93571428571428
H 50:50,practical_low_suburban,75.96369047619048,75.75028004782602,86.65714285714286,41.714285714285715,77.65,63.625,92.60357142857143,93.53214285714286
H 50:50,practical_mid_urban,64.1172619047619,63.75940012056899,71.40357142857142,31.160714285714285,64.05,55.982142857142854,70.94285714285714,91.16428571428571
H 50:50,practical_high_urban,77.0904761904762,76.78110034794764,87.31785714285714,41.17857142857143,78.74642857142857,67.49285714285715,93.89285714285714,93.91428571428571
H 75:25,clean,80.10952380952381,79.65636449679118,95.325,43.628571428571426,78.20714285714286,68.225,99.78928571428571,95.48214285714286
H 75:25,practical_high,80.00416666666666,79.60593498290687,91.78214285714286,41.75714285714286,81.86071428571428,70.11071428571428,98.83928571428571,95.675
H 75:25,practical_mid,77.5827380952381,77.20267487067011,89.40714285714286,41.79642857142857,78.83571428571429,65.01785714285714,95.52857142857142,94.91071428571429
H 75:25,practical_low_urban,52.420833333333334,52.402131466622635,59.128571428571426,41.925,46.52857142857143,31.192857142857143,50.15357142857143,85.59642857142858
H 75:25,practical_low_suburban,75.63333333333334,75.3374957918084,87.34285714285714,42.510714285714286,76.44642857142857,60.58571428571429,92.53214285714286,94.38214285714285
H 75:25,practical_mid_urban,63.37321428571428,62.9874727299062,74.00357142857143,37.06428571428572,61.417857142857144,46.04642857142857,70.62142857142857,91.08571428571429
H 75:25,practical_high_urban,76.68214285714286,76.2191974938344,87.89642857142857,40.38214285714286,77.6,65.76785714285714,93.61071428571428,94.83571428571429
M 25:75,clean,79.51904761904763,79.05422859191677,95.30357142857143,45.875,79.41071428571429,66.88214285714285,99.75,89.89285714285714
M 25:75,practical_high,79.90654761904761,79.61497139777856,91.3,43.54642857142857,82.91071428571429,70.38928571428572,98.86428571428571,92.42857142857143
M 25:75,practical_mid,77.625,77.35786110551265,88.86785714285715,43.082142857142856,80.00714285714285,66.02142857142857,95.63928571428572,92.13214285714285
M 25:75,practical_low_urban,53.66011904761905,53.22027342566295,64.44642857142857,29.057142857142857,51.82857142857143,40.246428571428574,50.17142857142857,86.21071428571429
M 25:75,practical_low_suburban,75.82261904761904,75.55434066591408,87.16071428571429,42.47857142857143,78.18571428571428,62.71071428571429,92.725,91.675
M 25:75,practical_mid_urban,64.17142857142858,63.82666676354766,74.05,34.121428571428574,64.7,51.52142857142857,70.53571428571429,90.1
M 25:75,practical_high_urban,76.83511904761905,76.52239891544355,87.53214285714286,42.017857142857146,78.95357142857142,66.54285714285714,93.81071428571428,92.15357142857142
M 50:50,clean,79.14226190476191,78.74006340648313,94.81785714285714,43.082142857142856,78.85,67.26428571428572,99.78214285714286,91.05714285714286
M 50:50,practical_high,80.20178571428572,79.8697399892761,90.92142857142858,41.21785714285714,83.69642857142857,71.55,98.99285714285715,94.83214285714286
M 50:50,practical_mid,77.88571428571429,77.56646127085929,88.52142857142857,40.910714285714285,80.67857142857143,67.15,95.82142857142857,94.23214285714286
M 50:50,practical_low_urban,53.70892857142857,53.40916085786558,64.37142857142857,33.839285714285715,50.14642857142857,35.55714285714286,51.97142857142857,86.36785714285715
M 50:50,practical_low_suburban,76.07738095238095,75.78032132348214,86.96428571428571,40.753571428571426,78.56428571428572,63.457142857142856,93.075,93.65
M 50:50,practical_mid_urban,64.29047619047618,63.89591960591715,75.16785714285714,34.97142857142857,63.67142857142857,49.03214285714286,71.78214285714286,91.11785714285715
M 50:50,practical_high_urban,76.95297619047619,76.60202449944123,87.06785714285714,40.09285714285714,79.375,67.07857142857142,94.0,94.10357142857143
M 75:25,clean,80.30059523809524,79.85058968447204,94.79285714285714,44.339285714285715,81.40357142857142,67.91428571428571,99.75,93.60357142857143
M 75:25,practical_high,80.30535714285715,80.05083136488508,90.59285714285714,43.82142857142857,83.87142857142857,71.0,98.95714285714286,93.58928571428571
M 75:25,practical_mid,78.01845238095238,77.77864731528571,88.175,43.47857142857143,81.07857142857142,66.47142857142858,95.7,93.20714285714286
M 75:25,practical_low_urban,53.10178571428571,52.87074936837172,60.99285714285714,33.707142857142856,51.54642857142857,36.93214285714286,50.52857142857143,84.90357142857142
M 75:25,practical_low_suburban,76.15654761904761,75.93793539626539,86.375,43.260714285714286,79.06428571428572,62.60357142857143,92.83928571428571,92.79642857142858
M 75:25,practical_mid_urban,63.892857142857146,63.51953717445268,73.11428571428571,34.74285714285714,64.78928571428571,50.121428571428574,70.55,90.03928571428571
M 75:25,practical_high_urban,76.99821428571428,76.69640166135213,86.64642857142857,42.075,79.73571428571428,66.96428571428571,93.67857142857143,92.88928571428572
Original recipe,clean,79.25059523809524,78.75325526231497,95.725,43.57142857142857,78.31785714285714,66.50357142857143,99.775,91.61071428571428
Original recipe,practical_high,80.17619047619047,79.84387765423327,91.28571428571429,42.417857142857144,82.50357142857143,70.41071428571429,98.93571428571428,95.50357142857143
Original recipe,practical_mid,77.86666666666666,77.58635906818873,88.73214285714286,42.27142857142857,79.27142857142857,66.36785714285715,95.72142857142858,94.83571428571429
Original recipe,practical_low_urban,53.20059523809524,52.968324334813566,60.82142857142857,28.65714285714286,48.07142857142857,44.34642857142857,50.72857142857143,86.57857142857142
Original recipe,practical_low_suburban,75.98630952380952,75.7373292329067,86.85,41.84285714285714,77.10714285714286,62.864285714285714,92.92142857142858,94.33214285714286
Original recipe,practical_mid_urban,63.92797619047619,63.635166344989834,73.06785714285714,33.63214285714286,61.93928571428572,52.21785714285714,71.02857142857142,91.68214285714286
Original recipe,practical_high_urban,76.91130952380952,76.56199421702405,87.25357142857143,40.857142857142854,78.09642857142858,66.5,93.92142857142858,94.83928571428571
