row,epoch,epoch_seconds,source_val_accuracy_percent,loss,daot_labeled,daot_unlabeled,native_daot_total
M00,1,19.30700065335259,23.01851851851852,16.86753378109056,,,
M00,2,19.73954565776512,42.72222222222222,16.193878193290868,,,
M00,3,21.23216805420816,58.38148148148148,14.778681696677694,,,
M00,4,30.09183369576931,76.02222222222223,12.46387259814204,,,
M00,5,29.75701848231256,79.92222222222222,11.626846897358798,,,
M00,6,27.654669816605747,86.3,9.992284054658851,,,
M00,7,29.646840232424438,87.51851851851852,9.084340922686518,,,
M00,8,30.691482790745795,88.75925925925927,8.215843911073646,,,
M00,9,30.867220554035157,89.91481481481482,8.207500623196971,,,
M00,10,27.70506272604689,90.77407407407408,7.909392726664641,,,
M00,11,30.518588843755424,90.84814814814814,7.356097182449029,,,
M00,12,35.23183601535857,91.78148148148149,6.680847878358802,,,
M00,13,31.793654690030962,91.82962962962962,7.263286084544902,,,
M00,14,35.57666568784043,92.63703703703705,6.726616110120501,,,
M00,15,36.26754672592506,92.75555555555556,8.432954087549327,,,
M00,16,32.61239260202274,92.55555555555556,7.887961845008695,,,
M00,17,38.88200810691342,93.2962962962963,7.2944077180356395,,,
M00,18,38.57415567804128,93.37037037037037,7.2444557948988315,,,
M00,19,35.25735385902226,94.12592592592593,7.6948946933357085,,,
M00,20,53.35985816223547,94.15185185185186,7.316157477242606,,,
M00,21,49.595449627842754,94.00740740740741,7.588441654127472,,,
M00,22,52.83671702677384,93.9037037037037,7.362990865902025,,,
M00,23,49.75196754839271,94.53703703703704,7.356255059339563,,,
M00,24,52.270934589672834,94.42222222222222,7.550306699713882,,,
M00,25,51.435990415047854,94.57777777777778,5.748187040796085,,,
M00,26,54.48287936812267,94.17777777777778,6.569928178981859,,,
M00,27,52.893627007026225,95.08148148148148,6.400458953818497,,,
M00,28,53.61242892872542,94.43703703703704,6.619889896743151,,,
M00,29,53.18214902607724,95.16666666666667,5.874916772453153,,,
M00,30,51.44102280493826,94.89259259259259,5.714915640500127,,,
M00,31,53.355516971088946,93.7074074074074,5.326251652775978,,,
M00,32,52.11576582118869,95.43703703703704,7.254107937520864,,,
M00,33,54.675728807691485,94.63333333333334,5.817754764946139,,,
M00,34,52.64797283615917,95.2074074074074,6.273668926589343,,,
M00,35,54.79462949791923,95.55555555555556,6.863174419013822,,,
M00,36,55.58300852635875,95.60740740740741,6.899525744574411,,,
M00,37,52.20627823192626,95.61111111111111,5.687459318005309,,,
M00,38,56.17628045193851,95.19259259259259,5.707160034958197,,,
M00,39,54.48769168369472,95.81111111111112,6.28873762305902,,,
M00,40,52.99813449429348,96.14444444444445,6.838925887127312,,,
M00,41,55.238112945109606,95.5962962962963,5.264366923546304,,,
M00,42,52.415613336954266,96.12222222222222,5.3509335469226444,,,
M00,43,56.078831096645445,96.1037037037037,6.080213517558818,,,
M00,44,54.81288690306246,96.2074074074074,5.889230119938753,,,
M00,45,54.67963026603684,96.07777777777777,5.5084355607324715,,,
M00,46,57.087415400892496,95.88518518518518,5.842339977926137,,,
M00,47,55.87282030843198,96.47037037037038,5.74571427033872,,,
M00,48,58.173826260026544,96.39629629629628,6.140415405740543,,,
M00,49,57.250017911661416,96.17777777777778,5.298966159625929,,,
M00,50,55.051356428302824,96.29629629629629,5.516141361119796,,,
M00,51,58.261569442693144,96.1962962962963,6.449534153451725,,,
M00,52,59.40087430132553,96.5,6.113743558221934,,,
M00,53,54.45229936297983,96.22222222222221,5.69941148952562,,,
M00,54,56.928075240924954,96.42962962962963,5.502198769121754,,,
M00,55,58.173042328096926,96.45925925925926,5.948159431924625,,,
M00,56,57.58647838560864,96.61481481481482,5.331214895053786,,,
M00,57,52.8587416713126,96.66296296296296,5.901829315691578,,,
M00,58,59.46020837593824,97.15925925925926,5.188866912102212,,,
M00,59,59.52957442170009,96.65555555555555,6.037366745423298,,,
M00,60,59.86841080337763,96.2037037037037,6.039074007345706,,,
M00,61,59.14957778668031,94.88888888888889,5.5276177270071845,,,
M00,62,55.401129375211895,96.11481481481482,4.637198764450696,,,
M00,63,59.05672362912446,97.01111111111112,5.521748781204224,,,
M00,64,59.96893048705533,97.17777777777778,5.619933211073583,,,
M00,65,58.94849425368011,95.67407407407408,6.719556239186501,,,
M00,66,57.837196298874915,97.25185185185185,5.598445882602614,,,
M00,67,59.242191058117896,96.83703703703704,6.720537959312906,,,
M00,68,59.16797418426722,97.16666666666667,4.520970446722848,,,
M00,69,58.96843034075573,96.30740740740741,5.785860387646422,,,
M00,70,59.1982052680105,97.4037037037037,5.403065272739956,,,
M00,71,54.816631278023124,97.22222222222221,6.420534158239559,,,
M00,72,59.26807001326233,97.32592592592593,5.6957390648978095,,,
M00,73,58.77460867865011,97.58518518518518,5.426068992030864,,,
M00,74,59.412079833913594,97.35555555555555,5.506863939518831,,,
M00,75,59.79640018334612,97.34814814814816,5.559508766446795,,,
M00,76,55.10995604796335,97.31111111111112,5.856052247845397,,,
M00,77,59.526974856853485,97.6148148148148,5.476549931934902,,,
M00,78,59.80865478422493,97.1962962962963,5.145780826101498,,,
M00,79,59.28913611499593,97.08518518518518,5.470856651967885,,,
M00,80,59.21005693078041,97.36666666666667,8.887078655009367,,,
M00,81,56.55315882898867,97.54814814814814,9.458588298486204,,,
M00,82,59.61346247326583,97.4148148148148,8.977513566309092,,,
M00,83,59.25831480883062,97.71111111111111,9.072849030397377,,,
M00,84,59.477208371739835,96.1962962962963,9.55171386563048,,,
M00,85,56.188827824313194,97.41851851851851,9.1826401729973,,,
M00,86,58.40870452905074,97.0,8.676025614446523,,,
M00,87,58.448210110887885,97.32222222222222,7.851882302031225,,,
M00,88,57.8928741668351,97.00740740740741,8.769358985278071,,,
M00,89,58.69158209627494,97.6962962962963,9.28118862424578,,,
M00,90,58.131849403027445,97.71111111111111,9.56272707180101,,,
M00,91,54.024258877616376,97.60740740740741,9.749922460439254,,,
M00,92,58.433350490406156,97.57037037037037,9.337860418825734,,,
M00,93,58.41717832162976,97.51481481481481,8.809515923869853,,,
M00,94,59.62454363703728,97.4148148148148,8.755747415581528,,,
M00,95,59.79495325637981,97.68518518518519,8.61328126946274,,,
M00,96,53.88547662459314,97.52592592592593,8.264030008899923,,,
M00,97,60.264020779170096,97.63333333333334,8.753139855910321,,,
M00,98,60.17389450687915,97.21851851851852,9.222323612290985,,,
M00,99,58.928437990136445,97.9074074074074,9.531760050325978,,,
M00,100,59.26949257683009,97.7,7.915866336044,,,
M00,101,55.04033763008192,97.29629629629629,8.374942906048833,,,
M00,102,58.44216154422611,97.47777777777777,8.576751738178487,,,
M00,103,58.79283965006471,97.83333333333334,9.368246273118622,,,
M00,104,58.87896545464173,97.39999999999999,7.942731283148941,,,
M00,105,58.92465981235728,97.35185185185186,8.997566446966054,,,
M00,106,54.364232434891164,97.76666666666667,8.897049874675517,,,
M00,107,60.38094686996192,97.88888888888889,8.113951663581693,,,
M00,108,59.77641789475456,97.74814814814815,8.235710085654745,,,
M00,109,60.1711609470658,97.73333333333333,8.129333739378014,,,
M00,110,59.42436912516132,98.02592592592593,8.264422465343864,,,
M00,111,57.638313421048224,97.75555555555555,7.818222221063108,,,
M00,112,58.852354175876826,98.01851851851852,8.127346262639882,,,
M00,113,58.93783273594454,97.65185185185186,7.741506216477375,,,
M00,114,59.13755636010319,97.74444444444444,7.562703259137212,,,
M00,115,56.86601266078651,96.71851851851852,7.432215554373605,,,
M00,116,60.11193939996883,97.9037037037037,8.611990169602997,,,
M00,117,60.071554717142135,97.06666666666666,7.548541575062032,,,
M00,118,59.78408860927448,97.43703703703703,7.787735578965168,,,
M00,119,59.91874980088323,97.22592592592592,7.551574502672468,,,
M00,120,54.89616661099717,98.02222222222223,7.272827858827552,,,
M00,121,58.881701291073114,97.67407407407407,7.080820823202328,,,
M00,122,59.08917642664164,97.80740740740741,8.049029194578832,,,
M00,123,58.64811374526471,97.89999999999999,7.7292891229902,,,
M00,124,57.78952294308692,96.54814814814814,7.445498135625099,,,
M00,125,55.179296504706144,97.92222222222222,7.368953568594796,,,
M00,126,59.16609387937933,97.89999999999999,7.497674085655991,,,
M00,127,57.75736843096092,97.78888888888889,7.5872936346093,,,
M00,128,59.14449440361932,97.71851851851852,8.612356039942528,,,
M00,129,58.48045417340472,97.3962962962963,8.367838645467954,,,
M00,130,54.6175749739632,97.89259259259259,7.404164985734589,,,
M00,131,76.92457751976326,97.97407407407407,6.685406684875488,,,
