candidate,scene,group,value,rows,correct,closed_accuracy,accepted,coverage,accepted_correct,accepted_accuracy
A0,clean,RX_TX,11:4,4000,3999,0.99975,4000,1.0,3999,0.99975
A0,clean,RX_TX,11:5,4000,3993,0.99825,3977,0.99425,3975,0.9994971083731455
A1,clean,all,all,168000,127861,0.761077380952381,149545,0.8901488095238095,120408,0.8051623257213548
A1,clean,TX,0,28000,25100,0.8964285714285715,26521,0.9471785714285714,24347,0.9180272237095132
A1,clean,TX,1,28000,15406,0.5502142857142858,24634,0.8797857142857143,13795,0.5599983762279775
A1,clean,TX,2,28000,16201,0.5786071428571429,19608,0.7002857142857143,13327,0.679671562627499
A1,clean,TX,3,28000,17930,0.6403571428571428,26104,0.9322857142857143,17249,0.6607799570946982
A1,clean,TX,4,28000,27960,0.9985714285714286,27946,0.9980714285714286,27928,0.9993559006655693
A1,clean,TX,5,28000,25264,0.9022857142857142,24732,0.8832857142857143,23762,0.9607795568494258
A1,clean,RX,0,24000,19551,0.814625,22166,0.9235833333333333,18763,0.8464765857619778
A1,clean,RX,2,24000,15065,0.6277083333333333,20793,0.866375,13851,0.6661376424758332
A1,clean,RX,5,24000,20197,0.8415416666666666,21908,0.9128333333333334,19127,0.873060069381048
A1,clean,RX,7,24000,16945,0.7060416666666667,21810,0.90875,16217,0.7435580009170105
A1,clean,RX,9,24000,18264,0.761,19555,0.8147916666666667,16509,0.8442342111991818
A1,clean,RX,10,24000,19118,0.7965833333333333,21528,0.897,18005,0.836352657004831
A1,clean,RX,11,24000,18721,0.7800416666666666,21785,0.9077083333333333,17936,0.8233187973376176
A1,clean,day,0,42000,31193,0.7426904761904762,37725,0.8982142857142857,29573,0.7839098740888005
A1,clean,day,1,42000,33537,0.7985,38144,0.9081904761904762,31678,0.8304844798657718
A1,clean,day,2,42000,30329,0.7221190476190477,36697,0.8737380952380952,28396,0.7737962231245061
A1,clean,day,3,42000,32802,0.781,36979,0.880452380952381,30761,0.8318505097487763
A1,clean,RX_TX,0:0,4000,3964,0.991,3952,0.988,3936,0.9959514170040485
A1,clean,RX_TX,0:1,4000,1175,0.29375,3703,0.92575,1034,0.27923305428031325
A1,clean,RX_TX,0:2,4000,2923,0.73075,3104,0.776,2609,0.8405283505154639
A1,clean,RX_TX,0:3,4000,3809,0.95225,3849,0.96225,3747,0.9734996102883866
A1,clean,RX_TX,0:4,4000,3986,0.9965,3981,0.99525,3977,0.9989952273298166
A1,clean,RX_TX,0:5,4000,3694,0.9235,3577,0.89425,3460,0.9672910259994408
A1,clean,RX_TX,2:0,4000,3504,0.876,3628,0.907,3307,0.9115214994487321
A1,clean,RX_TX,2:1,4000,2451,0.61275,3441,0.86025,2230,0.6480674222609707
A1,clean,RX_TX,2:2,4000,1241,0.31025,2378,0.5945,733,0.308242220353238
A1,clean,RX_TX,2:3,4000,75,0.01875,3762,0.9405,40,0.01063264221158958
A1,clean,RX_TX,2:4,4000,3996,0.999,3997,0.99925,3995,0.9994996247185389
A1,clean,RX_TX,2:5,4000,3798,0.9495,3587,0.89675,3546,0.9885698355171453
A1,clean,RX_TX,5:0,4000,3153,0.78825,3601,0.90025,2977,0.8267148014440433
A1,clean,RX_TX,5:1,4000,2547,0.63675,3407,0.85175,2226,0.65336072791312
A1,clean,RX_TX,5:2,4000,3481,0.87025,3250,0.8125,3061,0.9418461538461539
A1,clean,RX_TX,5:3,4000,3046,0.7615,3682,0.9205,2905,0.7889733840304183
A1,clean,RX_TX,5:4,4000,3997,0.99925,3998,0.9995,3997,0.9997498749374687
A1,clean,RX_TX,5:5,4000,3973,0.99325,3970,0.9925,3961,0.9977329974811083
A1,clean,RX_TX,7:0,4000,3597,0.89925,3712,0.928,3439,0.9264547413793104
A1,clean,RX_TX,7:1,4000,2435,0.60875,3712,0.928,2296,0.6185344827586207
A1,clean,RX_TX,7:2,4000,1909,0.47725,2913,0.72825,1725,0.592173017507724
A1,clean,RX_TX,7:3,4000,1628,0.407,3763,0.94075,1508,0.4007440871644964
A1,clean,RX_TX,7:4,4000,3985,0.99625,3970,0.9925,3963,0.9982367758186398
A1,clean,RX_TX,7:5,4000,3391,0.84775,3740,0.935,3286,0.8786096256684492
A1,clean,RX_TX,9:0,4000,3432,0.858,3903,0.97575,3376,0.8649756597489111
A1,clean,RX_TX,9:1,4000,1974,0.4935,3450,0.8625,1716,0.4973913043478261
A1,clean,RX_TX,9:2,4000,2490,0.6225,2377,0.59425,1960,0.8245687841817417
A1,clean,RX_TX,9:3,4000,3943,0.98575,3937,0.98425,3916,0.9946659893319787
A1,clean,RX_TX,9:4,4000,3998,0.9995,4000,1.0,3998,0.9995
A1,clean,RX_TX,9:5,4000,2427,0.60675,1888,0.472,1543,0.8172669491525424
A1,clean,RX_TX,10:0,4000,3985,0.99625,3980,0.995,3971,0.9977386934673367
A1,clean,RX_TX,10:1,4000,2717,0.67925,3427,0.85675,2431,0.7093667931135104
A1,clean,RX_TX,10:2,4000,2967,0.74175,3010,0.7525,2447,0.8129568106312293
A1,clean,RX_TX,10:3,4000,1462,0.3655,3130,0.7825,1178,0.37635782747603835
A1,clean,RX_TX,10:4,4000,3999,0.99975,4000,1.0,3999,0.99975
A1,clean,RX_TX,10:5,4000,3988,0.997,3981,0.99525,3979,0.9994976136649083
A1,clean,RX_TX,11:0,4000,3465,0.86625,3745,0.93625,3341,0.8921228304405875
A1,clean,RX_TX,11:1,4000,2107,0.52675,3494,0.8735,1862,0.5329135661133372
A1,clean,RX_TX,11:2,4000,1190,0.2975,2576,0.644,792,0.30745341614906835
A1,clean,RX_TX,11:3,4000,3967,0.99175,3981,0.99525,3955,0.993468977643808
A1,clean,RX_TX,11:4,4000,3999,0.99975,4000,1.0,3999,0.99975
A1,clean,RX_TX,11:5,4000,3993,0.99825,3989,0.99725,3987,0.9994986212083229
A2,clean,all,all,168000,127531,0.7591130952380952,149633,0.8906726190476191,120702,0.8066536125052629
A2,clean,TX,0,28000,25124,0.8972857142857142,26929,0.96175,24617,0.9141446024731702
A2,clean,TX,1,28000,14995,0.5355357142857143,24919,0.8899642857142858,13414,0.5383041053011758
A2,clean,TX,2,28000,16260,0.5807142857142857,20270,0.7239285714285715,14418,0.7112974839664529
A2,clean,TX,3,28000,18080,0.6457142857142857,26382,0.9422142857142857,17521,0.6641270563262831
A2,clean,TX,4,28000,27949,0.9981785714285715,27818,0.9935,27798,0.9992810410525559
A2,clean,TX,5,28000,25123,0.89725,23315,0.8326785714285714,22934,0.9836585888912717
