feature_npz,candidate,domain,variant,shots,target_old_support_per_tx,target_old_query_per_tx,query_per_tx,old_acc,old_coverage,seen_new_acc,seen_new_coverage,known_acc,known_coverage,coverage,unknown_far,unknown_reject,full_acc,accepted_known_acc,no_reject_old_acc,no_reject_seen_new_acc,no_reject_known_acc,no_reject_full_acc,old_n,seen_new_n,unknown_n,known_n,total_n,accepted_n,accepted_old_n,accepted_seen_new_n,accepted_unknown_n,old_correct_n,seen_new_correct_n,known_correct_n,component_mode,max_components_per_class,radius_quantile,energy_quantile,energy_slack,old_new_margin,top2_margin
/home/szu2070436088/2510044040/CV-SincNet/runs/stage2_opgac_jrefc9_unknown_alt_20260701_1126/3-19/features.npz,3-19,3-19,opgac_strict,10,10,50,30,0.5366666666666666,0.93,0.0,0.9166666666666666,0.44722222222222224,0.9277777777777778,0.930952380952381,0.95,0.05,0.3904761904761905,0.4820359281437126,0.30666666666666664,0.6833333333333333,0.36944444444444446,0.31666666666666665,300,60,60,360,420,391,279,55,57,161,0,161,rx,4,0.99,0.99,0.25,0.1,0.02
/home/szu2070436088/2510044040/CV-SincNet/runs/stage2_opgac_jrefc9_unknown_alt_20260701_1126/3-19/features.npz,3-19,3-19,opgac_confirm_new,10,10,50,30,0.44333333333333336,0.9366666666666666,0.5166666666666667,0.9,0.45555555555555555,0.9305555555555556,0.9261904761904762,0.9,0.1,0.40476190476190477,0.48955223880597015,0.30666666666666664,0.6833333333333333,0.36944444444444446,0.31666666666666665,300,60,60,360,420,389,281,54,54,133,31,164,rx,4,0.99,0.99,0.25,0.1,0.02
/home/szu2070436088/2510044040/CV-SincNet/runs/stage2_opgac_jrefc9_unknown_alt_20260701_1126/7-14/features.npz,7-14,7-14,opgac_strict,10,10,50,30,0.74,0.93,0.0,0.9166666666666666,0.6166666666666667,0.9277777777777778,0.9357142857142857,0.9833333333333333,0.016666666666666666,0.530952380952381,0.6646706586826348,0.6066666666666667,0.43333333333333335,0.5777777777777777,0.49523809523809526,300,60,60,360,420,393,279,55,59,222,0,222,rx,4,0.99,0.99,0.25,0.1,0.02
/home/szu2070436088/2510044040/CV-SincNet/runs/stage2_opgac_jrefc9_unknown_alt_20260701_1126/7-14/features.npz,7-14,7-14,opgac_confirm_new,10,10,50,30,0.7133333333333334,0.9233333333333333,0.3333333333333333,0.9333333333333333,0.65,0.925,0.9261904761904762,0.9333333333333333,0.06666666666666667,0.5666666666666667,0.7027027027027027,0.6066666666666667,0.43333333333333335,0.5777777777777777,0.49523809523809526,300,60,60,360,420,389,277,56,56,214,20,234,rx,4,0.99,0.99,0.25,0.1,0.02
/home/szu2070436088/2510044040/CV-SincNet/runs/stage2_opgac_jrefc9_unknown_alt_20260701_1126/7-7/features.npz,7-7,7-7,opgac_strict,10,10,50,30,0.7266666666666667,0.9066666666666666,0.0,0.8833333333333333,0.6055555555555555,0.9027777777777778,0.8976190476190476,0.8666666666666667,0.13333333333333333,0.5380952380952381,0.6707692307692308,0.5733333333333334,0.4166666666666667,0.5472222222222223,0.46904761904761905,300,60,60,360,420,377,272,53,52,218,0,218,rx,4,0.99,0.99,0.25,0.1,0.02
/home/szu2070436088/2510044040/CV-SincNet/runs/stage2_opgac_jrefc9_unknown_alt_20260701_1126/7-7/features.npz,7-7,7-7,opgac_confirm_new,10,10,50,30,0.6866666666666666,0.9233333333333333,0.35,0.95,0.6305555555555555,0.9277777777777778,0.9238095238095239,0.9,0.1,0.5547619047619048,0.6796407185628742,0.5733333333333334,0.4166666666666667,0.5472222222222223,0.46904761904761905,300,60,60,360,420,388,277,57,54,206,21,227,rx,4,0.99,0.99,0.25,0.1,0.02
/home/szu2070436088/2510044040/CV-SincNet/runs/stage2_opgac_jrefc9_unknown_alt_20260701_1126/8-8/features.npz,8-8,8-8,opgac_strict,10,10,50,30,0.74,0.95,0.0,1.0,0.6166666666666667,0.9583333333333334,0.9642857142857143,1.0,0.0,0.5285714285714286,0.6434782608695652,0.7333333333333333,0.15,0.6361111111111111,0.5452380952380952,300,60,60,360,420,405,285,60,60,222,0,222,rx,4,0.99,0.99,0.25,0.1,0.02
/home/szu2070436088/2510044040/CV-SincNet/runs/stage2_opgac_jrefc9_unknown_alt_20260701_1126/8-8/features.npz,8-8,8-8,opgac_confirm_new,10,10,50,30,0.7266666666666667,0.95,0.08333333333333333,1.0,0.6194444444444445,0.9583333333333334,0.9571428571428572,0.95,0.05,0.5380952380952381,0.6463768115942029,0.7333333333333333,0.15,0.6361111111111111,0.5452380952380952,300,60,60,360,420,402,285,60,57,218,5,223,rx,4,0.99,0.99,0.25,0.1,0.02
