scenario,new_class_count,old_acc_delta,seen_new_acc_delta,H_old_new_delta,registered_acc_delta,registered_nll_delta,registered_ece10_delta
leo_clear_weak,1,0.0,0.0,0.0,0.0,0.0004286390866050649,0.0002918747737450378
leo_clear_weak,2,-0.04166666666666674,0.0,-0.022985863693828268,-0.03125,0.0003589504932622889,-0.02902052890759066
leo_clear_weak,3,0.0,0.0,0.0,0.0,-0.0005321048383000182,0.00023136329578987702
leo_clear_weak,5,0.008333333333333304,0.0,0.004339655720280944,0.004545454545454519,-0.0003833299785092059,0.0049468042835367765
leo_clear_weak,10,0.0,0.0,0.0,0.0,-0.00023421713923355014,-0.0014928986192345173
leo_clear_weak,15,0.0,0.0033333333333332993,0.001716790888137365,0.0023809523809523725,-0.0008211897041439098,0.002360256440764208
leo_clear_weak,20,0.0,0.0,0.0,0.0,-8.945354729306132e-05,0.00018086962071506285
leo_low_elev_weak,1,0.0,0.0,0.0,0.0,-0.0009164904848828481,-5.591234965179881e-05
leo_low_elev_weak,2,0.0,0.0,0.0,0.0,-0.0020357702260840327,-0.0003675270930158514
leo_low_elev_weak,3,0.0,0.0,0.0,0.0,-0.0017128576047893418,-0.0004261808468362105
leo_low_elev_weak,5,-0.008333333333333304,0.0,-0.004107932805143544,-0.004545454545454519,-0.0013740579215866244,-0.004803688753078017
leo_low_elev_weak,10,0.0,0.0,0.0,0.0,0.00052302600034837,0.0001757658938708606
leo_low_elev_weak,15,0.0,0.006666666666666599,0.0035842293906809264,0.004761904761904745,0.0009759207950519322,0.004992227154006268
leo_low_elev_weak,20,0.008333333333333304,-0.0024999999999999467,0.001955968228489313,0.0,0.00014500304730757918,7.686376660581695e-05
leo_rain_weak,1,0.0,-0.050000000000000044,-0.01938083898149856,-0.0071428571428572285,-0.00022933371835387462,-0.004398757568355838
leo_rain_weak,2,0.008333333333333304,0.0,0.005198222829801757,0.006249999999999978,-0.0016101645410835363,0.005316665798255293
leo_rain_weak,3,-0.008333333333333304,0.0,-0.004705192629815613,-0.005555555555555536,-0.0012899883719408312,-0.006078751420830142
leo_rain_weak,5,0.008333333333333304,0.0,0.0045569379946843735,0.004545454545454519,-0.0008060226879131882,0.004249829432217744
leo_rain_weak,10,0.0,0.0,0.0,0.0,0.0039147170011273325,0.0007455649411277632
leo_rain_weak,15,0.0,0.0,0.0,0.0,0.0033430001569745293,3.6977346530020494e-05
leo_rain_weak,20,-0.008333333333333415,0.0024999999999999467,-0.0022672023637374528,0.0,0.0020422913112208008,0.0004964305229570032
