scenario,new_class_count,state,class_role,class_id,accuracy,nll,query_rows
leo_clear_weak,3,DA0_REG1,new,7,1.0,0.6588265264860438,20
leo_clear_weak,3,DA0_REG1,new,8,0.8,1.4224529586639512,20
leo_clear_weak,3,DA1_REG1,old,0,0.9,0.8991905544210106,20
leo_clear_weak,3,DA1_REG1,old,1,1.0,1.1765982567127515,20
leo_clear_weak,3,DA1_REG1,old,2,0.75,1.2854008533450965,20
leo_clear_weak,3,DA1_REG1,old,3,0.75,1.2272046867058237,20
leo_clear_weak,3,DA1_REG1,old,4,0.9,1.1699438969166993,20
leo_clear_weak,3,DA1_REG1,old,5,1.0,0.5713315110025211,20
leo_clear_weak,3,DA1_REG1,new,6,1.0,1.05114239218589,20
leo_clear_weak,3,DA1_REG1,new,7,1.0,0.6608224428219427,20
leo_clear_weak,3,DA1_REG1,new,8,0.8,1.413527330744827,20
leo_clear_weak,5,DA0_REG0,old,0,0.95,0.8539410086650487,20
leo_clear_weak,5,DA0_REG0,old,1,1.0,0.9815603292647515,20
leo_clear_weak,5,DA0_REG0,old,2,0.8,1.0167887407949436,20
leo_clear_weak,5,DA0_REG0,old,3,0.8,0.9949297648140606,20
leo_clear_weak,5,DA0_REG0,old,4,0.95,0.8478624367908207,20
leo_clear_weak,5,DA0_REG0,old,5,0.95,0.5456164755828324,20
leo_clear_weak,5,DA1_REG0,old,0,0.95,0.8568342433430353,20
leo_clear_weak,5,DA1_REG0,old,1,1.0,0.9843446794376405,20
leo_clear_weak,5,DA1_REG0,old,2,0.8,1.0156754338400222,20
leo_clear_weak,5,DA1_REG0,old,3,0.8,0.9985180819715433,20
leo_clear_weak,5,DA1_REG0,old,4,0.95,0.8486954400060357,20
leo_clear_weak,5,DA1_REG0,old,5,0.95,0.5466749322288899,20
leo_clear_weak,5,DA0_REG1,old,0,0.9,1.0646410617255426,20
leo_clear_weak,5,DA0_REG1,old,1,0.85,1.4099974133084916,20
leo_clear_weak,5,DA0_REG1,old,2,0.7,1.355953314330725,20
leo_clear_weak,5,DA0_REG1,old,3,0.8,1.3283603635624088,20
leo_clear_weak,5,DA0_REG1,old,4,0.85,1.3731435564579302,20
leo_clear_weak,5,DA0_REG1,old,5,1.0,0.7400508928553832,20
leo_clear_weak,5,DA0_REG1,new,10,0.8,1.414980200325711,20
leo_clear_weak,5,DA0_REG1,new,6,1.0,1.2524550217170263,20
leo_clear_weak,5,DA0_REG1,new,7,1.0,0.6968016825522177,20
leo_clear_weak,5,DA0_REG1,new,8,0.75,1.6014721259251143,20
leo_clear_weak,5,DA0_REG1,new,9,0.9,1.4151134327583446,20
leo_clear_weak,5,DA1_REG1,old,0,0.9,1.0683462201099208,20
leo_clear_weak,5,DA1_REG1,old,1,0.85,1.4114912890680633,20
leo_clear_weak,5,DA1_REG1,old,2,0.75,1.3522808747305064,20
leo_clear_weak,5,DA1_REG1,old,3,0.8,1.329505444626709,20
leo_clear_weak,5,DA1_REG1,old,4,0.85,1.3727701431840178,20
leo_clear_weak,5,DA1_REG1,old,5,1.0,0.7425394699999827,20
leo_clear_weak,5,DA1_REG1,new,10,0.8,1.4130221449206357,20
leo_clear_weak,5,DA1_REG1,new,6,1.0,1.251646167441463,20
leo_clear_weak,5,DA1_REG1,new,7,1.0,0.6965505339172644,20
leo_clear_weak,5,DA1_REG1,new,8,0.75,1.593468832169545,20
leo_clear_weak,5,DA1_REG1,new,9,0.9,1.417131315587186,20
leo_clear_weak,10,DA0_REG0,old,0,0.95,0.8539410086650487,20
leo_clear_weak,10,DA0_REG0,old,1,1.0,0.9815603292647515,20
leo_clear_weak,10,DA0_REG0,old,2,0.8,1.0167887407949436,20
leo_clear_weak,10,DA0_REG0,old,3,0.8,0.9949297648140606,20
leo_clear_weak,10,DA0_REG0,old,4,0.95,0.8478624367908207,20
