scenario,new_class_count,effect,old_acc,old_ece10,old_floor,old_nll
leo_clear_weak,1,da_after_registration,0.0,0.000221120193124702,0.0,0.00022455274746724374
leo_clear_weak,1,da_before_registration,0.0,0.0005216442613562577,0.0,0.0016740096039865593
leo_clear_weak,1,interaction,0.0,-0.00030052406823155575,0.0,-0.0014494568565193156
leo_clear_weak,1,registration_with_da,0.0,0.01573266271092394,-0.050000000000000044,0.04766443175319324
leo_clear_weak,1,registration_without_da,0.0,0.016033186779155495,-0.050000000000000044,0.04911388860971255
leo_clear_weak,2,da_after_registration,-0.04166666666666674,-0.038704036175914946,-0.050000000000000044,0.0005221134885182721
leo_clear_weak,2,da_before_registration,0.0,0.0005216442613562577,0.0,0.0016740096039865593
leo_clear_weak,2,interaction,-0.04166666666666674,-0.039225680437271204,-0.050000000000000044,-0.0011518961154682872
leo_clear_weak,2,registration_with_da,-0.025000000000000022,0.013905553507597479,-0.050000000000000044,0.09868109301232908
leo_clear_weak,2,registration_without_da,0.01666666666666672,0.05313123394486868,0.0,0.09983298912779737
leo_clear_weak,3,da_after_registration,0.0,0.00019288465499001095,0.0,0.00036360274866198417
leo_clear_weak,3,da_before_registration,0.0,0.0005216442613562577,0.0,0.0016740096039865593
leo_clear_weak,3,interaction,0.0,-0.0003287596063662468,0.0,-0.0013104068553245751
leo_clear_weak,3,registration_with_da,-0.025000000000000022,0.040124175906992854,-0.050000000000000044,0.17982116361137634
leo_clear_weak,3,registration_without_da,-0.025000000000000022,0.0404529355133591,-0.050000000000000044,0.18113157046670092
leo_clear_weak,5,da_after_registration,0.008333333333333304,0.008999798217513844,0.050000000000000044,0.000797806579786231
leo_clear_weak,5,da_before_registration,0.0,0.0005216461125567284,0.0,0.0016740091524515277
leo_clear_weak,5,interaction,0.008333333333333304,0.008478152104957115,0.050000000000000044,-0.0008762025726652967
leo_clear_weak,5,registration_with_da,-0.050000000000000044,0.06358406569988201,-0.050000000000000044,0.33769843848200565
leo_clear_weak,5,registration_without_da,-0.05833333333333335,0.055105913594924893,-0.10000000000000009,0.33857464105467094
leo_clear_weak,10,da_after_registration,0.0,0.0001687881102857558,0.0,0.00020008537110327573
leo_clear_weak,10,da_before_registration,0.0,0.0005216461125567284,0.0,0.0016740091524515277
leo_clear_weak,10,interaction,0.0,-0.00035285800227097264,0.0,-0.001473923781348252
leo_clear_weak,10,registration_with_da,-0.09166666666666667,0.09155768261397995,-0.15000000000000002,0.6023590797041125
leo_clear_weak,10,registration_without_da,-0.09166666666666667,0.09191054061625092,-0.15000000000000002,0.6038330034854608
leo_clear_weak,15,da_after_registration,0.0,0.0015881707788621968,0.0,-0.0007060625435355572
leo_clear_weak,15,da_before_registration,0.0,0.0005216418944662404,0.0,0.001673999661846004
leo_clear_weak,15,interaction,0.0,0.0010665288843959564,0.0,-0.002380062205381561
leo_clear_weak,15,registration_with_da,-0.05833333333333335,0.17353224398071354,-0.10000000000000009,0.7991642269495707
leo_clear_weak,15,registration_without_da,-0.05833333333333335,0.17246571509631758,-0.10000000000000009,0.8015442891549522
leo_clear_weak,20,da_after_registration,0.0,0.00016604245747364743,0.0,0.00042757239759838583
leo_clear_weak,20,da_before_registration,0.0,0.0005216402273558463,0.0,0.0016740046786146712
leo_clear_weak,20,interaction,0.0,-0.0003555977698821988,0.0,-0.0012464322810162853
leo_clear_weak,20,registration_with_da,-0.06666666666666665,0.20339051529946017,-0.10000000000000009,1.0162218054466248
leo_clear_weak,20,registration_without_da,-0.06666666666666665,0.20374611306934237,-0.10000000000000009,1.017468237727641
leo_low_elev_weak,1,da_after_registration,0.0,-0.00013016044482466738,0.0,-0.001216243140620854
leo_low_elev_weak,1,da_before_registration,0.008333333333333304,0.0031388577443020593,-0.09999999999999998,-0.030163206726964598
leo_low_elev_weak,1,interaction,-0.008333333333333304,-0.0032690181891267267,0.09999999999999998,0.028946963586343744
leo_low_elev_weak,1,registration_with_da,-0.04999999999999993,-0.022416903421226264,-0.10000000000000009,0.11882633631228079
leo_low_elev_weak,1,registration_without_da,-0.04166666666666663,-0.019147885232099537,-0.20000000000000007,0.08987937272593705
leo_low_elev_weak,2,da_after_registration,0.0,-0.0004339989695527069,0.0,-0.0019624665269550867
leo_low_elev_weak,2,da_before_registration,0.008333333333333304,0.0031388577443020593,-0.09999999999999998,-0.030163206726964598
leo_low_elev_weak,2,interaction,-0.008333333333333304,-0.0035728567138547662,0.09999999999999998,0.02820074020000951
leo_low_elev_weak,2,registration_with_da,-0.07499999999999996,-0.01579056090471531,-0.10000000000000009,0.20080509256876722
leo_low_elev_weak,2,registration_without_da,-0.06666666666666665,-0.012217704190860545,-0.20000000000000007,0.1726043523687577
leo_low_elev_weak,3,da_after_registration,0.0,-0.0005176724660162502,0.0,-0.0018057256693415624
leo_low_elev_weak,3,da_before_registration,0.008333333333333304,0.0031388577443020593,-0.09999999999999998,-0.030163206726964598
leo_low_elev_weak,3,interaction,-0.008333333333333304,-0.0036565302103183095,0.09999999999999998,0.028357481057623035
leo_low_elev_weak,3,registration_with_da,-0.07499999999999996,0.02386252897028157,0.0,0.32681173828878607
leo_low_elev_weak,3,registration_without_da,-0.06666666666666665,0.02751905918059988,-0.09999999999999998,0.29845425723116303
leo_low_elev_weak,5,da_after_registration,-0.008333333333333304,-0.008644203748217338,0.0,-0.0015921284569335725
leo_low_elev_weak,5,da_before_registration,0.008333333333333304,0.0031388579192709876,-0.09999999999999998,-0.030163205967664752
leo_low_elev_weak,5,interaction,-0.016666666666666607,-0.011783061667488326,0.09999999999999998,0.02857107751073118
leo_low_elev_weak,5,registration_with_da,-0.1499999999999999,-0.010326686022230636,-0.20000000000000007,0.4915087523078432
leo_low_elev_weak,5,registration_without_da,-0.1333333333333333,0.0014563756452576904,-0.30000000000000004,0.462937674797112
leo_low_elev_weak,10,da_after_registration,0.0,0.00024335830334426545,0.0,-5.1462435278981644e-05
leo_low_elev_weak,10,da_before_registration,0.008333333333333304,0.0031388579192709876,-0.09999999999999998,-0.030163205967664752
leo_low_elev_weak,10,interaction,-0.008333333333333304,-0.002895499615926722,0.09999999999999998,0.03011174353238577
leo_low_elev_weak,10,registration_with_da,-0.21666666666666667,0.010188385730434568,-0.35000000000000003,0.8044676922625174
leo_low_elev_weak,10,registration_without_da,-0.20833333333333337,0.01308388534636129,-0.45,0.7743559487301316
leo_low_elev_weak,15,da_after_registration,0.0,0.0003416894861021369,0.0,0.0009328139564561688
leo_low_elev_weak,15,da_before_registration,0.008333333333333304,0.0031388636684165916,-0.09999999999999998,-0.03016319469983486
leo_low_elev_weak,15,interaction,-0.008333333333333304,-0.0027971741823144547,0.09999999999999998,0.03109600865629103
leo_low_elev_weak,15,registration_with_da,-0.19166666666666665,0.0866109159862643,-0.35000000000000003,1.015723157618248
leo_low_elev_weak,15,registration_without_da,-0.18333333333333335,0.08940809016857876,-0.45,0.9846271489619569
leo_low_elev_weak,20,da_after_registration,0.008333333333333304,0.00842057988309941,0.0,-4.7305597697278046e-05
leo_low_elev_weak,20,da_before_registration,0.008333333333333304,0.0031388572164554596,-0.09999999999999998,-0.030163209620200027
leo_low_elev_weak,20,interaction,0.0,0.005281722666643951,0.09999999999999998,0.03011590402250275
leo_low_elev_weak,20,registration_with_da,-0.19999999999999996,0.08796710513458172,-0.35000000000000003,1.1616861599895207
leo_low_elev_weak,20,registration_without_da,-0.19999999999999996,0.08268538246793777,-0.45,1.1315702559670178
leo_rain_weak,1,da_after_registration,0.0,0.0008413493959972818,0.0,-0.006715525469551453
leo_rain_weak,1,da_before_registration,-0.008333333333333304,-0.008522534977080776,0.0,-0.002975293002996038
leo_rain_weak,1,interaction,0.008333333333333304,0.009363884373078057,0.0,-0.0037402324665554154
leo_rain_weak,1,registration_with_da,-0.04999999999999993,-0.004108377550439968,-0.050000000000000044,0.11675105820318665
leo_rain_weak,1,registration_without_da,-0.05833333333333324,-0.013472261923518025,-0.050000000000000044,0.12049129066974207
leo_rain_weak,2,da_after_registration,0.008333333333333304,0.0075336487815262365,0.0,-0.0011825140900882936
leo_rain_weak,2,da_before_registration,-0.008333333333333304,-0.008522534977080776,0.0,-0.002975293002996038
leo_rain_weak,2,interaction,0.016666666666666607,0.016056183758607012,0.0,0.0017927789129077443
leo_rain_weak,2,registration_with_da,-0.04166666666666663,0.028756374232637272,-0.050000000000000044,0.18950404746516536
leo_rain_weak,2,registration_without_da,-0.05833333333333324,0.01270019047403026,-0.050000000000000044,0.18771126855225762
leo_rain_weak,3,da_after_registration,-0.008333333333333304,-0.008683977383671826,0.0,-0.0006218359327674339
leo_rain_weak,3,da_before_registration,-0.008333333333333304,-0.008522534977080776,0.0,-0.002975293002996038
leo_rain_weak,3,interaction,0.0,-0.00016144240659105025,0.0,0.002353457070228604
leo_rain_weak,3,registration_with_da,-0.04166666666666663,0.05634908761994517,0.04999999999999993,0.2768589531891473
leo_rain_weak,3,registration_without_da,-0.04166666666666663,0.05651053002653622,0.04999999999999993,0.2745054961189187
leo_rain_weak,5,da_after_registration,0.008333333333333304,0.008158708792587177,0.0,-0.00010464974241952696
leo_rain_weak,5,da_before_registration,-0.008333333333333304,-0.008522531955602763,0.0,-0.002975293694017167
leo_rain_weak,5,interaction,0.016666666666666607,0.01668124074818994,0.0,0.00287064395159764
leo_rain_weak,5,registration_with_da,-0.09166666666666667,0.04522738291587891,-0.10000000000000003,0.42774039770611016
leo_rain_weak,5,registration_without_da,-0.10833333333333328,0.02854614216768897,-0.10000000000000003,0.4248697537545125
leo_rain_weak,10,da_after_registration,0.0,0.0010313063434295167,0.0,0.004665633593399221
leo_rain_weak,10,da_before_registration,-0.008333333333333304,-0.008522531955602763,0.0,-0.002975293694017167
leo_rain_weak,10,interaction,0.008333333333333304,0.00955383829903228,0.0,0.007640927287416388
leo_rain_weak,10,registration_with_da,-0.1166666666666667,0.15836978560055187,-0.050000000000000044,0.9160632585844749
leo_rain_weak,10,registration_without_da,-0.125,0.1488159473015196,-0.050000000000000044,0.9084223312970585
leo_rain_weak,15,da_after_registration,0.0,0.0005085019289163828,0.0,0.003207554529693013
leo_rain_weak,15,da_before_registration,-0.008333333333333304,-0.008522532323423093,0.0,-0.0029752929173668674
leo_rain_weak,15,interaction,0.008333333333333304,0.009031034252339476,0.0,0.00618284744705988
leo_rain_weak,15,registration_with_da,-0.125,0.18383348052856996,-0.10000000000000003,1.123369404679552
leo_rain_weak,15,registration_without_da,-0.1333333333333333,0.17480244627623048,-0.10000000000000003,1.117186557232492
leo_rain_weak,20,da_after_registration,-0.008333333333333415,-0.00802919087725229,0.0,0.0021505679877869
leo_rain_weak,20,da_before_registration,-0.008333333333333304,-0.008522533510825603,0.0,-0.0029752976338008885
leo_rain_weak,20,interaction,-1.1102230246251565e-16,0.0004933426335733126,0.0,0.0051258656215877885
leo_rain_weak,20,registration_with_da,-0.15000000000000002,0.17573378548763263,-0.15000000000000002,1.2673136481487366
leo_rain_weak,20,registration_without_da,-0.1499999999999999,0.17524044285405932,-0.15000000000000002,1.2621877825271488
