scenario,method,state,role,class_id,accuracy,nll
leo_low_elev_weak,J2_R3,DA0_REG1,old,0,0.8,1.3053393333948853
leo_low_elev_weak,J2_R3,DA0_REG1,old,1,0.65,1.7204266380989814
leo_low_elev_weak,J2_R3,DA0_REG1,old,2,0.9,1.2527862359244237
leo_low_elev_weak,J2_R3,DA0_REG1,old,3,0.85,1.3165828425001898
leo_low_elev_weak,J2_R3,DA0_REG1,old,4,0.6,1.5923672330720995
leo_low_elev_weak,J2_R3,DA0_REG1,old,5,0.85,1.0736340349764006
leo_low_elev_weak,J2_R3,DA0_REG1,new,10,0.6,1.7376601937139522
leo_low_elev_weak,J2_R3,DA0_REG1,new,6,0.8,1.4039417820909497
leo_low_elev_weak,J2_R3,DA0_REG1,new,7,0.8,1.201414946295081
leo_low_elev_weak,J2_R3,DA0_REG1,new,8,0.8,1.4603818098964474
leo_low_elev_weak,J2_R3,DA0_REG1,new,9,0.8,1.5979088469967262
leo_low_elev_weak,J2_R3,DA1_REG1,old,0,0.8,1.3054643121852354
leo_low_elev_weak,J2_R3,DA1_REG1,old,1,0.65,1.7204343263467456
leo_low_elev_weak,J2_R3,DA1_REG1,old,2,0.9,1.2515704435878863
leo_low_elev_weak,J2_R3,DA1_REG1,old,3,0.85,1.3158384307081241
leo_low_elev_weak,J2_R3,DA1_REG1,old,4,0.6,1.592215565596605
leo_low_elev_weak,J2_R3,DA1_REG1,old,5,0.85,1.0731346682380238
leo_low_elev_weak,J2_R3,DA1_REG1,new,10,0.6,1.7373719769336682
leo_low_elev_weak,J2_R3,DA1_REG1,new,6,0.8,1.4035995461645858
leo_low_elev_weak,J2_R3,DA1_REG1,new,7,0.8,1.2020442371566595
leo_low_elev_weak,J2_R3,DA1_REG1,new,8,0.8,1.4602325636188658
leo_low_elev_weak,J2_R3,DA1_REG1,new,9,0.8,1.5976531284153903
leo_low_elev_weak,J3_R5D92_G,DA0_REG0,old,0,0.9,0.9121194272253534
leo_low_elev_weak,J3_R5D92_G,DA0_REG0,old,1,0.9,1.253395092928355
leo_low_elev_weak,J3_R5D92_G,DA0_REG0,old,2,0.95,0.8421395093194048
leo_low_elev_weak,J3_R5D92_G,DA0_REG0,old,3,0.9,0.8551755335239907
leo_low_elev_weak,J3_R5D92_G,DA0_REG0,old,4,0.9,0.972315637125065
leo_low_elev_weak,J3_R5D92_G,DA0_REG0,old,5,0.9,0.6471744712335195
leo_low_elev_weak,J3_R5D92_G,DA1_REG0,old,0,0.95,0.7606815150618444
leo_low_elev_weak,J3_R5D92_G,DA1_REG0,old,1,0.85,1.2131708306252862
leo_low_elev_weak,J3_R5D92_G,DA1_REG0,old,2,1.0,0.8619604110965444
leo_low_elev_weak,J3_R5D92_G,DA1_REG0,old,3,0.9,0.8939126149393373
leo_low_elev_weak,J3_R5D92_G,DA1_REG0,old,4,0.95,0.8888639596050842
leo_low_elev_weak,J3_R5D92_G,DA1_REG0,old,5,0.9,0.6571125136608743
leo_low_elev_weak,J3_R5D92_G,DA0_REG1,old,0,0.8,1.3053393333948853
leo_low_elev_weak,J3_R5D92_G,DA0_REG1,old,1,0.65,1.7204266380989814
leo_low_elev_weak,J3_R5D92_G,DA0_REG1,old,2,0.9,1.2527862359244237
leo_low_elev_weak,J3_R5D92_G,DA0_REG1,old,3,0.85,1.3165828425001898
leo_low_elev_weak,J3_R5D92_G,DA0_REG1,old,4,0.6,1.5923672330720995
leo_low_elev_weak,J3_R5D92_G,DA0_REG1,old,5,0.85,1.0736340349764006
leo_low_elev_weak,J3_R5D92_G,DA0_REG1,new,10,0.6,1.7376601937139522
leo_low_elev_weak,J3_R5D92_G,DA0_REG1,new,6,0.8,1.4039417820909497
leo_low_elev_weak,J3_R5D92_G,DA0_REG1,new,7,0.8,1.201414946295081
leo_low_elev_weak,J3_R5D92_G,DA0_REG1,new,8,0.8,1.4603818098964474
leo_low_elev_weak,J3_R5D92_G,DA0_REG1,new,9,0.8,1.5979088469967262
leo_low_elev_weak,J3_R5D92_G,DA1_REG1,old,0,0.8,1.3051785724648746
leo_low_elev_weak,J3_R5D92_G,DA1_REG1,old,1,0.65,1.7204061797386536
leo_low_elev_weak,J3_R5D92_G,DA1_REG1,old,2,0.9,1.2516717832957807
leo_low_elev_weak,J3_R5D92_G,DA1_REG1,old,3,0.85,1.3151138737270118
leo_low_elev_weak,J3_R5D92_G,DA1_REG1,old,4,0.6,1.592163737100225
leo_low_elev_weak,J3_R5D92_G,DA1_REG1,old,5,0.85,1.0725939989887623
leo_low_elev_weak,J3_R5D92_G,DA1_REG1,new,10,0.6,1.7365660947990424
leo_low_elev_weak,J3_R5D92_G,DA1_REG1,new,6,0.8,1.4032005680495399
leo_low_elev_weak,J3_R5D92_G,DA1_REG1,new,7,0.8,1.200352323042433
leo_low_elev_weak,J3_R5D92_G,DA1_REG1,new,8,0.8,1.4592195710884401
leo_low_elev_weak,J3_R5D92_G,DA1_REG1,new,9,0.8,1.5968661409476659
leo_rain_weak,J1_R0,DA0_REG0,old,0,0.55,1.1199796201518593
leo_rain_weak,J1_R0,DA0_REG0,old,1,0.85,1.1043422101168374
leo_rain_weak,J1_R0,DA0_REG0,old,2,0.85,0.969600478289163
leo_rain_weak,J1_R0,DA0_REG0,old,3,0.8,0.9686585344125038
leo_rain_weak,J1_R0,DA0_REG0,old,4,1.0,0.643531063379518
leo_rain_weak,J1_R0,DA0_REG0,old,5,0.9,0.6006611136683772
leo_rain_weak,J1_R0,DA1_REG0,old,0,0.55,1.1154049006680535
leo_rain_weak,J1_R0,DA1_REG0,old,1,0.85,1.0876870279638906
leo_rain_weak,J1_R0,DA1_REG0,old,2,0.85,0.9612173954715608
leo_rain_weak,J1_R0,DA1_REG0,old,3,0.75,0.9840564715390634
leo_rain_weak,J1_R0,DA1_REG0,old,4,1.0,0.6357004492144211
leo_rain_weak,J1_R0,DA1_REG0,old,5,0.9,0.6050171306948602
leo_rain_weak,J1_R0,DA0_REG1,old,0,0.45,1.496703616642795
leo_rain_weak,J1_R0,DA0_REG1,old,1,0.8,1.4895979251538836
leo_rain_weak,J1_R0,DA0_REG1,old,2,0.7,1.353591513833091
leo_rain_weak,J1_R0,DA0_REG1,old,3,0.65,1.3387824406353037
leo_rain_weak,J1_R0,DA0_REG1,old,4,0.75,1.5015127367721486
leo_rain_weak,J1_R0,DA0_REG1,old,5,0.95,0.7734294014920847
leo_rain_weak,J1_R0,DA0_REG1,new,10,0.7,1.3531671162026844
leo_rain_weak,J1_R0,DA0_REG1,new,6,1.0,1.2716560557393541
leo_rain_weak,J1_R0,DA0_REG1,new,7,1.0,1.0128284821323934
leo_rain_weak,J1_R0,DA0_REG1,new,8,0.65,1.6440777907662383
leo_rain_weak,J1_R0,DA0_REG1,new,9,0.6,1.6191773268205014
leo_rain_weak,J1_R0,DA1_REG1,old,0,0.45,1.4968604648839023
leo_rain_weak,J1_R0,DA1_REG1,old,1,0.8,1.4897189820133223
leo_rain_weak,J1_R0,DA1_REG1,old,2,0.7,1.3533529191051463
leo_rain_weak,J1_R0,DA1_REG1,old,3,0.65,1.3384275130324443
leo_rain_weak,J1_R0,DA1_REG1,old,4,0.75,1.5011286557205539
leo_rain_weak,J1_R0,DA1_REG1,old,5,0.95,0.7737520603237341
leo_rain_weak,J1_R0,DA1_REG1,new,10,0.7,1.3527479346219704
leo_rain_weak,J1_R0,DA1_REG1,new,6,1.0,1.272379176856914
leo_rain_weak,J1_R0,DA1_REG1,new,7,1.0,1.0104389915177012
leo_rain_weak,J1_R0,DA1_REG1,new,8,0.65,1.6439717537561946
leo_rain_weak,J1_R0,DA1_REG1,new,9,0.6,1.6192618788219373
leo_rain_weak,J2_R3,DA0_REG0,old,0,0.55,1.1199796201518593
leo_rain_weak,J2_R3,DA0_REG0,old,1,0.85,1.1043422101168374
leo_rain_weak,J2_R3,DA0_REG0,old,2,0.85,0.969600478289163
leo_rain_weak,J2_R3,DA0_REG0,old,3,0.8,0.9686585344125038
leo_rain_weak,J2_R3,DA0_REG0,old,4,1.0,0.643531063379518
leo_rain_weak,J2_R3,DA0_REG0,old,5,0.9,0.6006611136683772
leo_rain_weak,J2_R3,DA1_REG0,old,0,0.55,1.1153647682302055
leo_rain_weak,J2_R3,DA1_REG0,old,1,0.85,1.0873411525781336
leo_rain_weak,J2_R3,DA1_REG0,old,2,0.85,0.9619843014689616
leo_rain_weak,J2_R3,DA1_REG0,old,3,0.75,0.9843326537764542
leo_rain_weak,J2_R3,DA1_REG0,old,4,1.0,0.6365087116219531
