scenario,method,effect,old_acc,old_ece10,old_floor,old_nll
leo_clear_weak,J1_R0,da_after_registration,0.0,0.00019123030707002275,0.0,0.0004592589890082266
leo_clear_weak,J1_R0,da_before_registration,0.0,0.0005144558490061124,0.0,0.0013881180402951498
leo_clear_weak,J1_R0,interaction,0.0,-0.00032322554193608966,0.0,-0.0009288590512869233
leo_clear_weak,J1_R0,registration_with_da,-0.05833333333333335,0.054897125913280775,-0.10000000000000009,0.33773944885821017
leo_clear_weak,J1_R0,registration_without_da,-0.05833333333333335,0.055220351455216865,-0.10000000000000009,0.3386683079094971
leo_clear_weak,J2_R3,da_after_registration,0.0,0.00011962220107686328,0.0,0.00033696286557893806
leo_clear_weak,J2_R3,da_before_registration,0.0,0.0004871916918130492,0.0,0.0013113699953283264
leo_clear_weak,J2_R3,interaction,0.0,-0.00036756949073618594,0.0,-0.0009744071297493884
leo_clear_weak,J2_R3,registration_with_da,-0.05833333333333335,0.05485278196448068,-0.10000000000000009,0.3376939007797477
leo_clear_weak,J2_R3,registration_without_da,-0.05833333333333335,0.055220351455216865,-0.10000000000000009,0.3386683079094971
leo_clear_weak,J3_R5D92_G,da_after_registration,0.0,9.099305535886781e-05,0.0,0.0004211191478686871
leo_clear_weak,J3_R5D92_G,da_before_registration,0.0,0.0004419962253096599,0.0,0.0011682363178380228
leo_clear_weak,J3_R5D92_G,interaction,0.0,-0.00035100316995079206,0.0,-0.0007471171699693357
leo_clear_weak,J3_R5D92_G,registration_with_da,-0.05833333333333335,0.05486934828526607,-0.10000000000000009,0.33792119073952775
leo_clear_weak,J3_R5D92_G,registration_without_da,-0.05833333333333335,0.055220351455216865,-0.10000000000000009,0.3386683079094971
leo_low_elev_weak,J1_R0,da_after_registration,0.0,-0.0005483021894032158,0.0,-0.001412872872101456
leo_low_elev_weak,J1_R0,da_before_registration,-0.008333333333333304,-0.00857142153722068,-0.050000000000000044,-0.0003408035798604381
leo_low_elev_weak,J1_R0,interaction,0.008333333333333304,0.008023119347817464,0.050000000000000044,-0.001072069292241018
leo_low_elev_weak,J1_R0,registration_with_da,-0.125,0.009510483920942892,-0.25,0.46206403847630784
leo_low_elev_weak,J1_R0,registration_without_da,-0.1333333333333333,0.001487364573125427,-0.30000000000000004,0.46313610776854885
leo_low_elev_weak,J2_R3,da_after_registration,0.0,1.3517099344162453e-05,0.0,-0.00041309521739352206
leo_low_elev_weak,J2_R3,da_before_registration,0.0,-0.005812730488355233,-0.09999999999999998,-0.030172524895518693
leo_low_elev_weak,J2_R3,interaction,0.0,0.005826247587699396,0.09999999999999998,0.02975942967812517
leo_low_elev_weak,J2_R3,registration_with_da,-0.1333333333333333,0.007313612160824823,-0.20000000000000007,0.492895537446674
leo_low_elev_weak,J2_R3,registration_without_da,-0.1333333333333333,0.001487364573125427,-0.30000000000000004,0.46313610776854885
leo_low_elev_weak,J3_R5D92_G,da_after_registration,0.0,-0.0002722270421053885,0.0,-0.0006680287752787173
leo_low_elev_weak,J3_R5D92_G,da_before_registration,0.01666666666666672,0.009178410775456947,-0.050000000000000044,-0.03443630439445278
leo_low_elev_weak,J3_R5D92_G,interaction,-0.01666666666666672,-0.009450637817562335,0.050000000000000044,0.03376827561917406
leo_low_elev_weak,J3_R5D92_G,registration_with_da,-0.15000000000000002,-0.007963273244436908,-0.25,0.4969043833877229
leo_low_elev_weak,J3_R5D92_G,registration_without_da,-0.1333333333333333,0.001487364573125427,-0.30000000000000004,0.46313610776854885
leo_rain_weak,J1_R0,da_after_registration,0.0,4.163927939559997e-06,0.0,-6.283990836730702e-05
leo_rain_weak,J1_R0,da_before_registration,-0.008333333333333304,-0.008451474917652746,0.0,-0.0029482740777351246
leo_rain_weak,J1_R0,interaction,0.008333333333333304,0.008455638845592306,0.0,0.0028854341693678176
leo_rain_weak,J1_R0,registration_with_da,-0.09999999999999998,0.03703128941496958,-0.10000000000000003,0.42735953658787573
leo_rain_weak,J1_R0,registration_without_da,-0.10833333333333328,0.028575650569377276,-0.10000000000000003,0.4244741024185079
leo_rain_weak,J2_R3,da_after_registration,0.0,7.904343445802597e-05,0.0,0.00015276716449585948
leo_rain_weak,J2_R3,da_before_registration,-0.008333333333333304,-0.008229501264641614,0.0,-0.002610390958770581
leo_rain_weak,J2_R3,interaction,0.008333333333333304,0.00830854469909964,0.0,0.0027631581232664404
leo_rain_weak,J2_R3,registration_with_da,-0.09999999999999998,0.036884195268476916,-0.10000000000000003,0.42723726054177436
leo_rain_weak,J2_R3,registration_without_da,-0.10833333333333328,0.028575650569377276,-0.10000000000000003,0.4244741024185079
leo_rain_weak,J3_R5D92_G,da_after_registration,0.0,1.9657483696755573e-05,0.0,1.8335821017734233e-05
leo_rain_weak,J3_R5D92_G,da_before_registration,-0.008333333333333304,-0.00815004584235074,0.0,-0.002473757206327809
leo_rain_weak,J3_R5D92_G,interaction,0.008333333333333304,0.008169703326047495,0.0,0.0024920930273455433
leo_rain_weak,J3_R5D92_G,registration_with_da,-0.09999999999999998,0.03674535389542477,-0.10000000000000003,0.42696619544585346
leo_rain_weak,J3_R5D92_G,registration_without_da,-0.10833333333333328,0.028575650569377276,-0.10000000000000003,0.4244741024185079
