scenario,method,state,old_acc,old_floor,old_nll,old_ece10,new_acc,new_floor,H_old_new,registered_acc,registered_floor,registered_nll,registered_ece10
leo_clear_weak,J1_R0,DA0_REG0,0.9083333333333333,0.8,0.8733956533847945,0.4548119966761611,,,,0.9083333333333333,0.8,0.8733956533847945,0.4548119966761611
leo_clear_weak,J1_R0,DA1_REG0,0.9083333333333333,0.8,0.8747837714250897,0.45532645252516724,,,,0.9083333333333333,0.8,0.8747837714250897,0.45532645252516724
leo_clear_weak,J1_R0,DA0_REG1,0.85,0.7,1.2120639612942916,0.510032348131378,0.89,0.75,0.8695402298850574,0.8681818181818182,0.7,1.2416870185628561,0.5353578066740833
leo_clear_weak,J1_R0,DA1_REG1,0.85,0.7,1.2125232202832998,0.510223578438448,0.89,0.75,0.8695402298850574,0.8681818181818182,0.7,1.2421287275653066,0.5355609023721221
leo_clear_weak,J2_R3,DA0_REG0,0.9083333333333333,0.8,0.8733956533847945,0.4548119966761611,,,,0.9083333333333333,0.8,0.8733956533847945,0.4548119966761611
leo_clear_weak,J2_R3,DA1_REG0,0.9083333333333333,0.8,0.8747070233801229,0.4552991883679742,,,,0.9083333333333333,0.8,0.8747070233801229,0.4552991883679742
leo_clear_weak,J2_R3,DA0_REG1,0.85,0.7,1.2120639612942916,0.510032348131378,0.89,0.75,0.8695402298850574,0.8681818181818182,0.7,1.2416870185628561,0.5353578066740833
leo_clear_weak,J2_R3,DA1_REG1,0.85,0.7,1.2124009241598706,0.5101519703324549,0.89,0.75,0.8695402298850574,0.8681818181818182,0.7,1.2420341618146664,0.5355175012355153
leo_clear_weak,J3_R5D92_G,DA0_REG0,0.9083333333333333,0.8,0.8733956533847945,0.4548119966761611,,,,0.9083333333333333,0.8,0.8733956533847945,0.4548119966761611
leo_clear_weak,J3_R5D92_G,DA1_REG0,0.9083333333333333,0.8,0.8745638897026325,0.4552539929014708,,,,0.9083333333333333,0.8,0.8745638897026325,0.4552539929014708
leo_clear_weak,J3_R5D92_G,DA0_REG1,0.85,0.7,1.2120639612942916,0.510032348131378,0.89,0.75,0.8695402298850574,0.8681818181818182,0.7,1.2416870185628561,0.5353578066740833
leo_clear_weak,J3_R5D92_G,DA1_REG1,0.85,0.7,1.2124850804421603,0.5101233411867369,0.89,0.75,0.8695402298850574,0.8681818181818182,0.7,1.2421833036342675,0.5355097290115575
leo_low_elev_weak,J1_R0,DA0_REG0,0.9083333333333333,0.9,0.913719945225948,0.45335408503095864,,,,0.9083333333333333,0.9,0.913719945225948,0.45335408503095864
leo_low_elev_weak,J1_R0,DA1_REG0,0.9,0.85,0.9133791416460876,0.44478266349373796,,,,0.9,0.85,0.9133791416460876,0.44478266349373796
leo_low_elev_weak,J1_R0,DA0_REG1,0.775,0.6,1.3768560529944969,0.45484144960408407,0.76,0.6,0.7674267100977199,0.7681818181818182,0.6,1.4238585360872853,0.46409285424150004
leo_low_elev_weak,J1_R0,DA1_REG1,0.775,0.6,1.3754431801223954,0.45429314741468085,0.76,0.6,0.7674267100977199,0.7681818181818182,0.6,1.4223682800437019,0.4636891192387937
leo_low_elev_weak,J2_R3,DA0_REG0,0.9083333333333333,0.9,0.913719945225948,0.45335408503095864,,,,0.9083333333333333,0.9,0.913719945225948,0.45335408503095864
leo_low_elev_weak,J2_R3,DA1_REG0,0.9083333333333333,0.8,0.8835474203304293,0.4475413545426034,,,,0.9083333333333333,0.8,0.8835474203304293,0.4475413545426034
leo_low_elev_weak,J2_R3,DA0_REG1,0.775,0.6,1.3768560529944969,0.45484144960408407,0.76,0.6,0.7674267100977199,0.7681818181818182,0.6,1.4238585360872853,0.46409285424150004
leo_low_elev_weak,J2_R3,DA1_REG1,0.775,0.6,1.3764429577771033,0.45485496670342823,0.76,0.6,0.7674267100977199,0.7681818181818182,0.6,1.4235962908137991,0.46409667309961633
leo_low_elev_weak,J3_R5D92_G,DA0_REG0,0.9083333333333333,0.9,0.913719945225948,0.45335408503095864,,,,0.9083333333333333,0.9,0.913719945225948,0.45335408503095864
leo_low_elev_weak,J3_R5D92_G,DA1_REG0,0.925,0.85,0.8792836408314952,0.4625324958064156,,,,0.925,0.85,0.8792836408314952,0.4625324958064156
leo_low_elev_weak,J3_R5D92_G,DA0_REG1,0.775,0.6,1.3768560529944969,0.45484144960408407,0.76,0.6,0.7674267100977199,0.7681818181818182,0.6,1.4238585360872853,0.46409285424150004
leo_low_elev_weak,J3_R5D92_G,DA1_REG1,0.775,0.6,1.3761880242192182,0.4545692225619787,0.76,0.6,0.7674267100977199,0.7681818181818182,0.6,1.4230302584765846,0.463871694268662
leo_rain_weak,J1_R0,DA0_REG0,0.825,0.55,0.9011288366697099,0.36701936324250406,,,,0.825,0.55,0.9011288366697099,0.36701936324250406
leo_rain_weak,J1_R0,DA1_REG0,0.8166666666666667,0.55,0.8981805625919748,0.3585678883248513,,,,0.8166666666666667,0.55,0.8981805625919748,0.3585678883248513
leo_rain_weak,J1_R0,DA0_REG1,0.7166666666666667,0.45,1.3256029390882178,0.39559501381188134,0.79,0.6,0.7515486725663717,0.75,0.45,1.3504113096536798,0.44252520036696524
leo_rain_weak,J1_R0,DA1_REG1,0.7166666666666667,0.45,1.3255400991798505,0.3955991777398209,0.79,0.6,0.7515486725663717,0.75,0.45,1.3501854846048928,0.4424590917400203
leo_rain_weak,J2_R3,DA0_REG0,0.825,0.55,0.9011288366697099,0.36701936324250406,,,,0.825,0.55,0.9011288366697099,0.36701936324250406
leo_rain_weak,J2_R3,DA1_REG0,0.8166666666666667,0.55,0.8985184457109393,0.35878986197786245,,,,0.8166666666666667,0.55,0.8985184457109393,0.35878986197786245
leo_rain_weak,J2_R3,DA0_REG1,0.7166666666666667,0.45,1.3256029390882178,0.39559501381188134,0.79,0.6,0.7515486725663717,0.75,0.45,1.3504113096536798,0.44252520036696524
leo_rain_weak,J2_R3,DA1_REG1,0.7166666666666667,0.45,1.3257557062527137,0.39567405724633936,0.79,0.6,0.7515486725663717,0.75,0.45,1.3504190908590978,0.44255078865617165
leo_rain_weak,J3_R5D92_G,DA0_REG0,0.825,0.55,0.9011288366697099,0.36701936324250406,,,,0.825,0.55,0.9011288366697099,0.36701936324250406
leo_rain_weak,J3_R5D92_G,DA1_REG0,0.8166666666666667,0.55,0.8986550794633821,0.3588693174001533,,,,0.8166666666666667,0.55,0.8986550794633821,0.3588693174001533
