scenario,new_class_count,state,old_acc,old_floor,seen_new_acc,new_floor,H_old_new,registered_acc,registered_floor,registered_nll,registered_ece10,old_nll,old_ece10,query_rows
leo_clear_weak,1,DA0_REG0,0.9083333333333333,0.8,,,,0.9083333333333333,0.8,0.8734497866352877,0.4548497944484509,0.8734497866352877,0.4548497944484509,140
leo_clear_weak,1,DA1_REG0,0.9083333333333333,0.8,,,,0.9083333333333333,0.8,0.8751237962392743,0.4553714387098072,0.8751237962392743,0.4553714387098072,140
leo_clear_weak,1,DA0_REG1,0.9083333333333333,0.75,1.0,1.0,0.9519650655021834,0.9214285714285714,0.75,0.9085866262409414,0.48345273563510527,0.9225636752450003,0.4708829812276064,140
leo_clear_weak,1,DA1_REG1,0.9083333333333333,0.75,1.0,1.0,0.9519650655021834,0.9214285714285714,0.75,0.9090152653275465,0.4837446104088503,0.9227882279924675,0.4711041014207311,140
leo_clear_weak,2,DA0_REG0,0.9083333333333333,0.8,,,,0.9083333333333333,0.8,0.8734497866352877,0.4548497944484509,0.8734497866352877,0.4548497944484509,160
leo_clear_weak,2,DA1_REG0,0.9083333333333333,0.8,,,,0.9083333333333333,0.8,0.8751237962392743,0.4553714387098072,0.8751237962392743,0.4553714387098072,160
leo_clear_weak,2,DA0_REG1,0.925,0.8,1.0,1.0,0.961038961038961,0.94375,0.8,0.9153766049722833,0.5095706722915072,0.9732827757630851,0.5079810283933196,160
leo_clear_weak,2,DA1_REG1,0.8833333333333333,0.75,1.0,1.0,0.9380530973451328,0.9125,0.75,0.9157355554655456,0.48055014338391655,0.9738048892516034,0.46927699221740465,160
leo_clear_weak,3,DA0_REG0,0.9083333333333333,0.8,,,,0.9083333333333333,0.8,0.8734497866352877,0.4548497944484509,0.8734497866352877,0.4548497944484509,180
leo_clear_weak,3,DA1_REG0,0.9083333333333333,0.8,,,,0.9083333333333333,0.8,0.8751237962392743,0.4553714387098072,0.8751237962392743,0.4553714387098072,180
