row,status,best_val_tx_acc,best_val_epoch,missing_train_loss_epoch_count,first_missing_train_loss_epoch,skipped_backward_batches,fcr_nan_epochs,clean_acc,leo_clear_weak_acc,leo_low_elev_weak_acc,leo_rain_weak_acc,three_leo_mean_acc,three_leo_worst_acc,clean_class_floor,zf_domain_probe,zn_domain_probe,effective_rank,gram_condition,peak_vram_mb,latency_ms,train_time_s
R1,PREDICTIONS_READY,28.956349206349206,1,0,,96,0,28.956349206349206,21.626984126984127,20.88095238095238,21.015873015873016,21.174603174603174,20.88095238095238,0.0,0.9921875,0.658203125,1.4666534662246704,260038.953125,11028.275390625,0.26916056871414185,15767.9814453125
R2,PREDICTIONS_READY,28.773809523809526,1,126,75,5834,126,28.773809523809526,21.591269841269842,20.944444444444443,21.16269841269841,21.23280423280423,20.944444444444443,0.0,0.994140625,0.65625,1.4666807651519775,260250.796875,11028.275390625,0.2567220628261566,14115.71484375
R3,PREDICTIONS_READY,28.44047619047619,1,143,58,6515,143,28.44047619047619,21.686507936507937,21.03174603174603,21.182539682539684,21.30026455026455,21.03174603174603,0.0,0.9921875,0.662109375,1.4670101404190063,261266.90625,11028.275390625,0.2813253402709961,13726.625
R4,PREDICTIONS_READY,28.928571428571427,1,132,69,6117,132,28.928571428571427,21.599206349206348,20.944444444444443,21.0515873015873,21.198412698412696,20.944444444444443,0.0,0.9921875,0.658203125,1.4688024520874023,260674.46875,11030.431640625,0.24346153438091278,15002.1279296875
R5,PREDICTIONS_READY,20.49206349206349,21,173,27,7901,173,20.49206349206349,18.765873015873016,18.48015873015873,18.174603174603174,18.473544973544975,18.174603174603174,0.0,0.51953125,0.560546875,2.643523693084717,24.92131233215332,11027.494140625,0.21256670355796814,13682.66796875
R6,PREDICTIONS_READY,16.80952380952381,1,174,27,7979,174,16.80952380952381,18.313492063492063,17.908730158730158,17.988095238095237,18.07010582010582,17.908730158730158,0.0,0.990234375,0.654296875,1.466836929321289,260695.125,11030.431640625,0.23682983219623566,14113.3427734375
R7,PREDICTIONS_READY,16.6984126984127,1,158,43,7231,158,16.6984126984127,17.623015873015873,17.341269841269842,17.42063492063492,17.461640211640212,17.341269841269842,0.0,0.990234375,0.685546875,1.5658690929412842,149924.046875,11036.6953125,0.23147907853126526,15296.98046875
R8,PREDICTIONS_READY,16.9484126984127,1,172,29,7921,172,16.9484126984127,18.583333333333332,18.158730158730158,18.126984126984127,18.289682539682538,18.126984126984127,0.0,0.9921875,0.66796875,1.5662399530410767,149920.53125,11039.6328125,0.2845039367675781,15176.888671875
