row,scenario,class_id,class_acc,class_n,prediction_hist
R1,clean,0,3.880952380952381,4200,"{""0"": 189, ""3"": 1, ""4"": 17314, ""5"": 7696}"
R1,clean,1,0.0,4200,"{""0"": 189, ""3"": 1, ""4"": 17314, ""5"": 7696}"
R1,clean,2,0.0,4200,"{""0"": 189, ""3"": 1, ""4"": 17314, ""5"": 7696}"
R1,clean,3,0.023809523809523808,4200,"{""0"": 189, ""3"": 1, ""4"": 17314, ""5"": 7696}"
R1,clean,4,98.92857142857143,4200,"{""0"": 189, ""3"": 1, ""4"": 17314, ""5"": 7696}"
R1,clean,5,70.9047619047619,4200,"{""0"": 189, ""3"": 1, ""4"": 17314, ""5"": 7696}"
R1,leo_clear_weak,0,5.738095238095238,4200,"{""0"": 1705, ""4"": 8984, ""5"": 14511}"
R1,leo_clear_weak,1,0.0,4200,"{""0"": 1705, ""4"": 8984, ""5"": 14511}"
R1,leo_clear_weak,2,0.0,4200,"{""0"": 1705, ""4"": 8984, ""5"": 14511}"
R1,leo_clear_weak,3,0.0,4200,"{""0"": 1705, ""4"": 8984, ""5"": 14511}"
R1,leo_clear_weak,4,44.07142857142857,4200,"{""0"": 1705, ""4"": 8984, ""5"": 14511}"
R1,leo_clear_weak,5,79.95238095238095,4200,"{""0"": 1705, ""4"": 8984, ""5"": 14511}"
R1,leo_low_elev_weak,0,5.857142857142857,4200,"{""0"": 1623, ""1"": 1, ""3"": 1, ""4"": 8694, ""5"": 14881}"
R1,leo_low_elev_weak,1,0.023809523809523808,4200,"{""0"": 1623, ""1"": 1, ""3"": 1, ""4"": 8694, ""5"": 14881}"
R1,leo_low_elev_weak,2,0.0,4200,"{""0"": 1623, ""1"": 1, ""3"": 1, ""4"": 8694, ""5"": 14881}"
R1,leo_low_elev_weak,3,0.0,4200,"{""0"": 1623, ""1"": 1, ""3"": 1, ""4"": 8694, ""5"": 14881}"
R1,leo_low_elev_weak,4,41.26190476190476,4200,"{""0"": 1623, ""1"": 1, ""3"": 1, ""4"": 8694, ""5"": 14881}"
R1,leo_low_elev_weak,5,78.14285714285714,4200,"{""0"": 1623, ""1"": 1, ""3"": 1, ""4"": 8694, ""5"": 14881}"
R1,leo_rain_weak,0,6.0476190476190474,4200,"{""0"": 1685, ""3"": 2, ""4"": 8744, ""5"": 14769}"
R1,leo_rain_weak,1,0.0,4200,"{""0"": 1685, ""3"": 2, ""4"": 8744, ""5"": 14769}"
