row,status,scenario,n,micro_acc,macro_acc,class_floor,receiver_floor,best_val_tx_acc,best_val_epoch,skipped_backward_batches,train_time_s,peak_vram_mb,latency_ms
R1,PREDICTIONS_READY,clean,25200,28.956349206349206,28.956349206349206,0.0,19.416666666666668,28.956349206349206,1,96,15767.9814453125,11028.275390625,0.26916056871414185
R1,PREDICTIONS_READY,leo_clear_weak,25200,21.626984126984127,21.626984126984127,0.0,15.805555555555555,28.956349206349206,1,96,15767.9814453125,11028.275390625,0.26916056871414185
R1,PREDICTIONS_READY,leo_low_elev_weak,25200,20.88095238095238,20.88095238095238,0.0,16.083333333333332,28.956349206349206,1,96,15767.9814453125,11028.275390625,0.26916056871414185
R1,PREDICTIONS_READY,leo_rain_weak,25200,21.015873015873016,21.015873015873016,0.0,16.416666666666668,28.956349206349206,1,96,15767.9814453125,11028.275390625,0.26916056871414185
R2,PREDICTIONS_READY,clean,25200,28.773809523809526,28.773809523809522,0.0,18.13888888888889,28.773809523809526,1,5834,14115.71484375,11028.275390625,0.2567220628261566
R2,PREDICTIONS_READY,leo_clear_weak,25200,21.591269841269842,21.591269841269842,0.0,15.805555555555555,28.773809523809526,1,5834,14115.71484375,11028.275390625,0.2567220628261566
R2,PREDICTIONS_READY,leo_low_elev_weak,25200,20.944444444444443,20.944444444444446,0.0,15.916666666666666,28.773809523809526,1,5834,14115.71484375,11028.275390625,0.2567220628261566
R2,PREDICTIONS_READY,leo_rain_weak,25200,21.16269841269841,21.16269841269841,0.0,16.555555555555557,28.773809523809526,1,5834,14115.71484375,11028.275390625,0.2567220628261566
R3,PREDICTIONS_READY,clean,25200,28.44047619047619,28.440476190476193,0.0,19.25,28.44047619047619,1,6515,13726.625,11028.275390625,0.2813253402709961
R3,PREDICTIONS_READY,leo_clear_weak,25200,21.686507936507937,21.686507936507937,0.0,15.61111111111111,28.44047619047619,1,6515,13726.625,11028.275390625,0.2813253402709961
R3,PREDICTIONS_READY,leo_low_elev_weak,25200,21.03174603174603,21.03174603174603,0.0,15.833333333333334,28.44047619047619,1,6515,13726.625,11028.275390625,0.2813253402709961
R3,PREDICTIONS_READY,leo_rain_weak,25200,21.182539682539684,21.182539682539684,0.0,16.416666666666668,28.44047619047619,1,6515,13726.625,11028.275390625,0.2813253402709961
R4,PREDICTIONS_READY,clean,25200,28.928571428571427,28.928571428571427,0.0,18.38888888888889,28.928571428571427,1,6117,15002.1279296875,11030.431640625,0.24346153438091278
R4,PREDICTIONS_READY,leo_clear_weak,25200,21.599206349206348,21.599206349206348,0.0,15.86111111111111,28.928571428571427,1,6117,15002.1279296875,11030.431640625,0.24346153438091278
R4,PREDICTIONS_READY,leo_low_elev_weak,25200,20.944444444444443,20.944444444444446,0.0,16.02777777777778,28.928571428571427,1,6117,15002.1279296875,11030.431640625,0.24346153438091278
R4,PREDICTIONS_READY,leo_rain_weak,25200,21.0515873015873,21.051587301587304,0.0,16.52777777777778,28.928571428571427,1,6117,15002.1279296875,11030.431640625,0.24346153438091278
R5,PREDICTIONS_READY,clean,25200,20.49206349206349,20.49206349206349,0.0,13.38888888888889,20.49206349206349,21,7901,13682.66796875,11027.494140625,0.21256670355796814
R5,PREDICTIONS_READY,leo_clear_weak,25200,18.765873015873016,18.765873015873016,0.0,16.38888888888889,20.49206349206349,21,7901,13682.66796875,11027.494140625,0.21256670355796814
R5,PREDICTIONS_READY,leo_low_elev_weak,25200,18.48015873015873,18.480158730158728,0.0,15.38888888888889,20.49206349206349,21,7901,13682.66796875,11027.494140625,0.21256670355796814
R5,PREDICTIONS_READY,leo_rain_weak,25200,18.174603174603174,18.174603174603178,0.0,16.11111111111111,20.49206349206349,21,7901,13682.66796875,11027.494140625,0.21256670355796814
R6,PREDICTIONS_READY,clean,25200,16.80952380952381,16.80952380952381,0.0,16.416666666666668,16.80952380952381,1,7979,14113.3427734375,11030.431640625,0.23682983219623566
R6,PREDICTIONS_READY,leo_clear_weak,25200,18.313492063492063,18.313492063492063,0.0,16.27777777777778,16.80952380952381,1,7979,14113.3427734375,11030.431640625,0.23682983219623566
R6,PREDICTIONS_READY,leo_low_elev_weak,25200,17.908730158730158,17.908730158730158,0.0,16.333333333333332,16.80952380952381,1,7979,14113.3427734375,11030.431640625,0.23682983219623566
R6,PREDICTIONS_READY,leo_rain_weak,25200,17.988095238095237,17.98809523809524,0.0,16.88888888888889,16.80952380952381,1,7979,14113.3427734375,11030.431640625,0.23682983219623566
R7,PREDICTIONS_READY,clean,25200,16.6984126984127,16.6984126984127,0.0,16.47222222222222,16.6984126984127,1,7231,15296.98046875,11036.6953125,0.23147907853126526
R7,PREDICTIONS_READY,leo_clear_weak,25200,17.623015873015873,17.623015873015873,0.0,16.38888888888889,16.6984126984127,1,7231,15296.98046875,11036.6953125,0.23147907853126526
R7,PREDICTIONS_READY,leo_low_elev_weak,25200,17.341269841269842,17.341269841269842,0.0,16.27777777777778,16.6984126984127,1,7231,15296.98046875,11036.6953125,0.23147907853126526
R7,PREDICTIONS_READY,leo_rain_weak,25200,17.42063492063492,17.42063492063492,0.0,16.38888888888889,16.6984126984127,1,7231,15296.98046875,11036.6953125,0.23147907853126526
R8,PREDICTIONS_READY,clean,25200,16.9484126984127,16.9484126984127,0.0,16.305555555555557,16.9484126984127,1,7921,15176.888671875,11039.6328125,0.2845039367675781
R8,PREDICTIONS_READY,leo_clear_weak,25200,18.583333333333332,18.583333333333332,0.0,16.61111111111111,16.9484126984127,1,7921,15176.888671875,11039.6328125,0.2845039367675781
R8,PREDICTIONS_READY,leo_low_elev_weak,25200,18.158730158730158,18.158730158730158,0.0,16.166666666666668,16.9484126984127,1,7921,15176.888671875,11039.6328125,0.2845039367675781
R8,PREDICTIONS_READY,leo_rain_weak,25200,18.126984126984127,18.126984126984127,0.0,16.61111111111111,16.9484126984127,1,7921,15176.888671875,11039.6328125,0.2845039367675781
