row,complete,epoch,accepted,total_step,mean_loss,elapsed_seconds,source_val_accuracy
F-M00,False,1,222,222,16.831543372558045,120.04335852572694,0.37751851851851853
F-M00,False,2,222,444,14.845733165740967,251.86409427504987,0.693925925925926
F-M00,False,3,222,666,10.370688683277852,392.849838539958,0.8718888888888889
F-M00,False,4,222,888,7.400795947324048,523.8973082229495,0.9077777777777778
F-M00,False,5,222,1110,6.390372044331318,648.2308069546707,0.9327037037037037
F-M00,False,6,222,1332,5.226518926319775,775.6401025210507,0.9412592592592592
F-M00,False,7,222,1554,4.930712607529786,916.8613333879039,0.9504814814814815
F-M00,False,8,222,1776,5.064301289953627,1062.025095957797,0.9536666666666667
F-M00,False,9,222,1998,4.221279634011759,1204.7318710200489,0.9512962962962963
F-M00,False,10,222,2220,4.370317838750444,1345.5473256618716,0.9588148148148148
F-M00,False,11,222,2442,4.824668982544461,1492.352697181981,0.9664444444444444
F-M00,False,12,222,2664,4.7495961629592625,1646.7237926879898,0.9642962962962963
F-M00,False,13,222,2886,4.455231371226612,1799.4635526328348,0.9475925925925925
F-M00,False,14,222,3108,4.657012224734366,1950.6201213039458,0.9711481481481481
F-M00,False,15,222,3330,4.793756301338608,2103.4325924278237,0.974037037037037
F-M00,False,16,222,3552,4.812868166077244,2254.406060841866,0.9713333333333334
F-M00,False,17,222,3774,5.200162396237657,2423.036409864668,0.9728518518518519
F-M00,False,18,222,3996,5.056538256975982,2589.8773351488635,0.9668148148148148
F-M00,False,19,222,4218,5.334182382166922,2756.0329486699775,0.9757407407407407
F-M00,False,20,222,4440,5.266428835220165,2983.7530995467678,0.9765555555555555
F-M00,False,21,222,4662,4.496825872777818,3213.569575960748,0.9741851851851852
F-M00,False,22,222,4884,4.7650825461825805,3443.0513138840906,0.9768518518518519
F-M00,False,23,222,5106,4.4422148804406865,3674.245746276807,0.9784814814814815
F-M00,False,24,222,5328,4.861525805683823,3910.8466362459585,0.9775185185185186
F-M00,False,25,222,5550,4.468553433547148,4147.786808274686,0.9795555555555555
F-M00,False,26,222,5772,4.393969732361871,4384.651565273758,0.9737037037037037
F-M00,False,27,222,5994,4.243157320731395,4622.39416472381,0.979
F-M00,False,28,222,6216,4.422398262195759,4858.770560500678,0.9821111111111112
F-M00,False,29,222,6438,4.907029280791411,5095.917569357902,0.9815185185185186
F-M00,False,30,222,6660,3.8719035510544306,5334.762674123049,0.9818888888888889
F-M00,False,31,222,6882,3.847106054559484,5574.920124575961,0.9804444444444445
F-M00,False,32,222,7104,3.9676694209511214,5811.675236335956,0.9825925925925926
F-M00,False,33,222,7326,4.2888395066733835,6048.73634751467,0.9791111111111112
F-M00,False,34,222,7548,4.327244163096488,6285.640684121754,0.9722962962962963
F-M00,False,35,222,7770,4.703566234927994,6522.215613097884,0.9765925925925926
F-M00,False,36,222,7992,4.021460956818348,6759.02569682803,0.9809629629629629
F-M00,False,37,222,8214,4.678423197419794,6998.6480302899145,0.9826296296296296
F-M00,False,38,222,8436,4.684418730907612,7235.23378488468,0.9821111111111112
F-M00,False,39,222,8658,4.041290218228692,7472.909734363668,0.9828888888888889
F-M00,False,40,222,8880,4.446930999691422,7708.20584917767,0.9814444444444445
F-M00,False,41,222,9102,4.088838429601343,7944.353197270073,0.9817777777777777
F-M00,False,42,222,9324,3.9201850246738745,8184.6620166637,0.9758518518518519
F-M00,False,43,222,9546,4.472539413619685,8425.28393889172,0.9743703703703703
F-M00,False,44,222,9768,3.838275415940328,8663.241114316043,0.972
F-M00,False,45,222,9990,3.9817786442266927,8913.388047992717,0.982925925925926
F-M00,False,46,222,10212,3.9390507039723097,9159.000423118006,0.9761851851851852
F-M00,False,47,222,10434,4.133794071975055,9408.431219246704,0.979037037037037
F-M00,False,48,222,10656,3.86498643041731,9657.746131336782,0.9845925925925926
F-M00,False,49,222,10878,3.6015385056401157,9908.59635134181,0.9841851851851852
F-M00,False,50,222,11100,3.89261286752718,10160.629550409038,0.9794814814814815
