row,scene,true_tx,predicted_tx,count
F-A1,clean,3,0,2138
F-A1,clean,3,1,6196
F-A1,clean,3,2,548
F-A1,clean,3,3,19041
F-A1,clean,3,4,24
F-A1,clean,3,5,53
F-A1,clean,4,0,7
F-A1,clean,4,1,15
F-A1,clean,4,2,12
F-A1,clean,4,3,5
F-A1,clean,4,4,27957
F-A1,clean,4,5,4
F-A1,clean,5,0,56
F-A1,clean,5,1,60
F-A1,clean,5,2,127
F-A1,clean,5,3,24
F-A1,clean,5,4,1769
F-A1,clean,5,5,25964
F-A1,leo_clear_weak,0,0,23113
F-A1,leo_clear_weak,0,1,1638
F-A1,leo_clear_weak,0,2,146
F-A1,leo_clear_weak,0,3,3016
F-A1,leo_clear_weak,0,4,67
F-A1,leo_clear_weak,0,5,20
F-A1,leo_clear_weak,1,0,904
F-A1,leo_clear_weak,1,1,10371
F-A1,leo_clear_weak,1,2,45
F-A1,leo_clear_weak,1,3,16263
F-A1,leo_clear_weak,1,4,404
F-A1,leo_clear_weak,1,5,13
F-A1,leo_clear_weak,2,0,1298
F-A1,leo_clear_weak,2,1,2006
F-A1,leo_clear_weak,2,2,17340
F-A1,leo_clear_weak,2,3,1868
F-A1,leo_clear_weak,2,4,2070
F-A1,leo_clear_weak,2,5,3418
F-A1,leo_clear_weak,3,0,3734
F-A1,leo_clear_weak,3,1,6645
F-A1,leo_clear_weak,3,2,895
F-A1,leo_clear_weak,3,3,16395
F-A1,leo_clear_weak,3,4,183
F-A1,leo_clear_weak,3,5,148
F-A1,leo_clear_weak,4,0,8
F-A1,leo_clear_weak,4,1,618
F-A1,leo_clear_weak,4,2,58
F-A1,leo_clear_weak,4,3,267
F-A1,leo_clear_weak,4,4,27023
F-A1,leo_clear_weak,4,5,26
F-A1,leo_clear_weak,5,0,53
F-A1,leo_clear_weak,5,1,371
F-A1,leo_clear_weak,5,2,401
F-A1,leo_clear_weak,5,3,19
F-A1,leo_clear_weak,5,4,3431
F-A1,leo_clear_weak,5,5,23725
F-A1,leo_low_elev_weak,0,0,22024
F-A1,leo_low_elev_weak,0,1,1913
F-A1,leo_low_elev_weak,0,2,167
F-A1,leo_low_elev_weak,0,3,3660
F-A1,leo_low_elev_weak,0,4,219
F-A1,leo_low_elev_weak,0,5,17
F-A1,leo_low_elev_weak,1,0,1295
F-A1,leo_low_elev_weak,1,1,9780
F-A1,leo_low_elev_weak,1,2,61
F-A1,leo_low_elev_weak,1,3,16221
F-A1,leo_low_elev_weak,1,4,625
F-A1,leo_low_elev_weak,1,5,18
F-A1,leo_low_elev_weak,2,0,1575
F-A1,leo_low_elev_weak,2,1,1978
F-A1,leo_low_elev_weak,2,2,16502
F-A1,leo_low_elev_weak,2,3,2104
F-A1,leo_low_elev_weak,2,4,2241
F-A1,leo_low_elev_weak,2,5,3600
F-A1,leo_low_elev_weak,3,0,4310
F-A1,leo_low_elev_weak,3,1,6652
F-A1,leo_low_elev_weak,3,2,899
F-A1,leo_low_elev_weak,3,3,15586
F-A1,leo_low_elev_weak,3,4,413
F-A1,leo_low_elev_weak,3,5,140
F-A1,leo_low_elev_weak,4,0,12
F-A1,leo_low_elev_weak,4,1,690
F-A1,leo_low_elev_weak,4,2,89
F-A1,leo_low_elev_weak,4,3,597
F-A1,leo_low_elev_weak,4,4,26576
F-A1,leo_low_elev_weak,4,5,36
F-A1,leo_low_elev_weak,5,0,152
F-A1,leo_low_elev_weak,5,1,383
F-A1,leo_low_elev_weak,5,2,473
F-A1,leo_low_elev_weak,5,3,31
F-A1,leo_low_elev_weak,5,4,3387
F-A1,leo_low_elev_weak,5,5,23574
F-A1,leo_rain_weak,0,0,22128
F-A1,leo_rain_weak,0,1,1936
F-A1,leo_rain_weak,0,2,218
F-A1,leo_rain_weak,0,3,3547
F-A1,leo_rain_weak,0,4,158
F-A1,leo_rain_weak,0,5,13
F-A1,leo_rain_weak,1,0,1595
F-A1,leo_rain_weak,1,1,9743
F-A1,leo_rain_weak,1,2,75
F-A1,leo_rain_weak,1,3,15912
F-A1,leo_rain_weak,1,4,659
F-A1,leo_rain_weak,1,5,16
F-A1,leo_rain_weak,2,0,1565
F-A1,leo_rain_weak,2,1,1991
F-A1,leo_rain_weak,2,2,16539
F-A1,leo_rain_weak,2,3,2070
F-A1,leo_rain_weak,2,4,2251
F-A1,leo_rain_weak,2,5,3584
