candidate_id,gpu,arm,k_old,seed,target_old_query_per_tx,raw_old_acc_pct,deployed_old_acc_pct,baseline_old_acc_pct,raw_full_acc_pct,deployed_full_acc_pct,coverage_pct,unknown_far_pct,unknown_reject_pct,old_reject_pct,old_to_seen_new_pct,auroc_pct,fpr95_pct,rollback_triggered,rollback_accepted,loss_initial,loss_final,old80_support_cv_acc_pct
OA_MSE_H06_OLD80FIRST_HEAD48_GPU0_A_MSE_SUBSPACE_KOLD2_KNEW0,0,A,2,231810,,65.83333611488342,25.833332538604736,25.833332538604736,49.37500059604645,41.56250059604645,100.0,100.0,0.0,0.0,0.0,67.015625,65.0,True,False,6.88308048248291,0.8054341673851013,75.0
OA_MSE_H06_OLD80FIRST_HEAD48_GPU0_B_MSE_SUBSPACE_KOLD3_KNEW0,0,B,3,231990,,65.41666388511658,28.749999403953552,28.749999403953552,49.06249940395355,40.937501192092896,100.0,100.0,0.0,0.0,0.0,60.99479166666667,87.91666666666667,True,False,5.051578521728516,1.211103916168213,77.77777910232544
OA_MSE_H06_OLD80FIRST_HEAD48_GPU0_C_MSE_SUBSPACE_KOLD5_KNEW0,0,C,5,232170,,70.83333134651184,23.333333432674408,23.333333432674408,53.125,39.0625,100.0,100.0,0.0,0.0,0.0,68.421875,72.91666666666666,True,False,5.736117839813232,1.0189486742019653,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU0_D_MSE_SUBSPACE_KOLD10_KNEW0,0,D,10,232350,,68.33333373069763,32.083332538604736,32.083332538604736,51.249998807907104,45.3125,100.0,100.0,0.0,0.0,0.0,62.61979166666667,87.5,True,False,3.202597141265869,0.6736063957214355,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU0_E_MSE_SUBSPACE_KOLD5_KNEW0,0,E,5,232530,,69.58333253860474,32.083332538604736,32.083332538604736,52.18750238418579,43.12500059604645,100.0,100.0,0.0,0.0,0.0,65.4375,71.66666666666667,True,False,4.907742023468018,0.7903546094894409,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU0_F_MSE_SUBSPACE_KOLD10_KNEW0,0,F,10,232710,,67.5000011920929,30.000001192092896,30.000001192092896,50.62500238418579,44.68750059604645,100.0,100.0,0.0,0.0,0.0,54.880208333333336,98.75,True,False,5.859872817993164,1.2660465240478516,81.66666626930237
OA_MSE_H06_OLD80FIRST_HEAD48_GPU1_A_MSE_SUBSPACE_KOLD2_KNEW0,1,A,2,231820,,67.5000011920929,17.916665971279144,17.916665971279144,50.62500238418579,34.687501192092896,100.0,100.0,0.0,0.0,0.0,56.036458333333336,95.83333333333334,True,False,5.748190402984619,1.1212862730026245,75.0
OA_MSE_H06_OLD80FIRST_HEAD48_GPU1_B_MSE_SUBSPACE_KOLD3_KNEW0,1,B,3,232000,,64.99999761581421,16.249999403953552,16.249999403953552,48.750001192092896,34.99999940395355,100.0,100.0,0.0,0.0,0.0,62.27083333333333,83.33333333333334,True,False,4.585970401763916,0.7924367785453796,94.44444179534912
OA_MSE_H06_OLD80FIRST_HEAD48_GPU1_C_MSE_SUBSPACE_KOLD5_KNEW0,1,C,5,232180,,59.58333611488342,30.416667461395264,30.416667461395264,44.68750059604645,43.437498807907104,100.0,100.0,0.0,0.0,0.0,56.41145833333333,96.66666666666667,True,False,4.180442810058594,0.6758813858032227,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU1_D_MSE_SUBSPACE_KOLD10_KNEW0,1,D,10,232360,,69.9999988079071,34.583333134651184,34.583333134651184,52.49999761581421,44.999998807907104,100.0,100.0,0.0,0.0,0.0,60.21354166666667,96.25,True,False,4.415534496307373,0.8807079792022705,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU1_E_MSE_SUBSPACE_KOLD5_KNEW0,1,E,5,232540,,67.5000011920929,27.916666865348816,27.916666865348816,50.62500238418579,41.24999940395355,100.0,100.0,0.0,0.0,0.0,66.56770833333333,74.58333333333333,True,False,3.8256335258483887,0.7114869356155396,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU1_F_MSE_SUBSPACE_KOLD10_KNEW0,1,F,10,232720,,70.83333134651184,27.916666865348816,27.916666865348816,53.125,43.12500059604645,100.0,100.0,0.0,0.0,0.0,67.0,75.0,True,False,4.987785339355469,1.1193927526474,80.0000011920929
OA_MSE_H06_OLD80FIRST_HEAD48_GPU2_A_MSE_SUBSPACE_KOLD2_KNEW0,2,A,2,231830,,55.83333373069763,34.583333134651184,34.583333134651184,41.874998807907104,44.999998807907104,100.0,100.0,0.0,0.0,0.0,58.40625000000001,90.83333333333333,True,False,4.54130220413208,0.9214630722999573,91.66666865348816
OA_MSE_H06_OLD80FIRST_HEAD48_GPU2_B_MSE_SUBSPACE_KOLD3_KNEW0,2,B,3,232010,,63.749998807907104,25.0,25.0,47.81250059604645,38.749998807907104,100.0,100.0,0.0,0.0,0.0,60.203125,80.0,True,False,5.638918399810791,0.930511474609375,83.33333134651184
OA_MSE_H06_OLD80FIRST_HEAD48_GPU2_C_MSE_SUBSPACE_KOLD5_KNEW0,2,C,5,232190,,69.9999988079071,20.416666567325592,20.416666567325592,52.49999761581421,35.9375,100.0,100.0,0.0,0.0,0.0,62.739583333333336,87.08333333333333,True,False,5.204780578613281,1.0315792560577393,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU2_D_MSE_SUBSPACE_KOLD10_KNEW0,2,D,10,232370,,64.99999761581421,28.749999403953552,28.749999403953552,48.750001192092896,39.68749940395355,100.0,100.0,0.0,0.0,0.0,58.14583333333333,90.41666666666667,True,False,6.15083122253418,1.091422438621521,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU2_E_MSE_SUBSPACE_KOLD5_KNEW0,2,E,5,232550,,65.41666388511658,27.500000596046448,27.500000596046448,49.06249940395355,42.500001192092896,100.0,100.0,0.0,0.0,0.0,62.697916666666664,76.66666666666667,True,False,5.293458938598633,0.7584229707717896,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU2_F_MSE_SUBSPACE_KOLD10_KNEW0,2,F,10,232730,,72.50000238418579,32.499998807907104,32.499998807907104,54.374998807907104,44.37499940395355,100.0,100.0,0.0,0.0,0.0,72.265625,71.25,True,False,4.4736127853393555,0.9834821820259094,76.66666507720947
OA_MSE_H06_OLD80FIRST_HEAD48_GPU3_A_MSE_SUBSPACE_KOLD2_KNEW0,3,A,2,231840,,69.9999988079071,36.250001192092896,36.250001192092896,52.49999761581421,46.875,100.0,100.0,0.0,0.0,0.0,61.973958333333336,92.5,True,False,7.035018444061279,1.2370209693908691,91.66666865348816
OA_MSE_H06_OLD80FIRST_HEAD48_GPU3_B_MSE_SUBSPACE_KOLD3_KNEW0,3,B,3,232020,,60.41666865348816,32.499998807907104,32.499998807907104,45.3125,43.75,100.0,100.0,0.0,0.0,0.0,54.614583333333336,85.83333333333333,True,False,6.625213623046875,1.5450626611709595,83.33333134651184
OA_MSE_H06_OLD80FIRST_HEAD48_GPU3_C_MSE_SUBSPACE_KOLD5_KNEW0,3,C,5,232200,,62.08333373069763,23.333333432674408,23.333333432674408,46.562498807907104,38.749998807907104,100.0,100.0,0.0,0.0,0.0,63.66666666666667,83.33333333333334,True,False,6.400719165802002,1.4257091283798218,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU3_D_MSE_SUBSPACE_KOLD10_KNEW0,3,D,10,232380,,72.08333611488342,30.416667461395264,30.416667461395264,54.06249761581421,43.75,100.0,100.0,0.0,0.0,0.0,57.958333333333336,88.75,True,False,4.219772815704346,0.9796696901321411,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU3_E_MSE_SUBSPACE_KOLD5_KNEW0,3,E,5,232560,,69.16666626930237,27.08333432674408,27.08333432674408,51.875001192092896,40.00000059604645,100.0,100.0,0.0,0.0,0.0,58.53125,80.83333333333333,True,False,4.632565021514893,0.5874133110046387,
OA_MSE_H06_OLD80FIRST_HEAD48_GPU3_F_MSE_SUBSPACE_KOLD10_KNEW0,3,F,10,232740,,72.08333611488342,37.91666626930237,37.91666626930237,54.06249761581421,48.4375,100.0,100.0,0.0,0.0,0.0,70.046875,79.58333333333333,True,False,2.9298057556152344,0.7262026071548462,89.99999761581421
OA_MSE_H06_OLD80FIRST_HEAD48_GPU4_A_MSE_SUBSPACE_KOLD2_KNEW0,4,A,2,231850,,64.99999761581421,34.583333134651184,34.583333134651184,48.750001192092896,45.3125,100.0,100.0,0.0,0.0,0.0,65.73958333333333,71.66666666666667,True,False,5.129616737365723,0.5388830900192261,100.0
OA_MSE_H06_OLD80FIRST_HEAD48_GPU4_B_MSE_SUBSPACE_KOLD3_KNEW0,4,B,3,232030,,63.749998807907104,21.250000596046448,21.250000596046448,47.81250059604645,37.812501192092896,100.0,100.0,0.0,0.0,0.0,63.46874999999999,94.16666666666667,True,False,6.194808483123779,1.0700880289077759,83.33333134651184
