row,scene,scope,group,correct,total,accuracy
M02,leo_clear_weak,tx,3,15636,28000,0.5584285714285714
M02,leo_clear_weak,tx,4,24246,28000,0.8659285714285714
M02,leo_clear_weak,tx,5,25653,28000,0.9161785714285714
M02,leo_low_elev_weak,day,0,24829,42000,0.5911666666666666
M02,leo_low_elev_weak,day,1,26200,42000,0.6238095238095238
M02,leo_low_elev_weak,day,2,24891,42000,0.5926428571428571
M02,leo_low_elev_weak,day,3,26346,42000,0.6272857142857143
M02,leo_low_elev_weak,rx,0,16815,24000,0.700625
M02,leo_low_elev_weak,rx,10,15432,24000,0.643
M02,leo_low_elev_weak,rx,11,15256,24000,0.6356666666666667
M02,leo_low_elev_weak,rx,2,10940,24000,0.4558333333333333
M02,leo_low_elev_weak,rx,5,16840,24000,0.7016666666666667
M02,leo_low_elev_weak,rx,7,10968,24000,0.457
M02,leo_low_elev_weak,rx,9,16015,24000,0.6672916666666666
M02,leo_low_elev_weak,rx_day,0:0,3680,6000,0.6133333333333333
M02,leo_low_elev_weak,rx_day,0:1,4449,6000,0.7415
M02,leo_low_elev_weak,rx_day,0:2,4706,6000,0.7843333333333333
M02,leo_low_elev_weak,rx_day,0:3,3980,6000,0.6633333333333333
M02,leo_low_elev_weak,rx_day,10:0,4197,6000,0.6995
M02,leo_low_elev_weak,rx_day,10:1,3874,6000,0.6456666666666667
M02,leo_low_elev_weak,rx_day,10:2,3296,6000,0.5493333333333333
M02,leo_low_elev_weak,rx_day,10:3,4065,6000,0.6775
M02,leo_low_elev_weak,rx_day,11:0,3740,6000,0.6233333333333333
M02,leo_low_elev_weak,rx_day,11:1,3886,6000,0.6476666666666666
M02,leo_low_elev_weak,rx_day,11:2,3647,6000,0.6078333333333333
M02,leo_low_elev_weak,rx_day,11:3,3983,6000,0.6638333333333334
M02,leo_low_elev_weak,rx_day,2:0,2474,6000,0.41233333333333333
M02,leo_low_elev_weak,rx_day,2:1,2608,6000,0.43466666666666665
M02,leo_low_elev_weak,rx_day,2:2,2797,6000,0.4661666666666667
M02,leo_low_elev_weak,rx_day,2:3,3061,6000,0.5101666666666667
M02,leo_low_elev_weak,rx_day,5:0,3757,6000,0.6261666666666666
M02,leo_low_elev_weak,rx_day,5:1,4727,6000,0.7878333333333334
M02,leo_low_elev_weak,rx_day,5:2,4586,6000,0.7643333333333333
M02,leo_low_elev_weak,rx_day,5:3,3770,6000,0.6283333333333333
M02,leo_low_elev_weak,rx_day,7:0,3441,6000,0.5735
M02,leo_low_elev_weak,rx_day,7:1,2535,6000,0.4225
M02,leo_low_elev_weak,rx_day,7:2,2123,6000,0.35383333333333333
M02,leo_low_elev_weak,rx_day,7:3,2869,6000,0.4781666666666667
M02,leo_low_elev_weak,rx_day,9:0,3540,6000,0.59
M02,leo_low_elev_weak,rx_day,9:1,4121,6000,0.6868333333333333
M02,leo_low_elev_weak,rx_day,9:2,3736,6000,0.6226666666666667
M02,leo_low_elev_weak,rx_day,9:3,4618,6000,0.7696666666666667
M02,leo_low_elev_weak,rx_tx,0:0,2620,4000,0.655
M02,leo_low_elev_weak,rx_tx,0:1,1612,4000,0.403
