row_id,family,epoch,train_loss,train_loss_adv_confusion_labeled,train_loss_adv_discriminator_labeled,train_loss_adv_labeled,train_loss_closed_group,train_loss_cons_labeled,train_loss_crra_condition_tx_adv_labeled,train_loss_crra_energy_labeled,train_loss_crra_gate_l1_labeled,train_loss_crra_nuisance_labeled,train_loss_crra_pair_labeled,train_loss_crra_sat_shell_labeled,train_loss_daot_clean_anchor,train_loss_daot_fingerprint,train_loss_daot_nuisance,train_loss_daot_orbit_logit,train_loss_daot_orbit_proto,train_loss_daot_orbit_relation,train_loss_daot_orbit_z,train_loss_daot_route,train_loss_daot_rx,train_loss_daot_subspace,train_loss_daot_tail,train_loss_daot_tangent,train_loss_daot_total,train_loss_daot_unlabeled,train_loss_direct_metric_accept,train_loss_domain_labeled,train_loss_fishr_labeled,train_loss_group_ce_labeled,train_loss_labeled,train_loss_muse_local_labeled,train_loss_open_group,train_loss_open_world_feat,train_loss_orth_labeled,train_loss_proto_labeled,train_loss_proxy_unknown,train_loss_sat_cls_labeled,train_loss_sat_cons_labeled,train_loss_soft_unknown_mixup,train_loss_source_episode,train_loss_teacher_clean_kl,train_loss_teacher_sat_kl,train_loss_teacher_zid_mse,train_loss_tx_labeled,train_loss_u_adv,train_loss_u_direct_metric_accept,train_loss_u_domain,train_loss_u_quarantine_accept,train_loss_u_sat_cons,train_loss_u_zid_domain_invariance,train_loss_unlabeled,train_loss_zid_compact,train_loss_zid_domain_invariance,train_w_loss_adv_labeled,train_w_loss_cons_labeled,train_w_loss_crra_condition_tx_adv_labeled,train_w_loss_crra_energy_labeled,train_w_loss_crra_gate_l1_labeled,train_w_loss_crra_nuisance_labeled,train_w_loss_crra_pair_labeled,train_w_loss_crra_sat_kl_labeled,train_w_loss_crra_sat_shell_labeled,train_w_loss_direct_metric_accept,train_w_loss_domain_labeled,train_w_loss_fishr_labeled,train_w_loss_group_ce_labeled,train_w_loss_open_world_feat,train_w_loss_orth_labeled,train_w_loss_proto_labeled,train_w_loss_proxy_unknown,train_w_loss_sat_cls_labeled,train_w_loss_sat_cons_labeled,train_w_loss_soft_unknown_mixup,train_w_loss_source_episode,train_w_loss_teacher_clean_kl,train_w_loss_teacher_sat_kl,train_w_loss_teacher_zid_mse,train_w_loss_tx_labeled,train_w_loss_u_adv,train_w_loss_u_direct_metric_accept,train_w_loss_u_domain,train_w_loss_u_quarantine_accept,train_w_loss_u_sat_cons,train_w_loss_zid_compact
A1,V1,1,6.610314716089953,0.0,0.0,2.7094149074038945,6.609517039479436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2.421998522303126,0.004931626407490406,4.956249801962225,5.825124427004978,0.0,0.0007976592309910097,0.0,0.008179067491411089,0.24926851552634224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.341619854574805,0.0,0.0,0.0,0.0,0.0,0.0,0.7851903019724665,0.0,0.0,0.6638066653195802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.421998522303126,0.00019726505178295083,0.3964999756935212,0.0,0.0002044782982216225,0.0007976592309910097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.341619854574805,0.0,0.0,0.0,0.0,0.0,0.0
A1,V1,2,5.1002115043433935,0.0,0.0,2.6933669399570777,5.099436880231978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1.6446273267806113,0.0038584651798324507,3.9905301047875,4.501706983592059,0.0,0.0007746221011542287,0.0,0.008585124402432828,0.24206941292898074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8768187557254825,0.0,0.0,0.0,0.0,0.0,0.0,0.5985045317593995,0.0,0.0,0.6598749131232768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6446273267806113,0.0001543386038024396,0.319242401132444,0.0,0.0002146271971968917,0.0007746221011542287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8768187557254825,0.0,0.0,0.0,0.0,0.0,0.0
A1,V1,3,4.257575470048028,0.0,0.0,2.6792752570934124,4.256849444664277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1.2706256562525087,0.0029809996553881277,3.2830287728223713,3.7273357827384195,0.0,0.0007260281842743123,0.0,0.00860544153161951,0.22688381320184414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5365849652805843,0.0,0.0,0.0,0.0,0.0,0.0,0.5302396879808323,0.0,0.0,0.656422449124826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2706256562525087,0.00011923998367778909,0.2626422959472145,0.0,0.00021513598459260957,0.0007260281842743123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5365849652805843,0.0,0.0,0.0,0.0,0.0,0.0
A1,V1,4,3.7698911020347663,0.0,0.0,2.667053112038621,3.7692013495677226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1.0638316509959933,0.0026032272044586033,2.896246761486337,3.2758918340141707,0.0,0.0006897443381603807,0.0,0.008863590859078072,0.21554511181406072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.325916977280432,0.0,0.0,0.0,0.0,0.0,0.0,0.49399927594103255,0.0,0.0,0.653428025610812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0638316509959933,0.00010412908605340399,0.23169973520310344,0.0,0.00022158536825094138,0.0006897443381603807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.325916977280432,0.0,0.0,0.0,0.0,0.0,0.0
A1,V1,5,3.6327311058302185,0.0,0.0,2.668825468501529,3.6320503241307027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.9341166841017233,0.0024623906897718656,2.8401800599452613,3.161142058737643,0.0,0.0006807842443965644,0.0,0.009379612432943808,0.2127450820025023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3449349670528292,0.0,0.0,0.0,0.0,0.0,0.0,0.4715890505829373,0.0,0.0,0.6538622532341931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9341166841017233,9.849562517653491e-05,0.2272143992889035,0.0,0.00023448950535542257,0.0006807842443965644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3449349670528292,0.0,0.0,0.0,0.0,0.0,0.0
A1,V1,6,3.5438434073516913,0.0,0.0,2.6645763543275027,3.5431591986535906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.8656679512681188,0.0023358419650878763,2.704478819158163,3.088690171370635,0.0,0.0006841945680600868,0.0,0.010452522887839927,0.21381080841964428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3528037431003812,0.0,0.0,0.0,0.0,0.0,0.0,0.4551532362495457,0.0,0.0,0.6528212191822292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656679512681188,9.343367687281218e-05,0.21635830124655553,0.0,0.0002613148173770389,0.0006841945680600868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3528037431003812,0.0,0.0,0.0,0.0,0.0,0.0
A1,V1,7,3.3753668596078685,0.0,0.0,2.6662571365768843,3.3747004474605524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.8095728558999998,0.0022418888864293067,2.621854888594097,2.9290713189958453,0.0,0.0006664012346903349,0.0,0.0109016938252492,0.20825039071811213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.255488427372666,0.0,0.0,0.0,0.0,0.0,0.0,0.446295541551736,0.0,0.0,0.6532330107581508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8095728558999998,8.96755536993689e-05,0.2097483856083305,0.0,0.00027254492312938245,0.0006664012346903349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.255488427372666,0.0,0.0,0.0,0.0,0.0,0.0
A1,V1,8,3.403476781136281,0.0,0.0,2.668044220219861,3.400904155529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.7965744596880835,0.0023041263678900215,2.5844272217369295,2.9629700806763797,0.0,0.0025726180085241124,0.0,0.011236613935178465,0.20953809959931416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3030249076383609,0.0,0.0,0.0,0.0,0.0,0.0,0.44050669898320965,1.486012629560522,0.0,0.6536708466104559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7965744596880835,9.216505301360392e-05,0.2067541737205911,0.0,0.0002809180332733704,0.0006705219014432399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3030249076383609,0.0,0.0,0.0,0.0,0.0,0.001902096113504691
A1,V1,9,3.2150912311700015,0.0,0.0,2.671453112954492,3.2106699025308765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.7388874448097504,0.002100190581004754,2.4245459862925984,2.7804763676883937,0.0,0.004421327533703801,0.0,0.011046491227708422,0.20353078687781687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1883377252264067,0.0,0.0,0.0,0.0,0.0,0.0,0.4346148722075127,1.4726676291173644,0.0,0.6545060260875805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7388874448097504,8.400762121627768e-05,0.19396367398518566,0.0,0.00027616469709722843,0.0006512985012844323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1883377252264067,0.0,0.0,0.0,0.0,0.0,0.003770029031763877
A1,V1,10,3.2682191036842965,0.0,0.0,2.674506437671077,3.2618643072274356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.7259388234432753,0.0021982710882061714,2.493437554553017,2.8366738477268734,0.0,0.006354791313611172,0.0,0.010666464900111293,0.2073749791797217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.249296559171902,0.0,0.0,0.0,0.0,0.0,0.0,0.43154525542044425,1.4820811313551825,0.0,0.6552540888120463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7259388234432753,8.793084119539294e-05,0.1994749999831657,0.0,0.00026666232057519863,0.0006635999158895281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.249296559171902,0.0,0.0,0.0,0.0,0.0,0.005691191385005106
