method,n,clean,leo,sd,delta_clean,delta_leo,hours,positive
MATCHED_ZERO,3,82.56031746031746,72.3925113086184,0.15135753416259798,0.0,0.0,21.776886733306778,0
A_POINT,3,82.61289682539683,72.65950215815168,0.2333273918950505,0.052579365079367335,0.26699084953329094,40.48485992305809,2
ASYMMETRIC,3,82.6204365079365,72.59921820725772,0.20522544380145513,0.060119047619049105,0.20670689863932998,45.93612954331769,2
POINT_MEMORY,3,82.77678571428571,72.56926273288283,0.1234531580057871,0.216468253968254,0.1767514242644476,42.323188037077585,3
TANGENT,3,82.66666666666667,72.69387655445716,0.1269773382490922,0.10634920634920775,0.3013652458387668,47.131464414751086,2
ROUTE,3,82.7186507936508,72.66110599984187,0.22999027774036596,0.15833333333333618,0.2685946912234698,49.302740780644946,2
TANGENT_ROUTE,3,82.1984126984127,72.58965683549387,0.14001065527107492,-0.36190476190475823,0.19714552687548328,46.456597833699654,2
B_SAFE,2,82.46815476190477,72.55898252453095,0.15822072529806347,-0.09434523809523654,0.25385752199587586,44.69829263713625,2
