row_id,family,field,valid_epochs,first_epoch,first,last_epoch,last,min_epoch,min,max_epoch,max,mean,nonzero_epochs,first_nonzero_epoch
A1,V1,aug_cfo_max,200,1,4e-05,200,0.00014,1,4e-05,18,0.00014,0.00013458597719717913,200,1
A1,V1,aug_max_time_shift,200,1,3,200,11,1,3,17,11,10.58,200,1
A1,V1,aug_p_awgn,200,1,0.04000000000000001,200,0.13999999999999999,1,0.04000000000000001,18,0.13999999999999999,0.13458597719717913,200,1
A1,V1,aug_p_cfo,200,1,0.034999999999999996,200,0.12249999999999998,1,0.034999999999999996,18,0.12249999999999998,0.11776273004753174,200,1
A1,V1,aug_p_dac,200,1,0.0,200,0.0,1,0.0,1,0.0,0.0,0,
A1,V1,aug_p_multipath,200,1,0.018,200,0.063,1,0.018,18,0.063,0.060563689738730615,200,1
A1,V1,aug_p_pa,200,1,0.014000000000000002,200,0.049,1,0.014000000000000002,18,0.049,0.0471050920190127,200,1
A1,V1,aug_p_time_shift,200,1,0.034999999999999996,200,0.12249999999999998,1,0.034999999999999996,18,0.12249999999999998,0.11776273004753174,200,1
A1,V1,aug_phase_noise_sigma_max,200,1,0.0006000000000000001,200,0.0021,1,0.0006000000000000001,18,0.0021,0.002018789657957687,200,1
A1,V1,aug_scale,200,1,0.1,200,0.35,1,0.1,18,0.35,0.3364649429929478,200,1
A1,V1,best_epoch,200,1,1,200,165,1,1,165,165,87.825,200,1
A1,V1,best_score,200,1,85.25169853793403,200,92.61329897226761,1,85.25169853793403,165,92.61329897226761,90.65011368742174,200,1
A1,V1,best_val_tx,200,1,93.91481481481482,200,98.42222222222222,1,93.91481481481482,165,98.42222222222222,98.2235,200,1
A1,V1,concat_sat_ce_weight,200,1,1.0,200,1.0,1,1.0,1,1.0,1.0,200,1
A1,V1,concat_sat_start_epoch,200,1,1,200,1,1,1,1,1,1,200,1
A1,V1,direct_metric_accept_cvar_alpha,200,1,0.25,200,0.25,1,0.25,1,0.25,0.25,200,1
A1,V1,direct_metric_accept_quantile,200,1,0.8,200,0.8,1,0.8,1,0.8,0.8,200,1
A1,V1,direct_metric_bridge_accept_target,200,1,0.25,200,0.25,1,0.25,1,0.25,0.25,200,1
A1,V1,direct_metric_bridge_accept_weight,200,1,1.0,200,1.0,1,1.0,1,1.0,1.0,200,1
A1,V1,direct_metric_core_accept_target,200,1,0.82,200,0.82,1,0.82,1,0.82,0.82,200,1
A1,V1,direct_metric_core_accept_weight,200,1,0.25,200,0.25,1,0.25,1,0.25,0.25,200,1
A1,V1,direct_metric_core_quantile,200,1,0.7,200,0.7,1,0.7,1,0.7,0.7,200,1
A1,V1,direct_metric_low_density_accept_target,200,1,0.12,200,0.12,1,0.12,1,0.12,0.12,200,1
A1,V1,direct_metric_low_density_accept_weight,200,1,1.0,200,1.0,1,1.0,1,1.0,1.0,200,1
A1,V1,direct_metric_overflow_accept_target,200,1,0.2,200,0.2,1,0.2,1,0.2,0.2,200,1
A1,V1,direct_metric_overflow_accept_weight,200,1,1.0,200,1.0,1,1.0,1,1.0,1.0,200,1
A1,V1,direct_metric_overflow_quantile,200,1,0.97,200,0.97,1,0.97,1,0.97,0.97,200,1
A1,V1,direct_metric_proxy_vaccept_target,200,1,0.35,200,0.35,1,0.35,1,0.35,0.35,200,1
A1,V1,direct_metric_proxy_vaccept_weight,200,1,1.0,200,1.0,1,1.0,1,1.0,1.0,200,1
A1,V1,direct_metric_radius_inter_ratio_target,200,1,0.85,200,0.85,1,0.85,1,0.85,0.85,200,1
A1,V1,direct_metric_radius_inter_ratio_weight,200,1,1.0,200,1.0,1,1.0,1,1.0,1.0,200,1
A1,V1,direct_metric_sat_pair_target_deg,200,1,10.0,200,10.0,1,10.0,1,10.0,10.0,200,1
A1,V1,direct_metric_sat_pair_weight,200,1,0.0,200,0.0,1,0.0,1,0.0,0.0,0,
A1,V1,direct_metric_source_overflow_target,200,1,0.45,200,0.45,1,0.45,1,0.45,0.45,200,1
A1,V1,direct_metric_source_overflow_weight,200,1,1.0,200,1.0,1,1.0,1,1.0,1.0,200,1
A1,V1,direct_metric_start_epoch,200,1,20,200,20,1,20,1,20,20,200,1
A1,V1,direct_metric_tail_accept_target,200,1,0.35,200,0.35,1,0.35,1,0.35,0.35,200,1
A1,V1,direct_metric_tail_accept_weight,200,1,1.0,200,1.0,1,1.0,1,1.0,1.0,200,1
A1,V1,direct_metric_tail_quantile,200,1,0.9,200,0.9,1,0.9,1,0.9,0.9,200,1
A1,V1,direct_metric_virtual_count,200,1,32,200,32,1,32,1,32,32,200,1
A1,V1,direct_metric_warmup_epochs,200,1,20,200,20,1,20,1,20,20,200,1
A1,V1,direct_metric_zid_p50_target_deg,200,1,28.0,200,28.0,1,28.0,1,28.0,28.0,200,1
A1,V1,direct_metric_zid_p95_target_deg,200,1,54.0,200,54.0,1,54.0,1,54.0,54.0,200,1
A1,V1,direct_metric_zid_p99_target_deg,200,1,70.0,200,70.0,1,70.0,1,70.0,70.0,200,1
A1,V1,direct_metric_zid_quantile_weight,200,1,1.0,200,1.0,1,1.0,1,1.0,1.0,200,1
A1,V1,direct_metric_zid_tail_cvar_target_deg,200,1,56.0,200,56.0,1,56.0,1,56.0,56.0,200,1
A1,V1,epoch,200,1,1,200,200,1,1,200,200,100.5,200,1
A1,V1,epoch_time_s,200,1,201.77094912528992,200,365.7120101451874,11,156.18845796585083,114,887.4215812683105,450.2895547020435,200,1
A1,V1,epochs,200,1,200,200,200,1,200,1,200,200,200,1
A1,V1,group_ce_top_frac,200,1,0.35,200,0.35,1,0.35,1,0.35,0.35,200,1
A1,V1,joint_guard_missing_required_metric_count,200,1,0,200,0,1,0,1,0,0,0,
A1,V1,joint_guard_paic_cooldown_remaining,200,1,0,200,0,1,0,1,0,0,0,
A1,V1,joint_guard_paic_domain_loss_delta,70,131,2.1384140908181166,200,0.9384435705236456,184,-2.2843689789643236,139,4.047945555265969,1.0942309037138598,70,131
A1,V1,joint_guard_paic_grad_total_delta,70,131,-7.666819890062015e-08,200,4.583537371871671e-08,149,-0.021301842991266362,153,0.017192657842693748,-1.2959174051323836e-10,70,131
A1,V1,joint_guard_paic_pseudo_reliable_drop,70,131,0.00015836148648648574,200,8.797860360360357e-05,156,-0.002639358108108114,161,0.1941233698513594,0.002548468507529072,69,131
A1,V1,joint_guard_paic_sat_ce_delta,70,131,-0.011390279307290196,200,-0.09054806688380923,193,-0.2048003123150215,154,0.21930069763314064,-0.000919156689005047,70,131
A1,V1,joint_guard_paic_sat_cons_delta,70,131,0.0,200,0.0,131,0.0,131,0.0,0.0,0,
A1,V1,joint_guard_phase1_v2_tail_rollback_reference_epoch,200,1,-1,200,-1,1,-1,1,-1,-1,200,1
A1,V1,joint_guard_source_val_dg_health_bad_epochs,200,1,0,200,0,1,0,1,0,0,0,
A1,V1,joint_guard_source_val_dg_health_best_val,200,1,93.91481481481482,200,98.42962962962963,1,93.91481481481482,173,98.42962962962963,98.28572222222222,200,1
A1,V1,joint_guard_source_val_dg_health_drop_pp,200,1,0.0,200,0.04444444444445139,1,0.0,55,81.66296296296295,14.327888888888886,180,7
A1,V1,joint_guard_source_val_dg_health_open_scale,200,1,1.0,200,1.0,1,1.0,1,1.0,1.0,200,1
A1,V1,label_epochs,200,1,130,200,130,1,130,1,130,130,200,1
A1,V1,label_smoothing,200,1,0.01,200,0.01,1,0.01,1,0.01,0.01,200,1
A1,V1,labeled_ratio,200,1,0.07,200,0.07,1,0.07,1,0.07,0.07,200,1
A1,V1,lambda_adv,200,1,0.35,200,0.35,1,0.35,1,0.35,0.35,200,1
A1,V1,lambda_cons,200,1,0.08,200,0.08,1,0.08,1,0.08,0.08,200,1
A1,V1,lambda_crra_pair,200,1,0.05,200,0.05,1,0.05,1,0.05,0.05,200,1
A1,V1,lambda_crra_sat_kl,200,1,0.05,200,0.05,1,0.05,1,0.05,0.05,200,1
A1,V1,lambda_crra_sat_shell,200,1,0.0,200,0.0,1,0.0,1,0.0,0.0,0,
A1,V1,lambda_direct_metric_accept,200,1,0.0,200,0.0,1,0.0,1,0.0,0.0,0,
A1,V1,lambda_domain,200,1,1.0,200,1.0,1,1.0,1,1.0,1.0,200,1
A1,V1,lambda_ent,200,1,0.01,200,0.01,1,0.01,1,0.01,0.01,200,1
A1,V1,lambda_fishr,200,1,0.04,200,0.04,1,0.04,1,0.04,0.04,200,1
A1,V1,lambda_group_ce,200,1,0.16,200,0.16,1,0.16,1,0.16,0.16,200,1
A1,V1,lambda_open_world_feat,200,1,0.0024,200,0.0024,1,0.0024,1,0.0024,0.0024,200,1
A1,V1,lambda_orth,200,1,0.05,200,0.05,1,0.05,1,0.05,0.05,200,1
A1,V1,lambda_proto,200,1,0.0032,200,0.0032,1,0.0032,1,0.0032,0.0032,200,1
A1,V1,lambda_proxy_unknown,200,1,0.0045,200,0.0045,1,0.0045,1,0.0045,0.0045,200,1
A1,V1,lambda_sat_cls,200,1,0.68,200,0.68,1,0.68,1,0.68,0.68,200,1
A1,V1,lambda_sat_cons,200,1,0.0,200,0.0,1,0.0,1,0.0,0.0,0,
A1,V1,lambda_soft_unknown_mixup,200,1,0.0045,200,0.0045,1,0.0045,1,0.0045,0.0045,200,1
A1,V1,lambda_source_episode,200,1,0.0035,200,0.0035,1,0.0035,1,0.0035,0.0035,200,1
A1,V1,lambda_u,200,1,0.16,200,0.16,1,0.16,1,0.16,0.16,200,1
A1,V1,lambda_u_adv,200,1,0.0,200,0.0,1,0.0,1,0.0,0.0,0,
A1,V1,lambda_u_direct_metric_accept,200,1,0.0,200,0.0,1,0.0,1,0.0,0.0,0,
A1,V1,lambda_u_domain,200,1,0.0,200,0.0,1,0.0,1,0.0,0.0,0,
A1,V1,lambda_u_quarantine_accept,200,1,0.0,200,0.0,1,0.0,1,0.0,0.0,0,
A1,V1,lambda_u_sat_cons,200,1,0.0,200,0.0,1,0.0,1,0.0,0.0,0,
A1,V1,lambda_zid_compact,200,1,0.032,200,0.032,1,0.032,1,0.032,0.032,200,1
A1,V1,loss_weight_adv,200,1,0.24499999999999997,200,0.35,1,0.24499999999999997,68,0.35,0.3244912399223741,200,1
A1,V1,loss_weight_cons,200,1,0.0,200,0.08,1,0.0,85,0.08,0.060612034452884926,184,17
A1,V1,loss_weight_direct_metric_accept,200,1,0.0,200,0.0,1,0.0,1,0.0,0.0,0,
A1,V1,loss_weight_dom,200,1,1.0,200,1.0,1,1.0,1,1.0,1.0,200,1
A1,V1,loss_weight_fishr,200,1,0.04,200,0.04,1,0.04,1,0.04,0.04,200,1
A1,V1,loss_weight_group_ce,200,1,0.08,200,0.16,1,0.08,68,0.16,0.14577885253594247,200,1
A1,V1,loss_weight_open_world_feat,200,1,0.0024,200,0.0024,1,0.0024,1,0.0024,0.0024,200,1
A1,V1,loss_weight_orth,200,1,0.025,200,0.05,1,0.025,17,0.05,0.048,200,1
A1,V1,loss_weight_proto,200,1,0.0032,200,0.0032,1,0.0032,1,0.0032,0.0032,200,1
A1,V1,loss_weight_proxy_unknown,200,1,0.0045,200,0.0045,1,0.0045,1,0.0045,0.0045,200,1
