reference_arm,receiver,seed,k_shot,current_old_acc,reference_old_acc,delta_old_acc,current_seen_new_acc,reference_seen_new_acc,delta_seen_new_acc,current_H_old_new,reference_H_old_new,delta_H_old_new
full_legacy_oracle_strict,20-1,713101,1,0.5166666666666666,0.6027777777777777,-0.08611111111111114,0.6333333333333333,0.8666666666666667,-0.2333333333333334,0.5642065600303586,0.7089560207567374,-0.14474946072637873
singleview_fft96_strict,20-1,713101,1,0.5166666666666666,0.6444444444444444,-0.12777777777777777,0.6333333333333333,0.48333333333333334,0.14999999999999997,0.5642065600303586,0.5432385520229218,0.02096800800743681
full_legacy_oracle_strict,20-1,713101,10,0.8194444444444445,0.8111111111111112,0.008333333333333304,0.7833333333333333,0.9666666666666667,-0.18333333333333335,0.7986697805118856,0.8813130510572112,-0.08264327054532561
singleview_fft96_strict,20-1,713101,10,0.8194444444444445,0.8555555555555555,-0.03611111111111098,0.7833333333333333,0.7999999999999999,-0.016666666666666607,0.7986697805118856,0.8262300849374279,-0.027560304425542248
full_legacy_oracle_strict,20-1,713101,2,0.6583333333333333,0.7027777777777778,-0.04444444444444451,0.7000000000000001,0.9499999999999998,-0.24999999999999978,0.6780127814972611,0.8075599319291668,-0.12954715043190568
singleview_fft96_strict,20-1,713101,2,0.6583333333333333,0.7416666666666667,-0.08333333333333337,0.7000000000000001,0.6749999999999999,0.025000000000000133,0.6780127814972611,0.7046652232826677,-0.0266524417854066
full_legacy_oracle_strict,20-1,713101,20,0.8555555555555556,0.8694444444444445,-0.01388888888888884,0.85,0.9666666666666667,-0.1166666666666667,0.8526394221054758,0.9148693834900731,-0.06222996138459724
singleview_fft96_strict,20-1,713101,20,0.8555555555555556,0.8888888888888888,-0.033333333333333215,0.85,0.8250000000000001,0.02499999999999991,0.8526394221054758,0.8545755070717344,-0.0019360849662585222
full_legacy_oracle_strict,20-1,713101,5,0.7694444444444444,0.8166666666666668,-0.04722222222222239,0.6999999999999998,0.9666666666666667,-0.26666666666666683,0.7284644195450928,0.8840964723559744,-0.15563205281088166
singleview_fft96_strict,20-1,713101,5,0.7694444444444444,0.7944444444444444,-0.025000000000000022,0.6999999999999998,0.7583333333333334,-0.05833333333333357,0.7284644195450928,0.7740353817504655,-0.04557096220537271
full_legacy_oracle_strict,20-1,713102,1,0.6138888888888889,0.7388888888888889,-0.125,0.65,0.8333333333333334,-0.18333333333333335,0.6245459486194423,0.7823025498124979,-0.15775660119305557
singleview_fft96_strict,20-1,713102,1,0.6138888888888889,0.6333333333333334,-0.019444444444444486,0.65,0.5750000000000001,0.07499999999999996,0.6245459486194423,0.5990210816833897,0.025524866936052604
full_legacy_oracle_strict,20-1,713102,10,0.8555555555555556,0.8944444444444445,-0.03888888888888886,0.85,0.9833333333333334,-0.13333333333333341,0.8519779381770943,0.9366089466089466,-0.08463100843185223
singleview_fft96_strict,20-1,713102,10,0.8555555555555556,0.8194444444444443,0.036111111111111316,0.85,0.8583333333333334,-0.008333333333333415,0.8519779381770943,0.838416786312515,0.01356115186457929
full_legacy_oracle_strict,20-1,713102,2,0.6555555555555556,0.7777777777777778,-0.12222222222222223,0.7000000000000001,0.8999999999999999,-0.19999999999999984,0.6766327630115155,0.8341543918467976,-0.1575216288352821
singleview_fft96_strict,20-1,713102,2,0.6555555555555556,0.6444444444444445,0.011111111111111072,0.7000000000000001,0.6,0.10000000000000009,0.6766327630115155,0.6209624546527384,0.055670308358777176
full_legacy_oracle_strict,20-1,713102,20,0.8861111111111111,0.8972222222222221,-0.011111111111111072,0.875,0.9833333333333334,-0.10833333333333339,0.8798563722622993,0.9382626773364535,-0.05840630507415423
singleview_fft96_strict,20-1,713102,20,0.8861111111111111,0.8638888888888889,0.022222222222222143,0.875,0.8583333333333334,0.016666666666666607,0.8798563722622993,0.8603516735645664,0.01950469869773286
full_legacy_oracle_strict,20-1,713102,5,0.8194444444444443,0.8444444444444444,-0.025000000000000133,0.7999999999999999,0.9666666666666667,-0.16666666666666674,0.808912678714809,0.8998588793889525,-0.0909462006741435
singleview_fft96_strict,20-1,713102,5,0.8194444444444443,0.7583333333333334,0.061111111111110894,0.7999999999999999,0.7583333333333333,0.04166666666666663,0.808912678714809,0.7573928258747605,0.05151985284004845
full_legacy_oracle_strict,20-1,713103,1,0.625,0.7361111111111112,-0.11111111111111116,0.6499999999999999,0.8833333333333334,-0.2333333333333335,0.628101368065021,0.8012078135096178,-0.17310644544459675
singleview_fft96_strict,20-1,713103,1,0.625,0.43333333333333335,0.19166666666666665,0.6499999999999999,0.625,0.02499999999999991,0.628101368065021,0.5110046671579465,0.11709670090707458
full_legacy_oracle_strict,20-1,713103,10,0.7972222222222222,0.8611111111111112,-0.063888888888889,0.7749999999999999,0.9333333333333332,-0.15833333333333333,0.7855877989028844,0.8954007174932892,-0.10981291859040476
singleview_fft96_strict,20-1,713103,10,0.7972222222222222,0.8305555555555556,-0.03333333333333344,0.7749999999999999,0.7666666666666666,0.008333333333333304,0.7855877989028844,0.7965678824721377,-0.010980083569253285
full_legacy_oracle_strict,20-1,713103,2,0.6944444444444445,0.7388888888888889,-0.0444444444444444,0.6833333333333332,0.9499999999999998,-0.2666666666666666,0.6847870321823585,0.8306395574403033,-0.1458525252579448
singleview_fft96_strict,20-1,713103,2,0.6944444444444445,0.6,0.09444444444444455,0.6833333333333332,0.6083333333333333,0.07499999999999996,0.6847870321823585,0.6014288905986839,0.0833581415836746
full_legacy_oracle_strict,20-1,713103,20,0.875,0.9249999999999999,-0.04999999999999993,0.7666666666666666,0.9499999999999998,-0.18333333333333324,0.8157821538778461,0.9372530395136778,-0.12147088563583164
singleview_fft96_strict,20-1,713103,20,0.875,0.8805555555555555,-0.005555555555555536,0.7666666666666666,0.8333333333333334,-0.06666666666666676,0.8157821538778461,0.8561254836926478,-0.04034332981480171
full_legacy_oracle_strict,20-1,713103,5,0.7861111111111111,0.75,0.036111111111111094,0.7166666666666667,0.9166666666666666,-0.19999999999999996,0.749550822055587,0.8249380437197696,-0.07538722166418266
singleview_fft96_strict,20-1,713103,5,0.7861111111111111,0.775,0.011111111111111072,0.7166666666666667,0.6999999999999998,0.01666666666666683,0.749550822055587,0.7328607747122694,0.016690047343317582
full_legacy_oracle_strict,20-1,713104,1,0.5444444444444444,0.7083333333333334,-0.16388888888888897,0.7166666666666667,0.8666666666666667,-0.15000000000000002,0.6157942872660841,0.7777194803841674,-0.1619251931180833
singleview_fft96_strict,20-1,713104,1,0.5444444444444444,0.5361111111111111,0.008333333333333304,0.7166666666666667,0.6083333333333333,0.10833333333333339,0.6157942872660841,0.5689948049231198,0.04679948234296427
full_legacy_oracle_strict,20-1,713104,10,0.7777777777777778,0.8277777777777778,-0.050000000000000044,0.8249999999999998,0.9499999999999998,-0.125,0.8001914333572624,0.8845275301637915,-0.08433609680652909
singleview_fft96_strict,20-1,713104,10,0.7777777777777778,0.8027777777777777,-0.02499999999999991,0.8249999999999998,0.7583333333333333,0.06666666666666654,0.8001914333572624,0.7797604197604198,0.02043101359684263
full_legacy_oracle_strict,20-1,713104,2,0.6166666666666667,0.725,-0.10833333333333328,0.7583333333333334,0.9,-0.1416666666666666,0.6795655100889721,0.8028512407397814,-0.12328573065080928
singleview_fft96_strict,20-1,713104,2,0.6166666666666667,0.6833333333333332,-0.06666666666666654,0.7583333333333334,0.6749999999999999,0.08333333333333348,0.6795655100889721,0.679028841061197,0.0005366690277751607
full_legacy_oracle_strict,20-1,713104,20,0.8611111111111112,0.9138888888888889,-0.0527777777777777,0.8416666666666668,0.9499999999999998,-0.10833333333333306,0.8511938896070599,0.931545504542124,-0.08035161493506415
singleview_fft96_strict,20-1,713104,20,0.8611111111111112,0.8194444444444445,0.04166666666666663,0.8416666666666668,0.775,0.06666666666666676,0.8511938896070599,0.7949327906910093,0.05626109891605058
full_legacy_oracle_strict,20-1,713104,5,0.7083333333333334,0.8222222222222223,-0.11388888888888893,0.8166666666666668,0.9500000000000001,-0.1333333333333333,0.7585349891582891,0.8805576689491317,-0.12202267979084258
singleview_fft96_strict,20-1,713104,5,0.7083333333333334,0.7388888888888889,-0.030555555555555558,0.8166666666666668,0.7083333333333334,0.10833333333333339,0.7585349891582891,0.7230808987760207,0.03545409038226843
full_legacy_oracle_strict,20-1,713105,1,0.6333333333333333,0.6916666666666668,-0.05833333333333346,0.525,0.85,-0.32499999999999996,0.5715380960350002,0.7578772985351018,-0.1863392025001016
singleview_fft96_strict,20-1,713105,1,0.6333333333333333,0.5638888888888889,0.06944444444444442,0.525,0.525,0.0,0.5715380960350002,0.5416373220477698,0.029900773987230345
full_legacy_oracle_strict,20-1,713105,10,0.8638888888888889,0.8805555555555555,-0.016666666666666607,0.7000000000000001,0.9666666666666667,-0.2666666666666666,0.7692708371854516,0.9206889528535006,-0.15141811566804897
singleview_fft96_strict,20-1,713105,10,0.8638888888888889,0.8722222222222221,-0.008333333333333193,0.7000000000000001,0.7583333333333333,-0.05833333333333324,0.7692708371854516,0.8111962110348926,-0.04192537384944095
full_legacy_oracle_strict,20-1,713105,2,0.7000000000000001,0.763888888888889,-0.06388888888888888,0.5833333333333334,0.9166666666666666,-0.33333333333333326,0.6357281402049302,0.8331185363372656,-0.19739039613233544
