arm,experiment_id,receiver,seed,k_shot,old_acc,seen_new_acc,H_old_new,average_forgetting,min_old_class_acc,min_seen_new_class_acc,run_dir,min_old_new,joint_score
full_nonoracle_strict,cvs_qknnv42_stage2c_rx20-1_k1_seed713104,20-1,713104,1,0.5444444444444444,0.7166666666666667,0.6157942872660841,0.10277777777777776,0.25,0.5166666666666667,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_20-1\seed_713104\k_1\cvs_qknnv42,0.5444444444444444,0.6256351327923984
full_nonoracle_strict,cvs_qknnv42_stage2c_rx20-1_k10_seed713104,20-1,713104,10,0.7777777777777778,0.8249999999999998,0.8001914333572624,0.013888888888888876,0.5166666666666667,0.7,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_20-1\seed_713104\k_10\cvs_qknnv42,0.7777777777777778,0.8009897370450133
full_nonoracle_strict,cvs_qknnv42_stage2c_rx20-1_k2_seed713104,20-1,713104,2,0.6166666666666667,0.7583333333333334,0.6795655100889721,0.07777777777777779,0.25,0.5833333333333334,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_20-1\seed_713104\k_2\cvs_qknnv42,0.6166666666666667,0.6848551700296573
full_nonoracle_strict,cvs_qknnv42_stage2c_rx20-1_k20_seed713104,20-1,713104,20,0.8611111111111112,0.8416666666666668,0.8511938896070599,-0.00833333333333334,0.7,0.7,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_20-1\seed_713104\k_20\cvs_qknnv42,0.8416666666666668,0.8513238891282793
full_nonoracle_strict,cvs_qknnv42_stage2c_rx20-1_k5_seed713104,20-1,713104,5,0.7083333333333334,0.8166666666666668,0.7585349891582891,0.03333333333333329,0.3333333333333333,0.6666666666666666,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_20-1\seed_713104\k_5\cvs_qknnv42,0.7083333333333334,0.7611783297194297
full_nonoracle_strict,cvs_qknnv42_stage2c_rx20-1_k1_seed713105,20-1,713105,1,0.6333333333333333,0.525,0.5715380960350002,0.055555555555555546,0.31666666666666665,0.15,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_20-1\seed_713105\k_1\cvs_qknnv42,0.525,0.5766238097894445
full_nonoracle_strict,cvs_qknnv42_stage2c_rx20-1_k10_seed713105,20-1,713105,10,0.8638888888888889,0.7000000000000001,0.7692708371854516,0.002777777777777731,0.6666666666666666,0.43333333333333335,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_20-1\seed_713105\k_10\cvs_qknnv42,0.7000000000000001,0.7777199086914469
full_nonoracle_strict,cvs_qknnv42_stage2c_rx20-1_k2_seed713105,20-1,713105,2,0.7000000000000001,0.5833333333333334,0.6357281402049302,0.03888888888888886,0.43333333333333335,0.23333333333333334,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_20-1\seed_713105\k_2\cvs_qknnv42,0.5833333333333334,0.6396871578460879
full_nonoracle_strict,cvs_qknnv42_stage2c_rx20-1_k20_seed713105,20-1,713105,20,0.8972222222222221,0.7833333333333332,0.8341485204412837,-0.002777777777777842,0.75,0.5833333333333334,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_20-1\seed_713105\k_20\cvs_qknnv42,0.7833333333333332,0.8382346919989464
full_nonoracle_strict,cvs_qknnv42_stage2c_rx20-1_k5_seed713105,20-1,713105,5,0.8277777777777778,0.65,0.7257920860506221,0.005555555555555536,0.5833333333333334,0.35,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_20-1\seed_713105\k_5\cvs_qknnv42,0.65,0.7345232879428
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k1_seed713101,3-19,713101,1,0.5555555555555556,0.3333333333333333,0.4113885876931418,0.0444444444444444,0.26666666666666666,0.15,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713101\k_1\cvs_qknnv42,0.3333333333333333,0.43342582552734354
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k10_seed713101,3-19,713101,10,0.7000000000000001,0.5916666666666667,0.6409869281045751,0.04999999999999997,0.3333333333333333,0.45,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713101\k_10\cvs_qknnv42,0.5916666666666667,0.6442178649237472
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k2_seed713101,3-19,713101,2,0.6055555555555555,0.39166666666666666,0.4747834589424709,0.08055555555555556,0.3,0.2833333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713101\k_2\cvs_qknnv42,0.39166666666666666,0.49066856038823103
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k20_seed713101,3-19,713101,20,0.7166666666666668,0.6750000000000002,0.694905648997036,0.05833333333333335,0.45,0.5333333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713101\k_20\cvs_qknnv42,0.6750000000000002,0.6955241052212343
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k5_seed713101,3-19,713101,5,0.6611111111111111,0.39999999999999997,0.4972947746621885,0.08611111111111114,0.35,0.18333333333333332,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713101\k_5\cvs_qknnv42,0.39999999999999997,0.5194686285910999
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k1_seed713102,3-19,713102,1,0.4833333333333332,0.4166666666666667,0.41915155603381354,0.06388888888888893,0.06666666666666667,0.25,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713102\k_1\cvs_qknnv42,0.4166666666666667,0.43971718534460447
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k10_seed713102,3-19,713102,10,0.6777777777777777,0.6999999999999998,0.6847025683700672,0.10555555555555556,0.31666666666666665,0.55,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713102\k_10\cvs_qknnv42,0.6777777777777777,0.6874934487159482
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k2_seed713102,3-19,713102,2,0.5916666666666667,0.525,0.5376550861163248,0.08055555555555553,0.23333333333333334,0.4,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713102\k_2\cvs_qknnv42,0.525,0.5514405842609972
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k20_seed713102,3-19,713102,20,0.6999999999999998,0.7000000000000001,0.6993671630823827,0.08333333333333333,0.45,0.5333333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713102\k_20\cvs_qknnv42,0.6999999999999998,0.6997890543607942
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k5_seed713102,3-19,713102,5,0.6527777777777778,0.5166666666666666,0.5740907512265462,0.06666666666666665,0.25,0.3333333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713102\k_5\cvs_qknnv42,0.5166666666666666,0.5811783985569968
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k1_seed713103,3-19,713103,1,0.5277777777777778,0.375,0.4355948489585801,0.075,0.16666666666666666,0.13333333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713103\k_1\cvs_qknnv42,0.375,0.4461242089121193
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k10_seed713103,3-19,713103,10,0.6805555555555555,0.65,0.6643311210618903,0.052777777777777736,0.45,0.4666666666666667,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713103\k_10\cvs_qknnv42,0.65,0.6649622255391486
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k2_seed713103,3-19,713103,2,0.5833333333333334,0.525,0.519864722257282,0.08611111111111114,0.18333333333333332,0.35,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713103\k_2\cvs_qknnv42,0.525,0.5427326851968718
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k20_seed713103,3-19,713103,20,0.7222222222222223,0.7083333333333334,0.7140277825971292,0.061111111111111116,0.5,0.5166666666666667,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713103\k_20\cvs_qknnv42,0.7083333333333334,0.7148611127175616
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k5_seed713103,3-19,713103,5,0.6472222222222223,0.625,0.6319090896699313,0.06666666666666665,0.38333333333333336,0.43333333333333335,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713103\k_5\cvs_qknnv42,0.625,0.6347104372973845
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k1_seed713104,3-19,713104,1,0.5944444444444444,0.21666666666666667,0.30857189703230037,0.0472222222222222,0.31666666666666665,0.18333333333333332,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713104\k_1\cvs_qknnv42,0.21666666666666667,0.37322766938113716
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k10_seed713104,3-19,713104,10,0.6777777777777777,0.5083333333333333,0.5788057739136876,0.044444444444444474,0.2,0.3333333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713104\k_10\cvs_qknnv42,0.5083333333333333,0.5883056283415995
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k2_seed713104,3-19,713104,2,0.5944444444444444,0.39999999999999997,0.465284439824881,0.05277777777777778,0.36666666666666664,0.31666666666666665,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713104\k_2\cvs_qknnv42,0.39999999999999997,0.4865762947564418
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k20_seed713104,3-19,713104,20,0.7166666666666667,0.6416666666666666,0.6768158533422262,0.04722222222222224,0.35,0.43333333333333335,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713104\k_20\cvs_qknnv42,0.6416666666666666,0.6783830622251865
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k5_seed713104,3-19,713104,5,0.6444444444444445,0.35000000000000003,0.4357172065274941,0.06944444444444442,0.2833333333333333,0.23333333333333334,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713104\k_5\cvs_qknnv42,0.35000000000000003,0.47672055032397953
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k1_seed713105,3-19,713105,1,0.5555555555555555,0.4666666666666666,0.5036460929642748,0.09166666666666669,0.25,0.25,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713105\k_1\cvs_qknnv42,0.4666666666666666,0.5086227717288323
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k10_seed713105,3-19,713105,10,0.7222222222222222,0.625,0.6684144343253439,0.0472222222222222,0.5,0.43333333333333335,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713105\k_10\cvs_qknnv42,0.625,0.6718788855158554
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k2_seed713105,3-19,713105,2,0.5972222222222222,0.525,0.5521997603335632,0.11388888888888893,0.31666666666666665,0.3333333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713105\k_2\cvs_qknnv42,0.525,0.5581406608519285
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k20_seed713105,3-19,713105,20,0.7416666666666667,0.6666666666666666,0.7011509787733504,0.061111111111111116,0.5,0.5,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713105\k_20\cvs_qknnv42,0.6666666666666666,0.7031614373688946
full_nonoracle_strict,cvs_qknnv42_stage2c_rx3-19_k5_seed713105,3-19,713105,5,0.6833333333333335,0.5499999999999999,0.5999697348575057,0.07222222222222219,0.35,0.43333333333333335,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_3-19\seed_713105\k_5\cvs_qknnv42,0.5499999999999999,0.6111010227302797
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k1_seed713101,7-14,713101,1,0.8555555555555555,0.5666666666666665,0.675610788024247,0.0027777777777778048,0.5833333333333334,0.38333333333333336,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713101\k_1\cvs_qknnv42,0.5666666666666665,0.6992776700821564
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k10_seed713101,7-14,713101,10,0.9138888888888889,0.7166666666666667,0.8030665104776779,0.005555555555555536,0.75,0.48333333333333334,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713101\k_10\cvs_qknnv42,0.7166666666666667,0.8112073553444111
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k2_seed713101,7-14,713101,2,0.9111111111111111,0.6749999999999999,0.7754786432051315,-0.002777777777777768,0.7,0.4,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713101\k_2\cvs_qknnv42,0.6749999999999999,0.7871965847720809
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k20_seed713101,7-14,713101,20,0.9277777777777777,0.7416666666666667,0.8239055135413039,0.005555555555555536,0.8166666666666667,0.5333333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713101\k_20\cvs_qknnv42,0.7416666666666667,0.8311166526619161
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k5_seed713101,7-14,713101,5,0.9194444444444444,0.6916666666666665,0.7892258619415736,0.005555555555555536,0.7833333333333333,0.43333333333333335,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713101\k_5\cvs_qknnv42,0.6916666666666665,0.8001123243508949
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k1_seed713102,7-14,713102,1,0.8472222222222223,0.7333333333333334,0.7860706504824152,0.033333333333333326,0.6666666666666666,0.5,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713102\k_1\cvs_qknnv42,0.7333333333333334,0.7888754020126569
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k10_seed713102,7-14,713102,10,0.9194444444444444,0.8083333333333332,0.8601693625688953,0.002777777777777768,0.7166666666666667,0.6166666666666667,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713102\k_10\cvs_qknnv42,0.8083333333333332,0.8626490467822242
