collab_count,old_acc,min_old_class_acc,seen_new_acc,min_seen_new_class_acc,unknown_reject_rate,unknown_FAR,known_coverage,defer_rate,request_more_rate,bytes_per_event,latency_ms_p95,meets_old_goal,meets_seen_new_goal,meets_unknown_goal
1,0.09686609686609686,0.0,0.0,0.0,0.9743589743589743,0.02564102564102564,0.05170068027210884,0.0,0.0,96.0,2.1030004872855814,False,False,False
2,0.13675213675213677,0.0,0.0,0.0,0.958974358974359,0.01282051282051282,0.06666666666666667,0.016888888888888887,0.0,163.92533333333333,2.1030004872855814,False,False,False
3,0.1339031339031339,0.0,0.0,0.0,0.9692307692307692,0.01282051282051282,0.0653061224489796,0.010666666666666666,0.0,185.6,2.1030004872855814,False,False,False
4,0.1339031339031339,0.0,0.0,0.0,0.9692307692307692,0.01282051282051282,0.0653061224489796,0.010666666666666666,0.0,187.73333333333332,2.1030004872855814,False,False,False
5,0.1339031339031339,0.0,0.0,0.0,0.9692307692307692,0.01282051282051282,0.0653061224489796,0.010666666666666666,0.0,187.73333333333332,2.1030004872855814,False,False,False
