new_class_count,k_shot,cell_count,mean_old_acc_before_increment,mean_old_acc_after_increment,mean_direct_adv3b02_old_acc,mean_seen_new_acc_after_increment,mean_H_old_new_after_increment,mean_candidate_average_forgetting,mean_identity_old_acc_after_increment,mean_shared_view_count_mean,mean_delta_before_vs_direct,mean_delta_after_vs_direct,min_old_class_acc_after_global,max_candidate_average_forgetting
5,1,25,0.7662222222222222,0.602111111111111,0.7717777777777778,0.5124,0.5414247822945594,0.16411111111111112,0.5598888888888889,1.9659393939393939,-0.005555555555555553,-0.1696666666666667,0.0,0.2722222222222222
5,5,25,0.8055555555555556,0.6458888888888888,0.7717777777777778,0.6028,0.6162127419736126,0.15966666666666668,0.636,1.9806060606060607,0.033777777777777775,-0.1258888888888889,0.0,0.2611111111111111
5,10,25,0.8195555555555555,0.6708888888888889,0.7717777777777778,0.6015999999999999,0.6282996420779201,0.14866666666666667,0.655,1.9861818181818183,0.047777777777777766,-0.10088888888888889,0.0,0.23055555555555554
5,20,25,0.8206666666666667,0.6791111111111111,0.7717777777777778,0.6141333333333333,0.639112054541956,0.14155555555555555,0.6631111111111112,1.9933333333333334,0.048888888888888885,-0.09266666666666667,0.0,0.20833333333333334
10,1,25,0.762888888888889,0.5418888888888889,0.7717777777777778,0.38953333333333334,0.4437483695163504,0.221,0.4824444444444444,2.329,-0.008888888888888911,-0.22988888888888892,0.0,0.3972222222222223
10,5,25,0.8023333333333333,0.6052222222222222,0.7717777777777778,0.4692,0.5230407927991741,0.19711111111111113,0.5914444444444444,2.3303333333333334,0.030555555555555544,-0.16655555555555554,0.0,0.2916666666666667
10,10,25,0.8176666666666667,0.6221111111111111,0.7717777777777778,0.48373333333333335,0.5384408369591781,0.19555555555555554,0.6091111111111112,2.3509166666666665,0.045888888888888875,-0.1496666666666667,0.0,0.2722222222222222
10,20,25,0.8165555555555555,0.63,0.7717777777777778,0.5059333333333333,0.5541594813252805,0.18655555555555556,0.6184444444444445,2.3495,0.04477777777777778,-0.14177777777777778,0.0,0.3
20,1,25,0.762,0.5153333333333333,0.7717777777777778,0.30833333333333335,0.3817319505498671,0.24666666666666667,0.4502222222222222,2.5198974358974358,-0.0097777777777778,-0.2564444444444445,0.0,0.4083333333333334
20,5,25,0.8021111111111111,0.583,0.7717777777777778,0.3938333333333333,0.4674755568348143,0.21911111111111112,0.5665555555555556,2.5118974358974357,0.030333333333333313,-0.1887777777777778,0.0,0.32222222222222224
20,10,25,0.8165555555555555,0.598,0.7717777777777778,0.4156666666666667,0.48656799437939063,0.21855555555555553,0.5846666666666667,2.5135384615384613,0.04477777777777778,-0.1737777777777778,0.0,0.3416666666666666
20,20,25,0.8158888888888889,0.6071111111111112,0.7717777777777778,0.43193333333333334,0.5007753194187569,0.2087777777777778,0.5993333333333334,2.5142051282051283,0.044111111111111115,-0.16466666666666666,0.0,0.375
