variant,scene,category,group,correct,total,incorrect,accuracy_percent
U0,leo_low_elev_weak,named,test_unseen_day_rx_2,2494,6000,3506,41.56666666666667
U0,leo_low_elev_weak,named,test_unseen_day_rx_5,3749,6000,2251,62.483333333333334
U0,leo_low_elev_weak,named,test_unseen_day_rx_7,3570,6000,2430,59.5
U0,leo_low_elev_weak,named,test_unseen_day_rx_9,3799,6000,2201,63.31666666666667
U0,leo_low_elev_weak,named,test_unseen_day_rx_10,3894,6000,2106,64.9
U0,leo_low_elev_weak,named,test_unseen_day_rx_11,4046,6000,1954,67.43333333333334
U0,leo_low_elev_weak,receiver_all_days,0,15606,24000,8394,65.025
U0,leo_low_elev_weak,receiver_all_days,1,4147,6000,1853,69.11666666666666
U0,leo_low_elev_weak,receiver_all_days,2,10548,24000,13452,43.95
U0,leo_low_elev_weak,receiver_all_days,3,4450,6000,1550,74.16666666666667
U0,leo_low_elev_weak,receiver_all_days,4,5081,6000,919,84.68333333333334
U0,leo_low_elev_weak,receiver_all_days,5,17048,24000,6952,71.03333333333333
U0,leo_low_elev_weak,receiver_all_days,6,5030,6000,970,83.83333333333333
U0,leo_low_elev_weak,receiver_all_days,7,11983,24000,12017,49.92916666666667
U0,leo_low_elev_weak,receiver_all_days,8,4473,6000,1527,74.55
U0,leo_low_elev_weak,receiver_all_days,9,17084,24000,6916,71.18333333333334
U0,leo_low_elev_weak,receiver_all_days,10,15129,24000,8871,63.0375
U0,leo_low_elev_weak,receiver_all_days,11,15993,24000,8007,66.6375
U0,leo_low_elev_weak,class,0,25307,33000,7693,76.68787878787879
U0,leo_low_elev_weak,class,1,10899,33000,22101,33.027272727272724
U0,leo_low_elev_weak,class,2,17785,33000,15215,53.89393939393939
U0,leo_low_elev_weak,class,3,16757,33000,16243,50.77878787878788
U0,leo_low_elev_weak,class,4,25313,33000,7687,76.7060606060606
U0,leo_low_elev_weak,class,5,30511,33000,2489,92.45757575757575
U0,leo_rain_weak,aggregate,all,126482,198000,71518,63.87979797979798
U0,leo_rain_weak,named,test_unseen_day_seen_rx,23240,30000,6760,77.46666666666667
U0,leo_rain_weak,named,test_day_0,23240,30000,6760,77.46666666666667
U0,leo_rain_weak,named,test_seen_day_unseen_rx,78386,126000,47614,62.21111111111111
U0,leo_rain_weak,named,test_rx_0,11985,18000,6015,66.58333333333333
U0,leo_rain_weak,named,test_rx_2,7998,18000,10002,44.43333333333333
U0,leo_rain_weak,named,test_rx_5,13461,18000,4539,74.78333333333333
U0,leo_rain_weak,named,test_rx_7,8503,18000,9497,47.23888888888889
U0,leo_rain_weak,named,test_rx_9,13292,18000,4708,73.84444444444445
U0,leo_rain_weak,named,test_rx_10,11213,18000,6787,62.294444444444444
U0,leo_rain_weak,named,test_rx_11,11934,18000,6066,66.3
U0,leo_rain_weak,named,test_unseen_day_unseen_rx,24856,42000,17144,59.180952380952384
U0,leo_rain_weak,named,test_unseen_day_rx_0,3369,6000,2631,56.15
U0,leo_rain_weak,named,test_unseen_day_rx_2,2507,6000,3493,41.78333333333333
U0,leo_rain_weak,named,test_unseen_day_rx_5,3766,6000,2234,62.766666666666666
U0,leo_rain_weak,named,test_unseen_day_rx_7,3561,6000,2439,59.35
U0,leo_rain_weak,named,test_unseen_day_rx_9,3723,6000,2277,62.05
U0,leo_rain_weak,named,test_unseen_day_rx_10,3997,6000,2003,66.61666666666666
U0,leo_rain_weak,named,test_unseen_day_rx_11,3933,6000,2067,65.55
U0,leo_rain_weak,receiver_all_days,0,15354,24000,8646,63.975
U0,leo_rain_weak,receiver_all_days,1,4146,6000,1854,69.1
U0,leo_rain_weak,receiver_all_days,2,10505,24000,13495,43.770833333333336
U0,leo_rain_weak,receiver_all_days,3,4376,6000,1624,72.93333333333334
U0,leo_rain_weak,receiver_all_days,4,5158,6000,842,85.96666666666667
U0,leo_rain_weak,receiver_all_days,5,17227,24000,6773,71.77916666666667
U0,leo_rain_weak,receiver_all_days,6,5033,6000,967,83.88333333333334
U0,leo_rain_weak,receiver_all_days,7,12064,24000,11936,50.266666666666666
U0,leo_rain_weak,receiver_all_days,8,4527,6000,1473,75.45
U0,leo_rain_weak,receiver_all_days,9,17015,24000,6985,70.89583333333333
U0,leo_rain_weak,receiver_all_days,10,15210,24000,8790,63.375
U0,leo_rain_weak,receiver_all_days,11,15867,24000,8133,66.1125
U0,leo_rain_weak,class,0,25576,33000,7424,77.5030303030303
U0,leo_rain_weak,class,1,11078,33000,21922,33.56969696969697
U0,leo_rain_weak,class,2,17889,33000,15111,54.20909090909091
U0,leo_rain_weak,class,3,16008,33000,16992,48.50909090909091
