row,mode,epoch,epoch_time_s,phase,stage_phase,train_nmfdu_stage,train_loss,train_tx_acc,val_tx_acc,stage_source_val_sat_mean_tx,stage_source_val_sat_floor_tx,best_score,best_epoch,train_nmfdu_entropy_mean,train_nmfdu_null_mean,train_nmfdu_q_labeled_mean,train_nmfdu_q_unlabeled_mean,train_nmfdu_loss_total,train_nmfdu_loss_branch_aux,train_nmfdu_loss_route,train_nmfdu_loss_phys,train_nmfdu_loss_fused_pair,train_nmfdu_loss_branch_pair,train_nmfdu_loss_null_cal,train_nmfdu_loss_balance,train_loss_sat_cls_labeled,train_loss_unlabeled,train_pseudo_selected,train_pseudo_total,train_skipped_nonfinite_loss,train_skipped_nonfinite_grad,train_optimizer_step_applied
E1,equal,1,594.619327545166,label,S1_core,1.0,18.746195423359772,0.0,39.51481481481481,27.628395061728394,26.566666666666666,31.772196689459328,1,1.6094379425048828,0.0,1.0,0.0,2.472128522639372,12.360642433166504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10204081632653061,0.8979591836734694
E1,equal,2,590.4992558956146,label,S1_core,1.0,18.062946086027186,0.0,56.425925925925924,30.2679012345679,29.666666666666668,38.887646088764605,2,1.6094379425048828,0.0,1.0,0.0,2.3941454790076433,11.970727180948062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,3,596.1296746730804,label,S1_core,1.0,16.06146343386903,4.28890306122449,72.77777777777777,32.79259259259259,32.43333333333333,44.8702784524941,3,1.6094379425048828,0.0,1.0,0.0,2.349575855294052,11.747879047783053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.9591836734693877
E1,equal,4,593.4099922180176,label,S1_core,1.0,13.102508700623805,24.441964285714285,81.77407407407408,33.88148148148148,33.30740740740741,47.33485119388184,4,1.6094379425048828,0.0,1.0,0.0,2.2916895224123586,11.458447436897123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,5,591.5295948982239,label,S1_core,1.0,12.257748000475825,32.44579081632653,87.28148148148148,35.407407407407405,34.837037037037035,49.79798706871374,5,1.6094379425048828,0.0,1.0,0.0,2.268112464826934,11.34056213923863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,6,591.0764448642731,label,S1_core,1.0,10.041675810911217,46.44451530612245,88.4888888888889,35.25432098765432,34.54074074074074,49.79798706871374,5,1.6094379425048828,0.0,1.0,0.0,2.232069565325367,11.160347588208257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.9795918367346939
E1,equal,7,594.164502620697,label,S1_core,1.0,11.642421790531703,42.31505102040816,88.78518518518518,36.21604938271605,35.51481481481481,50.735147387785865,7,1.6094379425048828,0.0,1.0,0.0,2.2531998546756045,11.265999073884926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.9795918367346939
E1,equal,8,592.2232880592346,label,S1_core,1.0,11.119085555173912,45.00956632653061,90.27037037037037,41.41851851851852,40.58148148148148,55.99164722038767,8,1.6094379425048828,0.0,1.0,0.0,2.239137381923442,11.195686690661372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,9,595.7568020820618,label,S1_core,1.0,9.979834089473803,49.505739795918366,90.47407407407407,39.74320987654321,38.74074074074074,55.99164722038767,8,1.6094379425048828,0.0,1.0,0.0,2.218649304642969,11.093246245870786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,10,598.981965303421,label,S1_core,1.0,9.806421493997378,52.48724489795919,91.54444444444445,38.312345679012346,37.42962962962963,55.99164722038767,8,1.6094379425048828,0.0,1.0,0.0,2.210498109155772,11.052490292763224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
