row,mode,epoch,epoch_time_s,phase,stage_phase,train_nmfdu_stage,train_loss,train_tx_acc,val_tx_acc,stage_source_val_sat_mean_tx,stage_source_val_sat_floor_tx,best_score,best_epoch,train_nmfdu_entropy_mean,train_nmfdu_null_mean,train_nmfdu_q_labeled_mean,train_nmfdu_q_unlabeled_mean,train_nmfdu_loss_total,train_nmfdu_loss_branch_aux,train_nmfdu_loss_route,train_nmfdu_loss_phys,train_nmfdu_loss_fused_pair,train_nmfdu_loss_branch_pair,train_nmfdu_loss_null_cal,train_nmfdu_loss_balance,train_skipped_nonfinite_loss,train_skipped_nonfinite_grad,train_optimizer_step_applied
E1,equal,1,594.619327545166,label,S1_core,1.0,18.746195423359772,0.0,39.51481481481481,27.628395061728394,26.566666666666666,31.772196689459328,1,1.6094379425048828,0.0,1.0,0.0,2.472128522639372,12.360642433166504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10204081632653061,0.8979591836734694
E1,equal,2,590.4992558956146,label,S1_core,1.0,18.062946086027186,0.0,56.425925925925924,30.2679012345679,29.666666666666668,38.887646088764605,2,1.6094379425048828,0.0,1.0,0.0,2.3941454790076433,11.970727180948062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,3,596.1296746730804,label,S1_core,1.0,16.06146343386903,4.28890306122449,72.77777777777777,32.79259259259259,32.43333333333333,44.8702784524941,3,1.6094379425048828,0.0,1.0,0.0,2.349575855294052,11.747879047783053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.9591836734693877
E1,equal,4,593.4099922180176,label,S1_core,1.0,13.102508700623805,24.441964285714285,81.77407407407408,33.88148148148148,33.30740740740741,47.33485119388184,4,1.6094379425048828,0.0,1.0,0.0,2.2916895224123586,11.458447436897123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,5,591.5295948982239,label,S1_core,1.0,12.257748000475825,32.44579081632653,87.28148148148148,35.407407407407405,34.837037037037035,49.79798706871374,5,1.6094379425048828,0.0,1.0,0.0,2.268112464826934,11.34056213923863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,6,591.0764448642731,label,S1_core,1.0,10.041675810911217,46.44451530612245,88.4888888888889,35.25432098765432,34.54074074074074,49.79798706871374,5,1.6094379425048828,0.0,1.0,0.0,2.232069565325367,11.160347588208257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.9795918367346939
E1,equal,7,594.164502620697,label,S1_core,1.0,11.642421790531703,42.31505102040816,88.78518518518518,36.21604938271605,35.51481481481481,50.735147387785865,7,1.6094379425048828,0.0,1.0,0.0,2.2531998546756045,11.265999073884926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.9795918367346939
E1,equal,8,592.2232880592346,label,S1_core,1.0,11.119085555173912,45.00956632653061,90.27037037037037,41.41851851851852,40.58148148148148,55.99164722038767,8,1.6094379425048828,0.0,1.0,0.0,2.239137381923442,11.195686690661372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,9,595.7568020820618,label,S1_core,1.0,9.979834089473803,49.505739795918366,90.47407407407407,39.74320987654321,38.74074074074074,55.99164722038767,8,1.6094379425048828,0.0,1.0,0.0,2.218649304642969,11.093246245870786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,10,598.981965303421,label,S1_core,1.0,9.806421493997378,52.48724489795919,91.54444444444445,38.312345679012346,37.42962962962963,55.99164722038767,8,1.6094379425048828,0.0,1.0,0.0,2.210498109155772,11.052490292763224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,11,599.4823482036591,label,S1_core,1.0,9.621014721539556,53.84247448979592,92.21111111111111,40.05802469135802,39.19259259259259,55.99164722038767,8,1.6094379425048828,0.0,1.0,0.0,2.205023395771883,11.025116745306521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,12,602.5127739906311,label,S1_core,1.0,9.416597823707425,55.08609693877551,91.83333333333333,40.129629629629626,39.32962962962963,55.99164722038767,8,1.6094379425048828,0.0,1.0,0.0,2.201876976052109,11.009384680767448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,13,602.3701751232147,label,S1_core,1.0,9.316698852850466,56.026785714285715,92.37777777777778,40.32098765432099,39.544444444444444,55.99164722038767,8,1.6094379425048828,0.0,1.0,0.0,2.199371659025854,10.996858051845006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,14,603.9652206897736,label,S1_core,1.0,10.266323654019104,48.82015306122449,93.54444444444445,42.24814814814815,41.30740740740741,57.30849705514359,14,1.6094379425048828,0.0,1.0,0.0,2.2236960518116855,11.118479981714366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.9795918367346939
E1,equal,15,600.8578989505768,label,S1_core,1.0,9.327940473751147,53.55548469387755,93.15925925925926,42.125925925925934,41.303703703703704,57.30849705514359,14,1.6094379425048828,0.0,1.0,0.0,2.2005711185688877,11.002855417679767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.9795918367346939
E1,equal,16,601.0175302028656,label,S1_core,1.0,9.332468334509402,56.64859693877551,93.25185185185185,42.06296296296296,41.05185185185185,57.30849705514359,14,1.6094379425048828,0.0,1.0,0.0,2.1959138159849205,10.979568831774653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,17,604.5630393028259,label,S2_stabilize_aux,1.0,10.501544339316231,50.87691326530612,93.86666666666666,45.17407407407408,44.37407407407407,60.26076534940835,17,1.6094379425048828,0.0,1.0,0.0,2.211304961418619,11.056524568674515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,18,605.5576431751251,label,S2_stabilize_aux,1.0,10.36871554900189,50.65369897959184,93.85555555555555,45.218518518518515,44.266666666666666,60.26076534940835,17,1.6094379425048828,0.0,1.0,0.0,2.2144194573772196,11.072097019273407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,19,604.5201272964478,label,S2_stabilize_aux,1.0,10.318199303685402,49.85650510204081,94.56666666666666,44.89382716049383,44.13703703703704,60.26076534940835,17,1.6094379425048828,0.0,1.0,0.0,2.211159034651153,11.055794968896983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.9795918367346939
E1,equal,20,630.4809038639069,label,S2_stabilize_aux,1.0,9.768017496381487,54.432397959183675,94.81111111111112,45.571604938271605,44.68888888888889,60.745565732997036,20,1.6094379425048828,0.0,1.0,0.0,2.201190476514855,11.00595219281255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,21,629.3553445339203,label,S2_stabilize_aux,1.0,9.322334707999715,57.90816326530612,94.03333333333333,44.58395061728395,43.72962962962963,60.745565732997036,20,1.6094379425048828,0.0,1.0,0.0,2.1891609600612094,10.9458045180963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,22,630.8586611747742,label,S2_stabilize_aux,1.0,9.270161696842738,57.78061224489796,94.93703703703704,46.28641975308642,45.34074074074074,61.37131128223934,22,1.6094379425048828,0.0,1.0,0.0,2.1791516761390533,10.895758161739428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.9795918367346939
E1,equal,23,629.4877967834473,label,S2_stabilize_aux,1.0,8.769979233644447,61.57525510204081,94.38888888888889,43.87654320987654,43.00370370370371,61.37131128223934,22,1.6094379425048828,0.0,1.0,0.0,2.1662604808807373,10.831302292492925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E1,equal,24,628.9957101345062,label,S2_stabilize_aux,1.0,9.246093321819695,58.27487244897959,94.78888888888889,47.90740740740741,46.977777777777774,62.821133665996115,24,1.6094379425048828,0.0,1.0,0.0,2.1826997776420747,10.913498683851593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
