family,row,scope,n_per_scene,clean,leo_mean,evidence_kind,source_file
A1_X,X0_A1_RUNTIME,target_RX_only,168000,78.46964285714286,68.12460317460318,published_aggregate,automation_reports/CV-SincNet/mechanism_activation_audit_20260910/ecrs_effects.csv
A1_X,X1_CROSS_RX_CLEAN,target_RX_only,168000,79.1327380952381,68.51666666666667,published_aggregate,automation_reports/CV-SincNet/mechanism_activation_audit_20260910/ecrs_effects.csv
A1_X,X2_CROSS_RX_VIEWS,target_RX_only,168000,78.42023809523809,68.20734126984128,published_aggregate,automation_reports/CV-SincNet/mechanism_activation_audit_20260910/ecrs_effects.csv
CROSS_RESPONSE_V2,U0,mixed_RX_and_day,198000,78.89040404040404,64.8496632996633,recomputed_disjoint_group_counts,automation_reports/CV-SincNet/core90_cross_response_v2_s392005_20260911_r1/completed_detail_20260912/completed_summary.json
CROSS_RESPONSE_V2,U0,target_RX_only,168000,76.49642857142858,62.393055555555556,recomputed_disjoint_group_counts,automation_reports/CV-SincNet/core90_cross_response_v2_s392005_20260911_r1/completed_detail_20260912/completed_summary.json
CROSS_RESPONSE_V2,U1,mixed_RX_and_day,198000,77.64949494949495,62.42558922558923,recomputed_disjoint_group_counts,automation_reports/CV-SincNet/core90_cross_response_v2_s392005_20260911_r1/completed_detail_20260912/completed_summary.json
CROSS_RESPONSE_V2,U1,target_RX_only,168000,74.96011904761905,59.82579365079365,recomputed_disjoint_group_counts,automation_reports/CV-SincNet/core90_cross_response_v2_s392005_20260911_r1/completed_detail_20260912/completed_summary.json
CROSS_RESPONSE_V2,Ux,mixed_RX_and_day,198000,78.4479797979798,61.11296296296297,recomputed_disjoint_group_counts,automation_reports/CV-SincNet/core90_cross_response_v2_s392005_20260911_r1/completed_detail_20260912/completed_summary.json
CROSS_RESPONSE_V2,Ux,target_RX_only,168000,75.91130952380952,58.393452380952375,recomputed_disjoint_group_counts,automation_reports/CV-SincNet/core90_cross_response_v2_s392005_20260911_r1/completed_detail_20260912/completed_summary.json
CROSS_RESPONSE_V2,Ux_normalized,mixed_RX_and_day,198000,80.36969696969697,64.02306397306397,recomputed_disjoint_group_counts,automation_reports/CV-SincNet/core90_cross_response_v2_s392005_20260911_r1/completed_detail_20260912/completed_summary.json
CROSS_RESPONSE_V2,Ux_normalized,target_RX_only,168000,78.1827380952381,61.66607142857143,recomputed_disjoint_group_counts,automation_reports/CV-SincNet/core90_cross_response_v2_s392005_20260911_r1/completed_detail_20260912/completed_summary.json
GAME_LEGACY,B0,target_RX_only,168000,74.36428571428571,61.80218253968254,published_scorer_fractions,code/snapshots/core90_game_20260911_wt/docs/evidence/core90_target25_392005_20260911.json
GAME_LEGACY,B1,target_RX_only,168000,73.62619047619047,62.75039682539682,published_scorer_fractions,code/snapshots/core90_game_20260911_wt/docs/evidence/core90_target25_392005_20260911.json
GAME_LEGACY,C1,target_RX_only,168000,78.74285714285715,62.12301587301587,published_scorer_fractions,code/snapshots/core90_game_20260911_wt/docs/evidence/core90_target25_392005_20260911.json
GAME_LEGACY,C2,target_RX_only,168000,78.9952380952381,62.356150793650784,published_scorer_fractions,code/snapshots/core90_game_20260911_wt/docs/evidence/core90_target25_392005_20260911.json
GAME_LEGACY,S4,target_RX_only,168000,76.71190476190476,63.76904761904762,published_scorer_fractions,code/snapshots/core90_game_20260911_wt/docs/evidence/core90_target25_392005_20260911.json
