ranking,rank,candidate_id,value,base,mechanism_tag
final_p99,2,ADV2_FUSE5_R20_E260,74.42869511713272,R20,FUSE5
final_p99,3,ADV2_T13_CONSERVE_E260,74.6628428285868,T13,CONSERVE
final_p99,4,ADV2_T13_TAILGUARD_E260,74.77834395444755,T13,TAILGUARD
final_p99,5,ADV2_R28_FUSE6_E260,75.16593028940844,R28,FUSE6
final_p99,6,ADV2_TAILCV_R17_E260,75.28338947288447,R17,TAILCV
final_p99,7,ADV2_R28_PROXYLOW_E260,75.84636660680472,R28,PROXYLOW
final_p99,8,ADV2_R17_PROXYHI_E260,75.88438927165572,R17,PROXYHI
final_p99,9,ADV2_R17_CORESTRICT_E260,75.98321443811797,R17,CORESTRICT
final_p99,10,ADV2_R20_SAT70_E260,76.08834145234798,R20,SAT70
final_min_inter,1,ADV2_R20_VACMID_E260,84.65472588237954,R20,VACMID
final_min_inter,2,ADV2_SRCLOW_R17_E260,84.45796326388745,R17,SRCLOW
final_min_inter,3,ADV2_FUSE5_R20_E260,84.32292580048362,R20,FUSE5
final_min_inter,4,ADV2_R28_FUSE6_E260,84.10955846672013,R28,FUSE6
final_min_inter,5,ADV2_T13_CONSERVE_E260,83.77845065076659,T13,CONSERVE
final_min_inter,6,ADV2_T13_TAILGUARD_E260,83.55610040982641,T13,TAILGUARD
final_min_inter,7,ADV2_TAILCV_R17_E260,83.38451885990713,R17,TAILCV
final_min_inter,8,ADV2_R17_CORESTRICT_E260,83.30161496947999,R17,CORESTRICT
final_min_inter,9,ADV2_SOURCECAP32_R20_E260,83.27138807238791,R20,SOURCECAP32
final_min_inter,10,ADV2_R20_SAT70_E260,82.83598873195965,R20,SAT70
final_proxy_auc,1,ADV2_R28_FUSE6_E260,0.5755867366607372,R28,FUSE6
final_proxy_auc,2,ADV2_R20_VACMID_E260,0.5745665013790131,R20,VACMID
final_proxy_auc,3,ADV2_R17_CORESTRICT_E260,0.5743999105233413,R17,CORESTRICT
final_proxy_auc,4,ADV2_R17_PROXYHI_E260,0.570984297990799,R17,PROXYHI
final_proxy_auc,5,ADV2_FUSE5_R20_E260,0.570448139997629,R20,FUSE5
final_proxy_auc,6,ADV2_TAILCV_R20_E260,0.5673811472379244,R20,TAILCV
final_proxy_auc,7,ADV2_SOURCECAP32_R20_E260,0.5670744955539704,R20,SOURCECAP32
final_proxy_auc,8,ADV2_T13_CONSERVE_E260,0.5669660893770364,T13,CONSERVE
final_proxy_auc,9,ADV2_TAILCV_R17_E260,0.566866713303786,R17,TAILCV
final_proxy_auc,10,ADV2_R20_SAT70_E260,0.5655803850063911,R20,SAT70
final_proxy_vac_rate,1,ADV2_FUSE5_R20_E260,0.3049878549117308,R20,FUSE5
final_proxy_vac_rate,2,ADV2_R28_FUSE6_E260,0.3210177219831026,R28,FUSE6
final_proxy_vac_rate,3,ADV2_T13_CONSERVE_E260,0.3210203561645288,T13,CONSERVE
final_proxy_vac_rate,4,ADV2_SOURCECAP32_R20_E260,0.3233625667599531,R20,SOURCECAP32
final_proxy_vac_rate,5,ADV2_R28_PROXYLOW_E260,0.3272349405747193,R28,PROXYLOW
final_proxy_vac_rate,6,ADV2_SRCLOW_R17_E260,0.327873838520967,R17,SRCLOW
final_proxy_vac_rate,7,ADV2_R20_SAT70_E260,0.3434113005032906,R20,SAT70
final_proxy_vac_rate,8,ADV2_R17_CORESTRICT_E260,0.3454258866035021,R17,CORESTRICT
final_proxy_vac_rate,9,ADV2_R20_VACMID_E260,0.3526238618561855,R20,VACMID
final_proxy_vac_rate,10,ADV2_TAILCV_R17_E260,0.3700507753170453,R17,TAILCV
final_source_overflow,1,ADV2_SRCLOW_R17_E260,0.2107563105053217,R17,SRCLOW
final_source_overflow,2,ADV2_T13_CONSERVE_E260,0.2234322473894584,T13,CONSERVE
final_source_overflow,3,ADV2_R20_VACMID_E260,0.2898808688338978,R20,VACMID
final_source_overflow,4,ADV2_FUSE5_R20_E260,0.29896424638702,R20,FUSE5
final_source_overflow,5,ADV2_R20_SAT70_E260,0.3016285311770128,R20,SAT70
final_source_overflow,6,ADV2_R28_PROXYLOW_E260,0.3034566748715095,R28,PROXYLOW
final_source_overflow,7,ADV2_T13_TAILGUARD_E260,0.3041323329070206,T13,TAILGUARD
final_source_overflow,8,ADV2_R28_FUSE6_E260,0.3692473873346175,R28,FUSE6
